Estacion,Fecha,Q
84.1,02/11/1997,53.314
84.1,03/11/1997,41.867
84.1,04/11/1997,35.379
84.1,05/11/1997,31.468
84.1,06/11/1997,30.456
84.1,07/11/1997,30.456
84.1,08/11/1997,30.918
84.1,09/11/1997,60.442
84.1,10/11/1997,194.041
84.1,11/11/1997,188.749
84.1,17/11/1997,78.696
84.1,18/11/1997,53.9
84.1,19/11/1997,35.763
84.1,20/11/1997,31.21
84.1,21/11/1997,42.009
84.1,22/11/1997,36.747
84.1,23/11/1997,28.501
84.1,24/11/1997,20.722
84.1,25/11/1997,16.691
84.1,26/11/1997,22.319
84.1,27/11/1997,24.038
84.1,28/11/1997,23.528
84.1,29/11/1997,22.851
84.1,30/11/1997,17.594
84.1,01/12/1997,14.14
84.1,02/12/1997,11.445
84.1,03/12/1997,8.424
84.1,04/12/1997,6.228
84.1,05/12/1997,4.99
84.1,06/12/1997,3.902
84.1,07/12/1997,3.477
84.1,08/12/1997,2.759
84.1,09/12/1997,2.555
84.1,10/12/1997,1.83
84.1,11/12/1997,1.749
84.1,12/12/1997,2.236
84.1,13/12/1997,20.289
84.1,14/12/1997,57.918
84.1,15/12/1997,35.159
84.1,16/12/1997,26.239
84.1,17/12/1997,21.065
84.1,18/12/1997,15.331
84.1,19/12/1997,12.404
84.1,20/12/1997,497.517
84.1,21/12/1997,536.053
84.1,22/12/1997,888.625
84.1,23/12/1997,2215.045
84.1,24/12/1997,3485.264
84.1,25/12/1997,1655.87
84.1,26/12/1997,368.579
84.1,27/12/1997,391.246
84.1,28/12/1997,2033.518
84.1,29/12/1997,3242.203
84.1,30/12/1997,1774.662
84.1,31/12/1997,653.25
84.1,01/01/1998,396.722
84.1,02/01/1998,838.645
84.1,03/01/1998,1078.726
84.1,04/01/1998,513.639
84.1,05/01/1998,257.097
84.1,06/01/1998,961.962
84.1,07/01/1998,1858.242
84.1,08/01/1998,2010.682
84.1,09/01/1998,915.745
84.1,10/01/1998,211.209
84.1,11/01/1998,127.234
84.1,12/01/1998,75.425
84.1,13/01/1998,51.315
84.1,14/01/1998,32.174
84.1,15/01/1998,28.501
84.1,16/01/1998,26.901
84.1,17/01/1998,21.035
84.1,18/01/1998,17.369
84.1,19/01/1998,14.51
84.1,20/01/1998,12.193
84.1,21/01/1998,9.995
84.1,22/01/1998,17.51
84.1,23/01/1998,54.528
84.1,24/01/1998,57.861
84.1,25/01/1998,122.377
84.1,05/02/1998,349.224
84.1,06/02/1998,223.387
84.1,07/02/1998,312.817
84.1,08/02/1998,378.315
84.1,09/02/1998,600.336
84.1,10/02/1998,1284.912
84.1,11/02/1998,1411.974
84.1,12/02/1998,632.595
84.1,13/02/1998,197.702
84.1,14/02/1998,123.315
84.1,15/02/1998,72.589
84.1,16/02/1998,50.402
84.1,17/02/1998,36.17
84.1,18/02/1998,23.533
84.1,19/02/1998,119.682
84.1,20/02/1998,267.148
84.1,21/02/1998,85.629
84.1,22/02/1998,25.271
84.1,23/02/1998,16.189
84.1,24/02/1998,23.465
84.1,25/02/1998,51.364
84.1,26/02/1998,208.319
84.1,27/02/1998,139.263
84.1,28/02/1998,40.728
84.1,01/03/1998,22.487
84.1,02/03/1998,16.284
84.1,03/03/1998,21.816
84.1,04/03/1998,21.22
84.1,05/03/1998,27.582
84.1,06/03/1998,111.217
84.1,07/03/1998,413.011
84.1,08/03/1998,904.413
84.1,09/03/1998,719.55
84.1,10/03/1998,354.215
84.1,11/03/1998,373.209
84.1,12/03/1998,275.764
84.1,13/03/1998,232.868
84.1,14/03/1998,383.306
84.1,15/03/1998,427.128
84.1,16/03/1998,268.108
84.1,17/03/1998,188.772
84.1,18/03/1998,927.083
84.1,19/03/1998,1462.869
84.1,20/03/1998,1297.251
84.1,21/03/1998,444.412
