Estacion;Fecha;Q
2257;01/02/2010;9.50
2257;02/02/2010;9.75
2257;03/02/2010;12.37
2257;04/02/2010;186.38
2257;05/02/2010;637.36
2257;06/02/2010;940.80
2257;07/02/2010;1260.34
2257;08/02/2010;1475.45
2257;09/02/2010;1411.99
2257;10/02/2010;1207.65
2257;11/02/2010;929.58
2257;12/02/2010;579.60
2257;13/02/2010;322.31
2257;14/02/2010;186.38
2257;15/02/2010;212.07
2257;16/02/2010;199.91
2257;17/02/2010;213.98
2257;18/02/2010;183.74
2257;19/02/2010;114.44
2257;20/02/2010;169.19
2257;21/02/2010;359.88
2257;22/02/2010;366.38
2257;23/02/2010;334.57
2257;24/02/2010;319.89
2257;25/02/2010;334.57
2257;26/02/2010;442.30
2257;27/02/2010;386.27
2257;28/02/2010;233.62
2257;01/03/2010;195.34
2257;02/03/2010;160.96
2257;03/03/2010;141.40
2257;04/03/2010;120.53
2257;05/03/2010;190.83
2257;06/03/2010;233.62
2257;07/03/2010;204.54
2257;08/03/2010;165.05
2257;09/03/2010;89.56
2257;10/03/2010;62.35
2257;11/03/2010;30.20
2257;12/03/2010;24.39
2257;13/03/2010;20.85
2257;14/03/2010;19.29
2257;15/03/2010;18.35
2257;16/03/2010;16.55
2257;17/03/2010;15.03
2257;18/03/2010;14.54
2257;19/03/2010;17.08
2257;20/03/2010;20.85
2257;21/03/2010;18.72
2257;22/03/2010;23.32
2257;23/03/2010;71.13
2257;24/03/2010;83.88
2257;25/03/2010;111.79
2257;26/03/2010;123.29
2257;27/03/2010;123.29
2257;28/03/2010;88.40
2257;29/03/2010;32.73
2257;30/03/2010;24.83
2257;31/03/2010;20.65
2257;01/04/2010;17.44
2257;02/04/2010;15.69
2257;03/04/2010;14.86
2257;04/04/2010;14.05
2257;05/04/2010;13.27
2257;06/04/2010;12.52
2257;07/04/2010;11.09
2257;08/04/2010;10.68
2257;09/04/2010;10.01
2257;10/04/2010;10.14
2257;11/04/2010;10.41
2257;12/04/2010;10.14
2257;13/04/2010;9.50
2257;14/04/2010;9.88
2257;15/04/2010;9.88
2257;16/04/2010;9.75
2257;17/04/2010;9.75
2257;18/04/2010;9.88
2257;19/04/2010;
2257;20/04/2010;
2257;21/04/2010;14.05
2257;22/04/2010;15.69
2257;23/04/2010;18.35
2257;24/04/2010;24.39
2257;25/04/2010;20.25
2257;26/04/2010;19.29
2257;27/04/2010;14.05
2257;28/04/2010;12.52
2257;29/04/2010;10.68
2257;30/04/2010;10.41
2257;01/05/2010;10.14
2257;02/05/2010;10.01
2257;03/05/2010;9.88
2257;04/05/2010;9.75
2257;05/05/2010;9.88
2257;06/05/2010;8.76
2257;07/05/2010;8.52
2257;08/05/2010;8.17
2257;09/05/2010;7.94
2257;10/05/2010;7.38
2257;11/05/2010;7.60
