N_Oficial,Nombre_est,latitude,longitude,geometry,N_DinaguaW,N_UTEWSH,N_UTEWSP,Institucio,Tipo_estac,Parametros,Resolucion,wflow_basi,wflow_outp,WHOS_siteC
18,Dolores,-33.51934,-58.22676,POINT (-58.22676175837093 -33.51922710673209),,,,,,,,,,
2.0,Mercedes (Puerto),-33.24605,-58.03812,POINT (-58.03802143288382 -33.24599380928041),,,,,,,,,,
5.1,Paso de los Toros,-32.82041,-56.51117,POINT (-56.51117200182711 -32.82050889892052),,,,,,,,,,
31.0,Paysandú,-32.31455,-58.10396,POINT (-58.10397061012041 -32.31450071475236),,,,,,,,,,
14,Picada de Corbo,-33.83,-54.7689,POINT (-54.7689 -33.83),,,,,,,,,,
15,Paso Averías,-33.6133,-54.3294,POINT (-54.3294 -33.6133),,,,,,,,,,
44,Fray Marcos,-34.2161,-55.7411,POINT (-55.7411 -34.2161),,,,,,,,,,
97,Paso Dragón,-32.7636,-53.7189,POINT (-53.7189 -32.7636),,,,,,,,,,
133,Santa Lucia (Ruta 11),-34.4497,-56.4011,POINT (-56.4011 -34.4497),,,,,,,,,,
52,Paso del Borracho,-31.87573,-55.47099,POINT (-55.47099 -31.87573),,,,,,,,,,
174,Maldonado Pte. R-9,-34.7476,-54.95316,POINT (-54.95316 -34.7476),,,,,,,,,,
26676,Concordia,-31.38,-58.02,POINT (-58.02 -31.38),,,,,,,,,,
28.0,Bella Unión,-30.260656,-57.610707,POINT (-57.61071053947604 -30.26065947449449),,,,,,,,,,
176.1,Picada Benítez,-34.27134,-57.27154,POINT (-57.27158949989072 -34.27133732702026),,,,,,,,,,
INUMET-1,18 DE JULIO,-33.72,-53.55,POINT (-53.55 -33.72),INUMET-1,,,INUMET,Convencional,P,Diaria,,,
INUMET-2,19 DE ABRIL,-34.3623,-54.0698,POINT (-54.0698 -34.3623),INUMET-2,,,INUMET,Convencional,P,Diaria,,,
INUMET-3,25 DE AGOSTO,-34.412,-56.398,POINT (-56.398 -34.412),INUMET-3,,,INUMET,Convencional,P,Diaria,,,
INUMET-6,AGRACIADA,-33.808,-58.265,POINT (-58.265 -33.808),INUMET-6,,,INUMET,Convencional,P,Diaria,,,
INUMET-7,AIGUA,-34.202,-54.767,POINT (-54.767 -34.202),INUMET-7,,,INUMET,Convencional,P,Diaria,,,
INUMET-8,ALGORTA,-32.4207,-57.3922,POINT (-57.3922 -32.4207),INUMET-8,,,INUMET,Convencional,P,Diaria,,,
INUMET-10,ANDRESITO,-33.168,-57.129,POINT (-57.129 -33.168),INUMET-10,,,INUMET,Convencional,P,Diaria,,,
INUMET-12,ARBOLITO,-32.612,-54.214,POINT (-54.214 -32.612),INUMET-12,,,INUMET,Convencional,P,Diaria,,,
INUMET-16,ARTIGAS,-30.398215,-56.511778,POINT (-56.511778 -30.398215),INUMET-16,,,INUMET,Convencional,P,Diaria,,,
INUMET-18,BAIGORRIA,-32.88,-56.8,POINT (-56.8 -32.88),INUMET-18,,,INUMET,Convencional,P,Diaria,,,
INUMET-452,Balneario Solís,-34.79,-55.37,POINT (-55.37 -34.79),INUMET-452,,,INUMET,Convencional,P,Diaria,,,
INUMET-21,BAÑADO MEDINA,-32.402,-54.35,POINT (-54.35 -32.402),INUMET-21,,,INUMET,Convencional,P,Diaria,,,
INUMET-23,BARRIGA NEGRA,-33.96,-55.06,POINT (-55.06 -33.96),INUMET-23,,,INUMET,Convencional,P,Diaria,,,
INUMET-24,BELEN,-30.789,-57.778,POINT (-57.778 -30.789),INUMET-24,,,INUMET,Convencional,P,Diaria,,,
INUMET-26,BERNABE RIVERA,-30.298,-56.969,POINT (-56.969 -30.298),INUMET-26,,,INUMET,Convencional,P,Diaria,,,
INUMET-27,BLANQUILLOS,-32.886,-55.62,POINT (-55.62 -32.886),INUMET-27,,,INUMET,Convencional,P,Diaria,,,
INUMET-29,CAÑADA GRANDE,-32.519,-57.161,POINT (-57.161 -32.519),INUMET-29,,,INUMET,Convencional,P,Diaria,,,
INUMET-32,CAÑAS_CL,-32.36,-53.88,POINT (-53.88 -32.36),INUMET-32,,,INUMET,Convencional,P,Diaria,,,
INUMET-37,CARDONA,-33.8722,-57.3702,POINT (-57.3702 -33.8722),INUMET-37,,,INUMET,Convencional,P,Diaria,,,
INUMET-39,CARRASCO,-34.83292273,-56.01287634,POINT (-56.01287634 -34.83292273),INUMET-39,,,INUMET,Convencional,P,Diaria,,,
INUMET-41,CASUPA_FR,-34.102,-55.652,POINT (-55.652 -34.102),INUMET-41,,,INUMET,Convencional,P,Diaria,,,
INUMET-42,CASUPA_LV,-34.14,-55.482,POINT (-55.482 -34.14),INUMET-42,,,INUMET,Convencional,P,Diaria,,,
INUMET-43,CATALAN CHICO,-30.88,-56.37,POINT (-56.37 -30.88),INUMET-43,,,INUMET,Convencional,P,Diaria,,,
INUMET-44,CATALAN GRANDE,-30.78,-56.251,POINT (-56.251 -30.78),INUMET-44,,,INUMET,Convencional,P,Diaria,,,
INUMET-46,CEBOLLATI,-33.2676,-53.7956,POINT (-53.7956 -33.2676),INUMET-46,,,INUMET,Convencional,P,Diaria,,,
INUMET-49,CERRILLOS,-34.6085,-56.363,POINT (-56.363 -34.6085),INUMET-49,,,INUMET,Convencional,P,Diaria,,,
INUMET-50,CERRO AMARILLO,-30.62,-56.66,POINT (-56.66 -30.62),INUMET-50,,,INUMET,Convencional,P,Diaria,,,
INUMET-51,CERRO CHATO,-33.09964,-55.14253,POINT (-55.14253 -33.09964),INUMET-51,,,INUMET,Convencional,P,Diaria,,,
INUMET-53,CERRO DE LAS CUENTAS,-32.619,-54.593,POINT (-54.593 -32.619),INUMET-53,,,INUMET,Convencional,P,Diaria,,,
INUMET-55,CHACRA POLICIAL,-34.47,-56.25,POINT (-56.25 -34.47),INUMET-55,,,INUMET,Convencional,P,Diaria,,,
INUMET-56,CHAMANGA,-33.7122,-56.677,POINT (-56.677 -33.7122),INUMET-56,,,INUMET,Convencional,P,Diaria,,,
INUMET-57,CHAMIZO_FR,-34.24,-55.92,POINT (-55.92 -34.24),INUMET-57,,,INUMET,Convencional,P,Diaria,,,
INUMET-58,CHAMIZO_SJ,-34.139,-56.69,POINT (-56.69 -34.139),INUMET-58,,,INUMET,Convencional,P,Diaria,,,
INUMET-61,CHILENO,-33.9,-58.1,POINT (-58.1 -33.9),INUMET-61,,,INUMET,Convencional,P,Diaria,,,
INUMET-66,COLONIA,-34.45187417,-57.76777028,POINT (-57.76777028 -34.45187417),INUMET-66,,,INUMET,Convencional,P,Diaria,,,
INUMET-69,COLONIA ITAPEBI,-31.34,-57.4,POINT (-57.4 -31.34),INUMET-69,,,INUMET,Convencional,P,Diaria,,,
INUMET-71,COLONIA MIGUELETE,-34.006,-57.645,POINT (-57.645 -34.006),INUMET-71,,,INUMET,Convencional,P,Diaria,,,
INUMET-72,COLONIA PALMA,-30.58,-57.68,POINT (-57.68 -30.58),INUMET-72,,,INUMET,Convencional,P,Diaria,,,
INUMET-74,COLONIA RIVERA,-30.43,-56.54,POINT (-56.54 -30.43),INUMET-74,,,INUMET,Convencional,P,Diaria,,,
INUMET-75,COLONIA VALDENSE,-34.334,-57.267,POINT (-57.267 -34.334),INUMET-75,,,INUMET,Convencional,P,Diaria,,,
INUMET-76,CONCHILLAS,-34.164,-58.032,POINT (-58.032 -34.164),INUMET-76,,,INUMET,Convencional,P,Diaria,,,
INUMET-78,CONSTITUCION,-31.06,-57.85,POINT (-57.85 -31.06),INUMET-78,,,INUMET,Convencional,P,Diaria,,,
INUMET-79,CORONILLA,-34.35,-54.79,POINT (-54.79 -34.35),INUMET-79,,,INUMET,Convencional,P,Diaria,,,
INUMET-83,CUARO,-30.613,-56.905,POINT (-56.905 -30.613),INUMET-83,,,INUMET,Convencional,P,Diaria,,,
INUMET-457,Cuchilla Alta,-34.79,-55.49,POINT (-55.49 -34.79),INUMET-457,,,INUMET,Convencional,P,Diaria,,,
INUMET-84,CUCHILLA CARAGUATA (N),-32.131,-54.899,POINT (-54.899 -32.131),INUMET-84,,,INUMET,Convencional,P,Diaria,,,
INUMET-90,CUFRE,-34.198,-57.107,POINT (-57.107 -34.198),INUMET-90,,,INUMET,Convencional,P,Diaria,,,
INUMET-91,CURTINAS,-32.149,-56.117,POINT (-56.117 -32.149),INUMET-91,,,INUMET,Convencional,P,Diaria,,,
INUMET-92,DIEGO LAMAS,-30.75,-57.05,POINT (-57.05 -30.75),INUMET-92,,,INUMET,Convencional,P,Diaria,,,
