gauge_id,calculated_drain_area,latitude,longitude,is_external_polygon,inu_pc_umn,inu_pc_umx,inu_pc_ult,lka_pc_use,lkv_mc_usu,rev_mc_usu,ria_ha_usu,riv_tc_usu,ele_mt_uav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,pet_mm_uyr,aet_mm_uyr,ari_ix_uav,cmi_ix_uyr,snw_pc_uyr,glc_pc_u01,glc_pc_u02,glc_pc_u03,glc_pc_u04,glc_pc_u05,glc_pc_u06,glc_pc_u07,glc_pc_u08,glc_pc_u09,glc_pc_u10,glc_pc_u11,glc_pc_u12,glc_pc_u13,glc_pc_u14,glc_pc_u15,glc_pc_u16,glc_pc_u17,glc_pc_u18,glc_pc_u19,glc_pc_u20,glc_pc_u21,glc_pc_u22,pnv_pc_u01,pnv_pc_u02,pnv_pc_u03,pnv_pc_u04,pnv_pc_u05,pnv_pc_u06,pnv_pc_u07,pnv_pc_u08,pnv_pc_u09,pnv_pc_u10,pnv_pc_u11,pnv_pc_u12,pnv_pc_u13,pnv_pc_u14,pnv_pc_u15,wet_pc_ug1,wet_pc_ug2,wet_pc_u01,wet_pc_u02,wet_pc_u03,wet_pc_u04,wet_pc_u05,wet_pc_u06,wet_pc_u07,wet_pc_u08,wet_pc_u09,for_pc_use,crp_pc_use,pst_pc_use,ire_pc_use,gla_pc_use,prm_pc_use,pac_pc_use,cly_pc_uav,slt_pc_uav,snd_pc_uav,soc_th_uav,swc_pc_uyr,kar_pc_use,ero_kh_uav,pop_ct_usu,ppd_pk_uav,urb_pc_use,nli_ix_uav,rdd_mk_uav,hft_ix_u93,hft_ix_u09,gdp_ud_usu
DNAUY_10.1,4783.5,-33.2419,-54.4019,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1161.92,8429.131,157.0,29.0,170.0,1265.0,1354.0,996.0,93.0,-7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,92.0,6.0,0.0,0.0,1.0,26.0,24.0,50.0,32.0,79.0,0.0,1021.0,40.968,8.554,0.0,100.0,375.0,74.0,98.0,674229056.0
DNAUY_133,8390.0,-34.4497,-56.4011,0.0,0.0,3.0,4.0,1.0,42.0,0.0,2045.675,17522.318,113.0,18.0,169.0,1242.0,1284.0,976.0,97.0,-3.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,75.0,1.0,0.0,0.0,0.0,26.0,22.0,52.0,26.0,81.0,0.0,1460.0,139.521,16.595,1.0,200.0,526.0,116.0,96.0,1864970496.0
DNAUY_14,3104.8,-33.83,-54.7689,0.0,0.0,1.0,1.0,0.0,0.0,0.0,697.193,4490.567,156.0,28.0,168.0,1265.0,1304.0,981.0,97.0,-3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,81.0,1.0,0.0,0.0,0.0,25.0,24.0,51.0,33.0,81.0,0.0,883.0,1.572,0.505,0.0,0.0,337.0,71.0,75.0,17879956.0
DNAUY_15,7979.9,-33.6133,-54.3294,0.0,0.0,4.0,5.0,1.0,17.0,0.0,2062.054,18235.428,132.0,26.0,167.0,1236.0,1281.0,964.0,97.0,-3.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,78.0,1.0,0.0,0.0,0.0,26.0,25.0,49.0,33.0,80.0,0.0,945.0,11.327,1.417,0.0,0.0,382.0,74.0,86.0,168538096.0
DNAUY_174,487.3,-34.7476,-54.95316,0.0,1.0,5.0,6.0,0.0,0.0,0.0,91.28,398.596,109.0,34.0,165.0,1137.0,1125.0,869.0,101.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,85.0,0.0,0.0,0.0,0.0,25.0,24.0,51.0,32.0,82.0,0.0,737.0,11.789,24.137,1.0,400.0,681.0,125.0,133.0,39916444.0
DNAUY_1743,11629.7,-32.44356,-55.22658,0.0,1.0,1.0,2.0,7.0,217.0,0.0,2517.563,21396.609,161.0,14.0,176.0,1217.0,1377.0,990.0,88.0,-12.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,73.0,2.0,0.0,0.0,0.0,30.0,23.0,47.0,23.0,77.0,0.0,1373.0,134.503,11.545,0.0,100.0,272.0,65.0,76.0,2549962240.0
DNAUY_176.1,1065.2,-34.27134,-57.27154,0.0,0.0,1.0,2.0,0.0,0.0,0.0,169.083,746.898,93.0,16.0,170.0,1196.0,1242.0,967.0,96.0,-4.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,23.0,71.0,0.0,0.0,0.0,0.0,25.0,21.0,54.0,25.0,83.0,0.0,2557.0,12.733,11.927,1.0,200.0,510.0,140.0,102.0,222440880.0
DNAUY_2206,8983.5,-33.37328,-56.51194,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2296.267,21828.609,147.0,14.0,171.0,1262.0,1340.0,1000.0,94.0,-6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,89.0,0.0,0.0,0.0,0.0,28.0,21.0,51.0,29.0,80.0,0.0,657.0,57.981,6.44,0.0,100.0,397.0,77.0,79.0,1085970688.0
DNAUY_2215,1382.1,-33.33961,-55.61436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.695,1915.719,199.0,19.0,169.0,1266.0,1347.0,997.0,94.0,-6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,96.0,0.0,0.0,0.0,0.0,26.0,22.0,52.0,29.0,80.0,0.0,658.0,7.061,5.097,0.0,100.0,351.0,71.0,74.0,144149440.0
DNAUY_2257,5972.4,-33.47342,-56.16194,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1480.751,12273.035,164.0,16.0,170.0,1264.0,1340.0,997.0,94.0,-6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,92.0,0.0,0.0,0.0,0.0,26.0,21.0,52.0,28.0,80.0,0.0,620.0,13.411,2.24,0.0,0.0,372.0,75.0,78.0,186799568.0
