FECHA,NIVEL
01/01/1992,35.91
01/02/1992,35.92
01/03/1992,35.92
01/04/1992,35.88
01/05/1992,35.87
01/06/1992,35.86
01/07/1992,35.89
01/08/1992,35.88
01/09/1992,35.87
01/10/1992,35.86
01/11/1992,35.85
01/12/1992,35.84
01/13/1992,35.87
01/14/1992,35.81
01/15/1992,35.76
01/16/1992,35.80
01/17/1992,35.80
01/18/1992,35.77
01/19/1992,35.76
01/20/1992,35.74
01/21/1992,35.70
01/22/1992,35.70
01/23/1992,35.68
01/24/1992,35.66
01/25/1992,35.67
01/26/1992,35.63
01/27/1992,35.64
01/28/1992,35.62
01/29/1992,35.60
01/30/1992,35.58
01/31/1992,35.55
02/01/1992,35.50
02/02/1992,35.56
02/03/1992,35.56
02/04/1992,35.55
02/05/1992,35.55
02/06/1992,35.65
02/07/1992,35.63
02/08/1992,35.61
02/09/1992,35.60
02/10/1992,35.56
02/11/1992,35.53
02/12/1992,35.52
02/13/1992,35.62
02/14/1992,35.60
02/15/1992,35.57
02/16/1992,35.53
02/17/1992,35.50
02/18/1992,35.47
02/19/1992,35.44
02/20/1992,35.46
02/21/1992,35.44
02/22/1992,35.41
02/23/1992,35.38
02/24/1992,35.34
02/25/1992,35.29
02/26/1992,35.30
02/27/1992,35.26
02/28/1992,35.23
02/29/1992,35.20
03/01/1992,35.17
03/02/1992,35.13
03/03/1992,35.09
03/04/1992,35.08
03/05/1992,35.04
03/06/1992,35.04
03/07/1992,35.01
03/08/1992,34.98
03/09/1992,34.95
03/10/1992,34.91
03/11/1992,34.88
03/12/1992,34.81
03/13/1992,34.79
03/14/1992,34.77
03/15/1992,34.72
03/16/1992,34.68
03/17/1992,34.67
03/18/1992,34.64
03/19/1992,34.69
03/20/1992,34.72
03/21/1992,34.71
03/22/1992,34.69
03/23/1992,34.69
03/24/1992,34.63
03/25/1992,34.59
03/26/1992,34.55
03/27/1992,34.54
03/28/1992,34.51
03/29/1992,34.50
03/30/1992,34.48
03/31/1992,34.47
04/01/1992,34.44
04/02/1992,34.40
04/03/1992,34.40
04/04/1992,34.43
04/05/1992,34.45
04/06/1992,34.44
04/07/1992,34.44
04/08/1992,34.43
04/09/1992,34.45
04/10/1992,34.46
04/11/1992,34.50
04/12/1992,34.52
04/13/1992,34.52
04/14/1992,34.52
04/15/1992,34.51
04/16/1992,34.55
04/17/1992,34.55
04/18/1992,34.54
04/19/1992,34.55
04/20/1992,34.64
04/21/1992,34.68
04/22/1992,34.70
04/23/1992,34.82
04/24/1992,34.87
04/25/1992,34.93
04/26/1992,34.97
04/27/1992,35.02
04/28/1992,35.08
04/29/1992,35.13
04/30/1992,35.49
05/01/1992,35.67
05/02/1992,36.18
05/03/1992,36.34
05/04/1992,36.27
05/05/1992,36.18
05/06/1992,36.13
05/07/1992,36.08
05/08/1992,36.38
05/09/1992,36.48
05/10/1992,36.60
05/11/1992,36.53
05/12/1992,36.69
05/13/1992,37.88
05/14/1992,37.14
05/15/1992,36.52
05/16/1992,36.17
05/17/1992,36.02
05/18/1992,35.85
05/19/1992,36.23
05/20/1992,36.19
05/21/1992,36.16
05/22/1992,36.14
05/23/1992,36.11
05/24/1992,36.11
05/25/1992,36.10
05/26/1992,36.10
05/27/1992,36.14
05/28/1992,36.27
05/29/1992,36.27
05/30/1992,36.26
05/31/1992,36.21
06/01/1992,36.18
06/02/1992,36.18
06/03/1992,36.18
06/04/1992,36.16
06/05/1992,36.13
06/06/1992,36.18
06/07/1992,36.32
06/08/1992,36.39
06/09/1992,36.37
06/10/1992,36.38
06/11/1992,36.40
06/12/1992,36.34
06/13/1992,36.23
06/14/1992,36.15
06/15/1992,36.11
06/16/1992,36.20
06/17/1992,36.32
06/18/1992,36.37
06/19/1992,36.37
06/20/1992,36.25
06/21/1992,36.23
06/22/1992,36.48
06/23/1992,37.97
06/24/1992,37.35
06/25/1992,36.94
06/26/1992,36.43
06/27/1992,36.57
06/28/1992,36.43
06/29/1992,36.35
06/30/1992,36.26
07/01/1992,36.19
07/02/1992,36.17
07/03/1992,36.14
07/04/1992,36.09
07/05/1992,36.11
07/06/1992,36.10
07/07/1992,36.07
07/08/1992,36.06
07/09/1992,36.05
07/10/1992,36.04
07/11/1992,36.06
07/12/1992,36.05
07/13/1992,36.03
07/14/1992,36.47
07/15/1992,37.40
07/16/1992,37.44
07/17/1992,36.92
07/18/1992,36.59
07/19/1992,36.43
07/20/1992,36.35
07/21/1992,36.44
07/22/1992,36.42
07/23/1992,36.33
07/24/1992,36.24
07/25/1992,36.21
07/26/1992,36.15
07/27/1992,36.15
07/28/1992,36.14
07/29/1992,36.10
07/30/1992,36.10
07/31/1992,36.09
08/01/1992,36.07
08/02/1992,36.06
08/03/1992,36.05
08/04/1992,36.05
08/05/1992,36.04
08/06/1992,36.03
08/07/1992,36.01
08/08/1992,36.00
08/09/1992,36.06
08/10/1992,36.17
08/11/1992,36.19
08/12/1992,36.16
08/13/1992,36.11
08/14/1992,36.06
08/15/1992,36.02
08/16/1992,35.97
08/17/1992,35.95
08/18/1992,35.93
08/19/1992,35.91
08/20/1992,35.90
08/21/1992,35.93
08/22/1992,35.95
08/23/1992,35.98
08/24/1992,36.95
08/25/1992,36.20
08/26/1992,36.24
08/27/1992,36.19
08/28/1992,36.12
08/29/1992,36.08
08/30/1992,36.07
08/31/1992,36.60
09/01/1992,38.18
09/02/1992,37.40
09/03/1992,36.86
09/04/1992,36.56
09/05/1992,36.40
09/06/1992,36.25
09/07/1992,36.15
09/08/1992,36.16
09/09/1992,36.12
09/10/1992,36.09
09/11/1992,36.05
09/12/1992,36.08
09/13/1992,36.85
09/14/1992,36.88
09/15/1992,36.54
09/16/1992,36.40
09/17/1992,36.25
09/18/1992,36.22
09/19/1992,36.34
09/20/1992,36.33
09/21/1992,36.29
09/22/1992,36.45
09/23/1992,36.64
09/24/1992,36.50
09/25/1992,36.34
09/26/1992,36.28
09/27/1992,36.25
09/28/1992,36.15
09/29/1992,36.24
09/30/1992,36.19
10/01/1992,36.15
10/02/1992,36.03
10/03/1992,36.00
10/04/1992,35.97
10/05/1992,35.95
10/06/1992,35.95
10/07/1992,35.99
10/08/1992,36.04
10/09/1992,36.04
10/10/1992,36.03
10/11/1992,36.00
10/12/1992,35.94
10/13/1992,35.94
10/14/1992,35.92
10/15/1992,35.89
10/16/1992,36.00
10/17/1992,37.60
10/18/1992,37.62
10/19/1992,37.00
10/20/1992,36.56
10/21/1992,36.43
10/22/1992,36.27
10/23/1992,36.16
10/24/1992,36.06
10/25/1992,36.01
10/26/1992,35.97
10/27/1992,35.95
10/28/1992,35.91
10/29/1992,35.97
10/30/1992,36.00
10/31/1992,36.04
11/01/1992,36.05
11/02/1992,36.02
11/03/1992,36.00
11/04/1992,35.99
11/05/1992,36.00
11/06/1992,35.99
11/07/1992,36.00
11/08/1992,35.99
11/09/1992,35.96
11/10/1992,35.93
11/11/1992,35.95
11/12/1992,36.08
11/13/1992,36.12
11/14/1992,36.30
11/15/1992,36.24
11/16/1992,36.19
11/17/1992,36.20
11/18/1992,36.20
11/19/1992,36.19
11/20/1992,36.18
11/21/1992,36.13
11/22/1992,36.12
11/23/1992,36.12
11/24/1992,36.05
11/25/1992,36.05
11/26/1992,36.01
11/27/1992,35.95
11/28/1992,35.90
11/29/1992,35.93
11/30/1992,35.90
12/01/1992,35.90
12/02/1992,35.86
12/03/1992,35.83
12/04/1992,35.81
12/05/1992,35.79
12/06/1992,35.76
12/07/1992,35.73
12/08/1992,35.67
12/09/1992,35.65
12/10/1992,35.63
12/11/1992,35.59
12/12/1992,35.55
12/13/1992,35.53
12/14/1992,35.50
12/15/1992,35.51
12/16/1992,35.49
12/17/1992,35.49
12/18/1992,35.45
12/19/1992,35.42
12/20/1992,35.38
12/21/1992,35.35
12/22/1992,35.34
12/23/1992,35.32
12/24/1992,35.26
12/25/1992,35.24
12/26/1992,35.23
12/27/1992,35.20
12/28/1992,35.19
12/29/1992,35.19
12/30/1992,35.17
12/31/1992,35.17
01/01/1993,35.15
01/02/1993,35.14
01/03/1993,35.13
01/04/1993,35.12
01/05/1993,35.10
01/06/1993,35.06
01/07/1993,35.06
01/08/1993,35.10
01/09/1993,35.10
01/10/1993,35.11
01/11/1993,35.09
01/12/1993,35.04
01/13/1993,35.03
01/14/1993,35.05
01/15/1993,35.02
01/16/1993,35.02
01/17/1993,35.02
01/18/1993,35.05
01/19/1993,35.04
01/20/1993,35.10
01/21/1993,35.13
01/22/1993,35.18
01/23/1993,35.20
01/24/1993,35.20
01/25/1993,35.21
01/26/1993,35.30
01/27/1993,35.31
01/28/1993,35.34
01/29/1993,35.36
01/30/1993,35.40
01/31/1993,35.47
02/01/1993,35.53
02/02/1993,35.55
02/03/1993,35.54
02/04/1993,35.58
02/05/1993,35.63
02/06/1993,35.63
02/07/1993,35.96
02/08/1993,36.20
02/09/1993,37.45
02/10/1993,37.38
02/11/1993,36.90
02/12/1993,36.62
02/13/1993,36.48
02/14/1993,36.38
02/15/1993,36.25
02/16/1993,36.13
02/17/1993,36.11
02/18/1993,36.21
02/19/1993,36.35
02/20/1993,36.50
02/21/1993,36.55
02/22/1993,36.58
02/23/1993,36.44
02/24/1993,36.29
02/25/1993,36.25
02/26/1993,36.20
02/27/1993,36.18
02/28/1993,36.15
03/01/1993,36.10
03/02/1993,36.09
03/03/1993,36.08
03/04/1993,36.08
03/05/1993,36.06
03/06/1993,36.04
03/07/1993,36.05
03/08/1993,36.04
03/09/1993,36.02
03/10/1993,36.01
03/11/1993,35.99
03/12/1993,35.99
03/13/1993,35.97
03/14/1993,35.97
03/15/1993,35.97
03/16/1993,36.00
03/17/1993,35.99
03/18/1993,35.99
03/19/1993,35.99
03/20/1993,35.01
03/21/1993,35.02
03/22/1993,35.08
03/23/1993,35.09
03/24/1993,35.07
03/25/1993,35.06
03/26/1993,35.05
03/27/1993,35.04
03/28/1993,35.03
03/29/1993,35.02
03/30/1993,35.99
03/31/1993,35.99
04/01/1993,36.00
04/02/1993,35.99
04/03/1993,35.99
04/04/1993,36.01
04/05/1993,36.01
04/06/1993,36.01
04/07/1993,36.01
04/08/1993,36.01
04/09/1993,36.00
04/10/1993,36.00
04/11/1993,36.00
04/12/1993,36.00
04/13/1993,36.00
04/14/1993,35.99
04/15/1993,35.99
04/16/1993,36.09
04/17/1993,36.25
04/18/1993,36.90
04/19/1993,37.17
04/20/1993,37.55
04/21/1993,37.54
04/22/1993,37.20
04/23/1993,37.06
04/24/1993,36.68
04/25/1993,36.38
04/26/1993,36.18
