time,Qsim
2009-01-02T00:00:00,0.00
2009-01-03T00:00:00,0.01
2009-01-04T00:00:00,2.55
2009-01-05T00:00:00,4.59
2009-01-06T00:00:00,4.54
2009-01-07T00:00:00,4.50
2009-01-08T00:00:00,4.52
2009-01-09T00:00:00,4.57
2009-01-10T00:00:00,4.55
2009-01-11T00:00:00,4.53
2009-01-12T00:00:00,6.52
2009-01-13T00:00:00,21.81
2009-01-14T00:00:00,23.09
2009-01-15T00:00:00,23.31
2009-01-16T00:00:00,22.98
2009-01-17T00:00:00,22.62
2009-01-18T00:00:00,22.85
2009-01-19T00:00:00,24.29
2009-01-20T00:00:00,25.38
2009-01-21T00:00:00,24.69
2009-01-22T00:00:00,23.44
2009-01-23T00:00:00,23.56
2009-01-24T00:00:00,24.53
2009-01-25T00:00:00,23.18
2009-01-26T00:00:00,20.89
2009-01-27T00:00:00,18.96
2009-01-28T00:00:00,17.39
2009-01-29T00:00:00,16.55
2009-01-30T00:00:00,18.17
2009-01-31T00:00:00,22.94
2009-02-01T00:00:00,27.64
2009-02-02T00:00:00,29.88
2009-02-03T00:00:00,63.87
2009-02-04T00:00:00,61.78
2009-02-05T00:00:00,48.75
2009-02-06T00:00:00,37.86
2009-02-07T00:00:00,31.32
2009-02-08T00:00:00,27.48
2009-02-09T00:00:00,25.45
2009-02-10T00:00:00,23.16
2009-02-11T00:00:00,22.52
2009-02-12T00:00:00,21.92
2009-02-13T00:00:00,20.08
2009-02-14T00:00:00,18.57
2009-02-15T00:00:00,17.38
2009-02-16T00:00:00,16.93
2009-02-17T00:00:00,17.86
2009-02-18T00:00:00,18.65
2009-02-19T00:00:00,17.39
2009-02-20T00:00:00,15.99
2009-02-21T00:00:00,15.11
2009-02-22T00:00:00,15.86
2009-02-23T00:00:00,137.08
2009-02-24T00:00:00,309.50
2009-02-25T00:00:00,323.20
2009-02-26T00:00:00,263.68
2009-02-27T00:00:00,189.46
2009-02-28T00:00:00,137.33
2009-03-01T00:00:00,105.97
2009-03-02T00:00:00,88.45
2009-03-03T00:00:00,77.45
2009-03-04T00:00:00,72.10
2009-03-05T00:00:00,129.69
2009-03-06T00:00:00,548.82
2009-03-07T00:00:00,831.15
2009-03-08T00:00:00,545.25
2009-03-09T00:00:00,389.39
2009-03-10T00:00:00,302.35
2009-03-11T00:00:00,212.73
2009-03-12T00:00:00,148.94
2009-03-13T00:00:00,113.84
2009-03-14T00:00:00,95.48
2009-03-15T00:00:00,91.39
2009-03-16T00:00:00,104.76
2009-03-17T00:00:00,124.14
2009-03-18T00:00:00,158.01
2009-03-19T00:00:00,148.75
2009-03-20T00:00:00,120.51
2009-03-21T00:00:00,99.73
2009-03-22T00:00:00,84.78
2009-03-23T00:00:00,74.44
2009-03-24T00:00:00,67.30
2009-03-25T00:00:00,62.48
2009-03-26T00:00:00,58.97
2009-03-27T00:00:00,35.74
2009-03-28T00:00:00,26.04
2009-03-29T00:00:00,24.65
2009-03-30T00:00:00,23.72
2009-03-31T00:00:00,23.34
2009-04-01T00:00:00,23.76
2009-04-02T00:00:00,22.34
2009-04-03T00:00:00,21.48
2009-04-04T00:00:00,21.65
2009-04-05T00:00:00,25.89
2009-04-06T00:00:00,31.52
2009-04-07T00:00:00,35.76
2009-04-08T00:00:00,38.45
2009-04-09T00:00:00,39.72
2009-04-10T00:00:00,38.42
2009-04-11T00:00:00,33.86
2009-04-12T00:00:00,28.91
2009-04-13T00:00:00,24.86
2009-04-14T00:00:00,21.67
2009-04-15T00:00:00,19.37
2009-04-16T00:00:00,17.75
2009-04-17T00:00:00,16.76
2009-04-18T00:00:00,16.06
2009-04-19T00:00:00,15.71
2009-04-20T00:00:00,15.28
2009-04-21T00:00:00,14.78
2009-04-22T00:00:00,14.48
2009-04-23T00:00:00,14.20
2009-04-24T00:00:00,13.92
2009-04-25T00:00:00,13.72
2009-04-26T00:00:00,13.60
2009-04-27T00:00:00,13.52
2009-04-28T00:00:00,13.37
2009-04-29T00:00:00,13.17
2009-04-30T00:00:00,12.96
2009-05-01T00:00:00,12.79
2009-05-02T00:00:00,12.65
2009-05-03T00:00:00,12.52
2009-05-04T00:00:00,12.40
2009-05-05T00:00:00,12.43
2009-05-06T00:00:00,12.32
