Fecha,Precip,PET,QM,mes_dia
1998-07-01,0.0,0.7,285.293,07-01
1998-07-02,0.0,0.7,480.67,07-02
1998-07-03,0.0,0.6,465.257,07-03
1998-07-04,0.0,0.7,472.226,07-04
1998-07-05,0.341584517,0.7,337.55,07-05
1998-07-06,14.67563176,0.6,203.68,07-06
1998-07-07,0.0,0.9,236.376,07-07
1998-07-08,0.0,0.8,192.88,07-08
1998-07-09,0.0,0.5,160.374,07-09
1998-07-10,0.0,0.5,126.276,07-10
1998-07-11,0.0,0.6,102.448,07-11
1998-07-12,0.0,0.9,72.609,07-12
1998-07-13,0.0,1.2,50.885,07-13
1998-07-14,0.0,1.2,33.908,07-14
1998-07-15,0.0,0.6,25.692,07-15
1998-07-16,15.26980991,0.7,22.423,07-16
1998-07-17,36.69150484,0.9,28.451,07-17
1998-07-18,0.0,1.0,113.988,07-18
1998-07-19,0.0,1.1,212.228,07-19
1998-07-20,0.515577882,0.5,220.104,07-20
1998-07-21,0.0,0.7,232.699,07-21
1998-07-22,2.061773474,1.5,158.916,07-22
1998-07-23,3.133944846,0.8,97.494,07-23
1998-07-24,51.30146885,0.9,83.51,07-24
1998-07-25,3.854741071,2.0,391.415,07-25
1998-07-26,0.0,1.3,531.738,07-26
1998-07-27,0.0,1.0,397.698,07-27
1998-07-28,0.0,1.0,404.041,07-28
1998-07-29,0.0,0.9,319.543,07-29
1998-07-30,0.0,0.7,176.177,07-30
1998-07-31,0.0,0.8,99.129,07-31
1998-08-01,0.0,0.9,72.156,08-01
1998-08-02,0.0,1.0,55.4,08-02
1998-08-03,0.0,0.9,46.251,08-03
1998-08-04,0.0,1.1,40.268,08-04
1998-08-05,1.590986304,0.6,35.069,08-05
1998-08-06,0.0,1.0,32.211,08-06
1998-08-07,0.0,1.1,30.836,08-07
1998-08-08,0.0,1.2,27.682,08-08
1998-08-09,0.0,0.8,25.692,08-09
1998-08-10,36.59557585,1.5,23.33,08-10
1998-08-11,0.0,1.3,25.692,08-11
1998-08-12,0.0,1.0,116.989,08-12
1998-08-13,0.0,1.3,139.329,08-13
1998-08-14,0.0,1.0,164.056,08-14
1998-08-15,0.0,1.3,140.002,08-15
1998-08-16,0.0,1.4,153.873,08-16
1998-08-17,0.0,1.5,57.35,08-17
1998-08-18,0.0,0.8,38.694,08-18
1998-08-19,0.0,1.5,32.211,08-19
1998-08-20,0.0,1.8,27.682,08-20
1998-08-21,0.0,1.4,24.024,08-21
1998-08-22,27.87522279,0.9,21.102,08-22
1998-08-23,33.41524962,0.7,102.448,08-23
1998-08-24,0.820909949,1.1,272.041,08-24
1998-08-25,6.229175103,1.2,299.99,08-25
1998-08-26,40.64752166,0.8,304.271,08-26
1998-08-27,0.0,1.7,492.07,08-27
1998-08-28,0.0,2.1,536.26,08-28
1998-08-29,0.0,1.8,426.061,08-29
1998-08-30,0.0,1.6,420.816,08-30
1998-08-31,0.0,1.9,283.229,08-31
1998-09-01,0.0,1.8,283.229,09-01
1998-09-02,42.63062796,0.8,273.047,09-02
1998-09-03,8.804785489,1.1,243.832,09-03
1998-09-04,0.0,1.6,226.349,09-04
1998-09-05,0.0,1.7,201.156,09-05
1998-09-06,0.0,1.8,195.341,09-06
1998-09-07,0.0,2.1,218.339,09-07
1998-09-08,5.360721799,2.6,216.582,09-08
1998-09-09,0.0,2.1,210.502,09-09
1998-09-10,0.0,2.7,156.743,09-10
1998-09-11,0.083935322,2.7,98.037,09-11
1998-09-12,0.317355208,1.5,45.561,09-12
1998-09-13,0.0,2.3,30.836,09-13
1998-09-14,0.0,1.8,27.682,09-14
1998-09-15,0.0,1.8,24.494,09-15
1998-09-16,0.0,2.3,22.199,09-16
1998-09-17,4.776438111,2.1,19.008,09-17
1998-09-18,0.0,2.5,17.427,09-18
1998-09-19,0.167870644,2.0,17.044,09-19
1998-09-20,0.0,2.5,16.667,09-20
1998-09-21,0.622260257,2.0,15.208,09-21
1998-09-22,0.0,4.4,15.208,09-22
1998-09-23,0.0,3.8,13.996,09-23
1998-09-24,0.0,3.2,13.495,09-24
1998-09-25,0.0,2.5,12.685,09-25
1998-09-26,14.72229992,2.0,11.905,09-26
1998-09-27,0.760744979,3.7,10.862,09-27
1998-09-28,0.0,3.4,13.331,09-28
1998-09-29,0.0,2.6,15.386,09-29
1998-09-30,0.0,3.4,14.165,09-30
1998-10-01,0.0,2.7,12.526,10-01
1998-10-02,0.0,3.0,11.154,10-02
1998-10-03,2.227698402,2.0,10.432,10-03
1998-10-04,2.090671241,3.0,9.739,10-04
1998-10-05,0.0,1.9,9.075,10-05
1998-10-06,0.0,2.8,8.439,10-06
1998-10-07,0.0,3.0,8.192,10-07
1998-10-08,0.0,3.2,7.83,10-08
1998-10-09,0.0,3.7,7.248,10-09
1998-10-10,0.0,3.9,7.023,10-10
1998-10-11,0.0,2.3,6.694,10-11
1998-10-12,0.0,2.2,6.802,10-12
1998-10-13,0.0,3.4,6.269,10-13
1998-10-14,0.0,3.7,6.207,10-14
1998-10-15,0.0,3.6,5.707,10-15
1998-10-16,0.0,3.2,5.02,10-16
1998-10-17,0.0,3.6,4.029,10-17
1998-10-18,0.0,3.7,3.518,10-18
1998-10-19,0.0,4.8,3.209,10-19
1998-10-20,0.0,4.2,2.923,10-20
1998-10-21,0.0,4.8,3.209,10-21
1998-10-22,6.362842606,6.4,2.658,10-22
1998-10-23,5.917284881,2.6,2.533,10-23
1998-10-24,0.0,4.1,2.414,10-24
1998-10-25,0.0,2.8,2.299,10-25
1998-10-26,0.0,2.1,2.189,10-26
1998-10-27,0.0,4.5,2.299,10-27
1998-10-28,5.030830441,4.6,2.414,10-28
1998-10-29,0.0,4.0,5.02,10-29
1998-10-30,0.0,3.3,5.241,10-30
1998-10-31,0.0,4.0,2.788,10-31
1998-11-01,0.0,4.4,2.533,11-01
1998-11-02,0.0,4.5,1.982,11-02
1998-11-03,0.0,4.1,1.791,11-03
1998-11-04,0.0,4.5,1.535,11-04
1998-11-05,0.0,3.8,1.381,11-05
1998-11-06,5.781832631,3.3,1.456,11-06
1998-11-07,1.907962245,2.0,1.535,11-07
1998-11-08,0.0,2.5,1.535,11-08
1998-11-09,0.0,3.6,1.791,11-09
1998-11-10,0.0,4.7,1.702,11-10
1998-11-11,0.0,5.4,1.617,11-11
1998-11-12,0.798621557,5.1,1.702,11-12
1998-11-13,0.0,5.2,1.176,11-13
1998-11-14,0.0,4.9,1.053,11-14
1998-11-15,0.618668184,2.4,1.113,11-15
1998-11-16,16.39783626,2.3,1.176,11-16
1998-11-17,0.932588935,2.0,1.241,11-17
1998-11-18,0.0,4.3,1.176,11-18
1998-11-19,0.0,4.2,1.456,11-19
1998-11-20,0.0,4.9,1.535,11-20
1998-11-21,0.0,5.4,1.31,11-21
1998-11-22,0.0,5.9,1.176,11-22
1998-11-23,0.0,6.1,0.996,11-23
1998-11-24,11.72229635,2.1,0.89,11-24
1998-11-25,1.622377401,4.9,0.793,11-25
1998-11-26,0.0,5.3,0.841,11-26
1998-11-27,0.0,5.6,0.706,11-27
1998-11-28,0.0,4.3,0.665,11-28
1998-11-29,0.0,5.5,0.626,11-29
1998-11-30,0.0,5.6,0.59,11-30
1998-12-01,0.0,5.7,0.46,12-01
1998-12-02,0.0,6.4,0.253,12-02
1998-12-03,0.0,2.9,0.205,12-03
1998-12-04,0.0,5.9,0.177,12-04
1998-12-05,2.429864922,2.4,0.177,12-05
1998-12-06,0.0,4.8,0.405,12-06
1998-12-07,0.0,5.4,0.379,12-07
1998-12-08,0.0,6.3,0.355,12-08
1998-12-09,0.0,4.7,0.355,12-09
1998-12-10,0.0,4.5,0.355,12-10
1998-12-11,5.320507614,2.9,0.379,12-11
1998-12-12,0.0,2.9,0.379,12-12
1998-12-13,11.59917743,1.8,0.46,12-13
