Fecha,Precip,PET,QM
1/1/2019,0,4.6,2.071
1/2/2019,30.03333286,3.9,3.11
1/3/2019,17.66666626,3.4,21.901
1/4/2019,0,4.5,22.433
1/5/2019,0,5.6,11.766
1/6/2019,11.39999969,4.1,10.085
1/7/2019,8.700000085,5.2,78.133
1/8/2019,16.48888885,6.8,53.181
1/9/2019,14.60000003,3.7,50.887
1/10/2019,6.933333464,2.4,54.125
1/11/2019,0.333333315,4.5,52.397
1/12/2019,0.111111102,3.2,40.953
1/13/2019,4.911111046,3.1,30.623
1/14/2019,4.444444539,4.6,31.712
1/15/2019,39.00230234,2.4,39.514
1/16/2019,17.22222211,3.9,175.641
1/17/2019,6.722222305,3.8,182.496
1/18/2019,24.21111103,2.8,173.883
1/19/2019,9.555555455,5.2,307.933
1/20/2019,0,4.8,360.076
1/21/2019,0,4.5,243.388
1/22/2019,0,5.1,185.416
1/23/2019,0,3.3,127.703
1/24/2019,0,5.3,71.371
1/25/2019,0,4.5,42.376
1/26/2019,0.666666685,4.7,28.205
1/27/2019,0,4.8,20.591
1/28/2019,0,5.6,18.187
1/29/2019,0.222222212,6.2,16.664
1/30/2019,4.931280714,4.2,13.139
1/31/2019,7.666666888,3.9,11.458
2/1/2019,0,3.2,10.614
2/2/2019,0.888888818,4.3,10.478
2/3/2019,0,4.3,9.862
2/4/2019,0,4.2,9.188
2/5/2019,0,4.4,8.352
2/6/2019,0,3.8,7.509
2/7/2019,0,4.9,6.908
2/8/2019,0,4.6,6.373
2/9/2019,0,4.9,5.7
2/10/2019,2.888888791,4.8,5.048
2/11/2019,28.77655237,2.7,6.59
2/12/2019,7.111110848,4.4,9.412
2/13/2019,0,3.4,11.808
2/14/2019,0,2.7,10.305
2/15/2019,0,4.2,8.408
2/16/2019,0,4.2,7.191
2/17/2019,0,4.4,6.33
2/18/2019,1.22222214,4.8,5.291
2/19/2019,0.444444409,4.5,4.85
2/20/2019,0,5.3,4.081
2/21/2019,0,5.8,3.812
2/22/2019,0,5,3.541
2/23/2019,16.80000002,2.8,3.141
2/24/2019,9.858707495,2.8,4.05
2/25/2019,3.444444286,3.2,4.381
2/26/2019,0,3.3,4.909
2/27/2019,0,3.2,4.86
2/28/2019,0,3.8,4.666
3/1/2019,0,3.6,3.823
3/2/2019,0,4.3,3.055
3/3/2019,0,3.6,2.573
3/4/2019,0.444444409,3.3,1.876
3/5/2019,0,3.5,1.136
3/6/2019,0,3.6,0.92
3/7/2019,1.222222193,4.6,0.759
3/8/2019,0,2.7,0.643
3/9/2019,0,3.2,0.594
3/10/2019,0,3.3,0.514
3/11/2019,0,3.7,0.412
3/12/2019,17.54815288,2.2,0.869
3/13/2019,3.335434565,3.5,1.747
3/14/2019,0,2.8,1.263
3/15/2019,0,2.7,0.889
3/16/2019,0,4.1,0.572
3/17/2019,0,2.2,0.458
3/18/2019,1.177777798,2.8,0.343
3/19/2019,0.22222221,3.1,0.265
3/20/2019,0,3.2,0.22
3/21/2019,0,2.4,0.181
3/22/2019,0,2.3,0.151
3/23/2019,0,2.3,0.134
3/24/2019,0,4.6,0.109
3/25/2019,0.222222205,2.6,0.086
3/26/2019,0.111111117,2.5,0.07
3/27/2019,0,2.6,0.612
3/28/2019,0,3.1,1.107
3/29/2019,0,3,0.977
3/30/2019,2.91111122,2.1,0.854
3/31/2019,1.177987983,2,0.717
4/1/2019,0,2.8,0.626
4/2/2019,0.666666614,3,0.591
4/3/2019,0,2.6,0.513
4/4/2019,15.2777776,3.3,0.489
4/5/2019,11.77777779,2.5,0.746
4/6/2019,0,2,1.417
4/7/2019,0,2,1.56
4/8/2019,0,2.1,1.019
4/9/2019,0,2.1,0.731
4/10/2019,0,2.5,0.571
4/11/2019,0,2.3,0.462
4/12/2019,0,1.7,0.393
4/13/2019,0,1.7,0.332
4/14/2019,0,2.1,0.264
4/15/2019,18.15555563,2,0.247
4/16/2019,8.777777697,1.9,0.338
4/17/2019,0,1.4,0.876
4/18/2019,0,1.7,1.441
4/19/2019,0,1.9,1.136
4/20/2019,0,2,0.823
4/21/2019,0,1.4,0.592
4/22/2019,0,1.4,0.447
4/23/2019,0,1.9,0.321
4/24/2019,0.777777804,2,0.217
4/25/2019,7.400000096,2.6,0.149
4/26/2019,32.64444448,1.5,0.122
4/27/2019,19.36666613,1.6,0.143
4/28/2019,0.444444454,1.4,3.207
4/29/2019,0,1.4,9.605
4/30/2019,0,1.4,9.353
5/1/2019,0,1,6.929
5/2/2019,0,1.5,3.013
5/3/2019,0.666666662,1.4,1.148
5/4/2019,1.288888905,1.2,0.563
5/5/2019,2.993179745,1.9,0.288
5/6/2019,1.666666628,1.5,0.161
5/7/2019,0,1,0.107
5/8/2019,0,1.7,0.071
5/9/2019,3.788888904,1.3,0.044
5/10/2019,1.666666631,1.3,0.029
5/11/2019,0,1.6,0.023
5/12/2019,0,0.8,0.019
5/13/2019,0.555555555,1.1,0.016
5/14/2019,0,1.2,0.011
5/15/2019,0,1.1,0.008
5/16/2019,0,1,0.004
5/17/2019,0,1.5,0.002
5/18/2019,0,1.1,0.002
5/19/2019,4.488888914,1,0.001
5/20/2019,19.27520009,1,0.001
5/21/2019,15.06666663,0.8,0.002
5/22/2019,2.666666638,1.2,0.02
5/23/2019,0.222222244,0.8,0.074
5/24/2019,0,0.4,0.118
5/25/2019,0,0.7,0.128
5/26/2019,0,0.9,0.054
5/27/2019,0,0.8,0.014
5/28/2019,0,0.8,0.006
5/29/2019,0,0.5,0.003
5/30/2019,1.911111118,0.6,0.001
5/31/2019,0.666666699,0.6,NaN
6/1/2019,0,0.4,NaN
6/2/2019,0,0.4,NaN
6/3/2019,0,0.6,NaN
6/4/2019,0,0.5,NaN
6/5/2019,0,0.8,NaN
6/6/2019,0,1,NaN
6/7/2019,0.555555585,0.8,NaN
6/8/2019,0,0.4,NaN
6/9/2019,2.577777809,0.6,NaN
6/10/2019,3.366666594,0.8,NaN
6/11/2019,4.333333215,0.7,NaN
6/12/2019,9.755555392,0.7,NaN
6/13/2019,20.08225047,0.8,0.493
6/14/2019,19.86524252,1.3,9.68
6/15/2019,7.847591054,0.8,7.872
6/16/2019,12.5555559,0.7,14.342
6/17/2019,0.888888847,0.9,23.27
6/18/2019,1.111111087,1.4,27.436
6/19/2019,0,1.3,17.913
6/20/2019,0,0.7,6.304
6/21/2019,0,0.7,0.741
6/22/2019,0,1,0.07
6/23/2019,0,2,0.005
6/24/2019,0.333333331,1.2,0.001
6/25/2019,6.324137204,2.1,NaN
6/26/2019,3.222222225,0.5,5.101
6/27/2019,0,0.4,8.083
6/28/2019,55.61111014,0.6,27.012
6/29/2019,15.8888888,0.8,240.173
6/30/2019,8.666666946,1.6,427.174
7/1/2019,0.555555585,1,363.919
7/2/2019,0,1.3,324.203
7/3/2019,0,1.1,226.596
7/4/2019,0,1,109.443
7/5/2019,0,0.8,48.815
7/6/2019,0,0.6,26.387
7/7/2019,0,0.2,17.725
7/8/2019,0,0.2,13.659
7/9/2019,0,0.3,11.034
7/10/2019,0,0.6,9.26
7/11/2019,0.333333307,0.6,7.962
7/12/2019,19.9228677,0.6,7.537
7/13/2019,6.333333136,0.7,10.291
7/14/2019,0,0.3,24.478
7/15/2019,0,0.5,40.505
7/16/2019,0,0.2,34.279
7/17/2019,0,0.5,19.366
7/18/2019,0,0.7,12.14
7/19/2019,0.222222234,0.6,8.885
7/20/2019,0,1,6.936
7/21/2019,3.900000057,3.2,5.427
7/22/2019,15.36666667,1.1,4.162
7/23/2019,16.7777777,1.1,10.677
7/24/2019,11.29999974,1,42.339
7/25/2019,40.19999977,0.8,91.917
7/26/2019,19.22222199,1.3,258.041
7/27/2019,0.666666633,0.9,390.565
7/28/2019,0.111111114,0.6,337.827
7/29/2019,0,0.8,327.81
7/30/2019,0,0.7,229.692
7/31/2019,1.955555623,0.9,104.641
8/1/2019,25.94444469,1.1,57.281
8/2/2019,11.55555555,1.4,91.843
8/3/2019,0,1,174.455
8/4/2019,0,0.6,190.476
8/5/2019,0,0.8,189.987
8/6/2019,0,1.1,108.444
8/7/2019,2.733333345,1.1,45.905
8/8/2019,29.38888865,1,31.053
8/9/2019,36.06666586,0.9,120.65
8/10/2019,8.555555398,1,283.783
8/11/2019,0.44444442,0.8,320.006
8/12/2019,0,1.4,310.417
8/13/2019,0,1.1,288.076
8/14/2019,0,0.9,166.138
8/15/2019,0,0.9,69.048
8/16/2019,0,1.2,29.779
8/17/2019,0,1.6,16.26
8/18/2019,0,1.5,10.969
8/19/2019,0,1.1,7.92
8/20/2019,0,1,5.31
8/21/2019,0,1,2.682
8/22/2019,0,0.9,1.39
8/23/2019,0,0.9,0.82
8/24/2019,0,1.4,0.533
8/25/2019,9.233333371,1.7,0.308
8/26/2019,6.422222187,1.2,0.24
8/27/2019,0,1.4,0.57
8/28/2019,0,1.4,0.857
8/29/2019,7.666666316,2.8,0.726
8/30/2019,47.17342144,1.2,56.362
8/31/2019,27.77777731,1.6,223.151
9/1/2019,0,2.2,258.539
9/2/2019,0,1.9,210.248
9/3/2019,0,1.9,246.863
9/4/2019,0,1.7,162.737
9/5/2019,0,1.6,57.58
9/6/2019,12.6938072,2.2,18.586
9/7/2019,9.356563574,1.3,31.569
9/8/2019,23.55160442,1.3,57.573
9/9/2019,22.29999998,1.4,87.918
9/10/2019,18.32848828,1.7,201.771
9/11/2019,7.025516514,1.2,227.675
9/12/2019,2.33333341,1.6,236.61
9/13/2019,0,1.8,234.669
9/14/2019,0,2.1,151.962
9/15/2019,13.55555542,2.1,84.519
9/16/2019,11.44444448,1.6,62.953
9/17/2019,3.333333318,2.1,83.659
9/18/2019,0,2.7,104.408
9/19/2019,0,3.4,114.525
9/20/2019,0,2.5,109.409
9/21/2019,0,3.1,69.943
9/22/2019,0,2.2,46.474
9/23/2019,0,2.3,32.101
9/24/2019,0,2.3,24.62
9/25/2019,0,2.5,20.022
9/26/2019,0,3,16.936
9/27/2019,0,2.5,14.995
9/28/2019,0,3.1,13.051
9/29/2019,0,3.3,11.353
9/30/2019,0.911111085,4.3,10.021
10/1/2019,47.59999985,1.9,9.343
10/2/2019,41.61111117,1.9,149.942
10/3/2019,7.944444437,3.2,492.453
10/4/2019,5.000000023,2,745.98
10/5/2019,1.666666576,2.5,1031.601
10/6/2019,0,2.6,799.528
10/7/2019,0,3.3,363.017
10/8/2019,0,3.3,179.785
10/9/2019,0,3.8,108.044
10/10/2019,0,3.8,76.288
10/11/2019,0,2.9,59.686
10/12/2019,8.911110842,2.6,50.93
10/13/2019,27.41934516,2.3,154.93
10/14/2019,13.88888867,2.8,300.319
10/15/2019,2.777777744,3.5,301.28
10/16/2019,11.19999998,2.1,210.256
10/17/2019,26.26666649,2,242.288
10/18/2019,10.22222222,3.2,408.992
10/19/2019,0,3.3,443.36
10/20/2019,0,2.4,379.699
10/21/2019,0.122222225,2.4,359.438
10/22/2019,0,3.3,227.743
10/23/2019,0,3.9,124.378
10/24/2019,0,3.8,73.343
10/25/2019,0,4,49.641
10/26/2019,4.644444399,5.3,38.272
10/27/2019,2.444444618,2.7,31.652
10/28/2019,31.93333331,3.5,29.591
10/29/2019,44.33333321,2.8,148.45
10/30/2019,26.58888862,2,426.196
10/31/2019,9.888888867,4.1,494.198
11/1/2019,0,3.9,573.867
11/2/2019,16.03333317,2.2,612.547
11/3/2019,3.879143744,3.8,557.269
11/4/2019,9.466666697,2.1,433.814
