ID,FECHA_CATALAN,CATALAN,FECHA_CUAREIM,CUAREIM,FECHA_ARTIGAS,ARTIGAS,FECHA_CUAREIM+04CATALAN,CUAREIM+04CATALAN
1,07/May/2026 22:30,6.85,08/May/2026 19:15,10.31,09/May/2026 18:15,8.06,09/May/2026 18:15,13.05
2,21/Sep/2025 08:00,6.46,22/Sep/2025 02:30,6.46,22/Sep/2025 11:15,7.95,22/Sep/2025 11:15,9.044
3,17/Jun/2025 06:45,7.29,18/Jun/2025 03:30,9.1,18/Jun/2025 18:30,8.25,18/Jun/2025 18:30,12.016
4,27/May/2025 12:00,7.62,29/May/2025 05:45,10.31,29/May/2025 17:00,10.17,29/May/2025 17:00,13.358
5,24/Oct/2024 13:00,8.51,25/Oct/2024 07:30,10.43,26/Oct/2024 05:30,7.76,26/Oct/2024 05:30,13.834
6,25/Sep/2024 08:45,6.76,26/Sep/2024 07:30,8.84,27/Sep/2024 06:15,8.23,27/Sep/2024 06:15,11.544
7,29/Apr/2024 20:45,6.15,28/Apr/2024 10:00,11.3,29/Apr/2024 13:15,9.79,29/Apr/2024 13:15,13.76
8,13/Apr/2024 08:30,9.51,14/Apr/2024 07:00,11.15,15/Apr/2024 08:30,9.45,15/Apr/2024 08:30,14.954
9,15/Dec/2023 19:30,8.87,16/Dec/2023 15:15,10.51,17/Dec/2023 14:00,8.7,17/Dec/2023 14:00,14.058
10,02/Dec/2023 15:30,6.48,03/Dec/2023 08:30,7.61,03/Dec/2023 22:30,6.89,03/Dec/2023 22:30,10.202
11,12/Nov/2023 16:00,10,13/Nov/2023 10:30,12.14,14/Nov/2023 13:15,10,14/Nov/2023 13:15,16.14
12,23/Sep/2023 12:15,7.73,24/Sep/2023 06:15,6.98,24/Sep/2023 19:30,7.61,24/Sep/2023 19:30,10.072
13,07/Sep/2023 22:45,7.26,08/Sep/2023 18:00,8.88,09/Sep/2023 13:00,7.63,09/Sep/2023 13:00,11.784
14,04/Aug/2022 06:15,7.29,05/Aug/2022 08:15,9.21,06/Aug/2022 05:30,8.59,06/Aug/2022 05:30,12.126
15,15/Jul/2022 14:45,7.22,17/Jul/2022 10:45,8.6,18/Jul/2022 02:00,7.87,18/Jul/2022 02:00,11.488
16,28/Apr/2022 10:00,8.43,29/Apr/2022 06:00,11.68,29/Apr/2022 23:30,10.28,29/Apr/2022 23:30,15.052
17,25/Apr/2022 18:15,9.83,26/Apr/2022 15:00,12.75,27/Apr/2022 07:00,11.58,27/Apr/2022 07:00,16.682
18,08/Sep/2021 05:45,6.91,08/Sep/2021 17:00,9.55,09/Sep/2021 18:45,8.1,09/Sep/2021 18:45,12.314
19,12/Jun/2020 12:30,8.41,13/Jun/2020 09:00,10.05,14/Jun/2020 05:45,8.06,14/Jun/2020 05:45,13.414
20,04/Nov/2019 23:00,7.4,05/Nov/2019 17:45,8.18,06/Nov/2019 07:15,6.74,06/Nov/2019 07:15,11.14
21,30/Oct/2019 13:45,7.1,31/Oct/2019 06:45,11.35,01/Nov/2019 07:30,8.19,01/Nov/2019 07:30,14.19
22,25/Jul/2019 13:45,7.08,26/Jul/2019 07:30,9.45,27/Jul/2019 01:30,7.72,27/Jul/2019 01:30,12.282
23,10/May/2019 07:45,8.4,11/May/2019 02:30,9.89,11/May/2019 20:45,7.85,11/May/2019 20:45,13.25
24,27/Apr/2019 00:15,8.12,27/Apr/2019 18:30,10.37,28/Apr/2019 09:30,8.08,28/Apr/2019 09:30,13.618
25,18/Jan/2019 13:15,8.38,19/Jan/2019 09:30,10.95,19/Jan/2019 15:00,10.41,19/Jan/2019 15:00,14.302
26,10/Jan/2019 06:00,8.24,11/Jan/2019 06:00,11.69,11/Jan/2019 17:15,10.43,11/Jan/2019 17:15,14.986
27,30/Sep/2018 06:30,7.48,01/Oct/2018 01:00,9.96,01/Oct/2018 20:45,8.02,01/Oct/2018 20:45,12.952
28,02/May/2018 23:00,6.96,03/May/2018 16:00,12.22,04/May/2018 22:15,9.25,04/May/2018 22:15,15.004
29,19/Oct/2017 06:15,8.65,20/Oct/2017 00:15,11.3,20/Oct/2017 21:15,8.53,20/Oct/2017 21:15,14.76
30,14/Sep/2017 09:15,8.7,14/Sep/2017 23:30,11.83,15/Sep/2017 13:15,10.81,15/Sep/2017 13:15,15.31
31,13/May/2017 03:00,6.39,13/May/2017 21:30,12.74,14/May/2017 22:45,9.91,14/May/2017 22:45,15.296
32,10/Apr/2017 06:15,8.38,11/Apr/2017 00:30,14.15,11/Apr/2017 16:00,12.6,11/Apr/2017 16:00,17.502
33,28/Jun/2016 08:45,5,28/Jun/2016 03:30,8.89,28/Jun/2016 23:45,8.95,28/Jun/2016 23:45,10.89
