ID,FECHA_SARANDI,SARANDI,FECHA_POLANCO,POLANCO,FECHA_DURAZNO,DURAZNO
1,'03-Nov-2009 23:00:00',5.62,'05-Nov-2009 21:00:00',8.54,'07-Nov-2009 07:00:00',7.94
2,'20-Nov-2009 03:00:00',6.62,'22-Nov-2009 02:00:00',9.85,'23-Nov-2009 17:00:00',9.26
3,'27-Nov-2009 18:00:00',4.24,'28-Nov-2009 21:00:00',6.75,'29-Nov-2009 13:00:00',6.64
4,'05-Feb-2010 03:00:00',5.88,'08-Feb-2010 11:00:00',12.05,'09-Feb-2010 14:00:00',12.46
5,'NaT',NaN,'30-Jun-2010 10:00:00',7.23,'01-Jul-2010 17:00:00',6.06
6,'NaT',NaN,'03-Aug-2010 19:00:00',6.59,'05-Aug-2010 04:00:00',4.82
7,'NaT',NaN,'04-Sep-2010 11:00:00',8.23,'05-Sep-2010 17:00:00',7.93
8,'15-Sep-2010 11:00:00',4.81,'17-Sep-2010 21:00:00',6.08,'19-Sep-2010 05:00:00',4.33
9,'26-May-2011 08:00:00',5.58,'28-May-2011 17:00:00',7.26,'27-May-2011 13:00:00',6.8
10,'24-Jun-2011 09:00:00',5.77,'26-Jun-2011 09:00:00',8.03,'25-Jun-2011 08:00:00',8.38
11,'17-Jul-2011 02:00:00',7.14,'18-Jul-2011 23:00:00',9.72,'20-Jul-2011 18:00:00',9.62
12,'04-Aug-2011 05:00:00',3.44,'04-Aug-2011 21:00:00',5.27,'05-Aug-2011 01:00:00',4.68
13,'17-Aug-2011 17:00:00',5.57,'19-Aug-2011 21:00:00',7.55,'21-Aug-2011 09:00:00',7.33
14,'29-Aug-2011 07:00:00',4.99,'31-Aug-2011 11:00:00',6.48,'01-Sep-2011 18:00:00',5.53
15,'NaT',NaN,'13-Oct-2011 19:00:00',5.3,'15-Oct-2011 00:00:00',4.74
16,'17-Jun-2012 11:00:00',3.55,'18-Jun-2012 11:00:00',6.09,'18-Jun-2012 03:00:00',5.75
17,'30-Jun-2012 19:00:00',5.23,'02-Jul-2012 14:00:00',8.05,'03-Jul-2012 22:00:00',8.12
18,'21-Aug-2012 16:00:00',6.41,'23-Aug-2012 10:00:00',9.71,'25-Aug-2012 07:00:00',9.65
19,'21-Sep-2012 23:00:00',2.91,'22-Sep-2012 20:00:00',4.61,'22-Sep-2012 13:00:00',4.06
20,'10-Oct-2012 13:00:00',6.54,'12-Oct-2012 09:00:00',8.68,'13-Oct-2012 19:00:00',8.66
21,'23-Oct-2012 16:00:00',4.76,'25-Oct-2012 02:00:00',8.81,'26-Oct-2012 00:00:00',8.94
22,'04-Apr-2013 15:00:00',5.26,'07-Apr-2013 21:00:00',5.45,'09-Apr-2013 00:00:00',3.88
23,'13-Apr-2013 03:00:00',4.72,'15-Apr-2013 21:00:00',5.89,'17-Apr-2013 14:00:00',4.5
24,'04-May-2013 17:00:00',5.55,'06-May-2013 22:00:00',7.71,'08-May-2013 03:00:00',7.51
25,'15-May-2013 19:00:00',4.76,'18-May-2013 19:00:00',5.77,'20-May-2013 01:00:00',4.62
26,'30-May-2013 02:00:00',5.48,'01-Jun-2013 15:00:00',6.98,'03-Jun-2013 03:00:00',6.11
27,'07-Jul-2013 03:00:00',6.68,'09-Jul-2013 10:00:00',7.88,'11-Jul-2013 01:00:00',7.51
28,'03-Aug-2013 23:00:00',5.35,'06-Aug-2013 09:00:00',6.94,'10-Aug-2013 02:00:00',6.42
29,'15-Sep-2013 19:00:00',6.18,'17-Sep-2013 17:00:00',8.92,'19-Sep-2013 08:00:00',9.37
30,'03-Feb-2014 09:00:00',6.68,'05-Feb-2014 00:00:00',10.33,'04-Feb-2014 16:00:00',11.23
31,'NaT',NaN,'15-Apr-2014 01:00:00',8.2,'14-Apr-2014 16:00:00',8.38
32,'15-Jun-2014 00:00:00',2.96,'16-Jun-2014 00:00:00',5.21,'16-Jun-2014 19:00:00',4.15
33,'25-Jun-2014 09:00:00',4.93,'27-Jun-2014 08:00:00',7.27,'28-Jun-2014 15:00:00',6.48
34,'06-Jul-2014 16:00:00',6.16,'08-Jul-2014 10:00:00',9.42,'07-Jul-2014 15:00:00',9.46
35,'NaT',NaN,'16-Sep-2014 22:00:00',11.96,'18-Sep-2014 15:00:00',12.21
36,'NaT',NaN,'12-Oct-2014 17:00:00',8.07,'11-Oct-2014 06:00:00',8.38
37,'NaT',NaN,'19-Oct-2014 17:00:00',6.94,'21-Oct-2014 02:00:00',6.33
38,'NaT',NaN,'06-Nov-2014 09:00:00',7.7,'05-Nov-2014 10:00:00',8.39
39,'13-Aug-2015 14:00:00',7.12,'15-Aug-2015 13:00:00',12.25,'17-Aug-2015 06:00:00',12.58
40,'28-Aug-2015 09:00:00',4.06,'30-Aug-2015 21:00:00',5.46,'31-Aug-2015 22:00:00',4.31
41,'26-Sep-2015 04:00:00',4.51,'28-Sep-2015 08:00:00',6.72,'29-Sep-2015 19:00:00',5.87
42,'03-Oct-2015 13:00:00',4.81,'05-Oct-2015 10:00:00',7.46,'06-Oct-2015 18:00:00',6.78
43,'NaT',NaN,'21-Dec-2015 06:00:00',3.95,'23-Dec-2015 13:00:00',4.9
44,'NaT',NaN,'03-Jan-2016 05:00:00',6.72,'04-Jan-2016 10:00:00',5.78
45,'18-Apr-2016 15:00:00',7.68,'20-Apr-2016 08:00:00',12.76,'22-Apr-2016 07:00:00',12.91
46,'06-Jul-2016 08:00:00',5.41,'08-Jul-2016 10:00:00',8.56,'09-Jul-2016 17:00:00',8.62
47,'29-Aug-2016 13:00:00',4.61,'31-Aug-2016 13:00:00',6.74,'01-Sep-2016 18:00:00',6.23
48,'06-Sep-2016 23:00:00',4.66,'08-Sep-2016 10:00:00',7.56,'09-Sep-2016 17:00:00',7.53
49,'14-Sep-2016 03:00:00',5.01,'16-Sep-2016 09:00:00',6.96,'17-Sep-2016 16:00:00',6.33
50,'28-Nov-2016 19:00:00',3.69,'01-Dec-2016 11:00:00',3.9,'03-Dec-2016 01:00:00',2.85
51,'NaT',NaN,'29-Dec-2016 11:00:00',7.63,'30-Dec-2016 23:00:00',7.05
52,'15-Feb-2017 02:00:00',4.58,'17-Feb-2017 09:00:00',6.59,'15-Feb-2017 20:00:00',6.8
53,'11-Mar-2017 13:00:00',3.35,'14-Mar-2017 07:00:00',4.58,'15-Mar-2017 00:00:00',3.13
54,'30-May-2017 10:00:00',4.36,'30-May-2017 05:00:00',6.6,'31-May-2017 00:00:00',6.24
55,'13-Aug-2017 04:00:00',6.17,'15-Aug-2017 10:00:00',8.87,'17-Aug-2017 02:00:00',8.61
56,'27-Aug-2017 17:00:00',4.83,'30-Aug-2017 01:00:00',8.25,'31-Aug-2017 00:00:00',9.1
