estacion,ancho_ventana,pentada_fin,parametro,valor
44,6,1,alpha,0.7021141854407126
44,6,1,beta,852.8630383816464
44,6,1,prob.0,0
44,6,1,prob.media.0,0
44,6,2,alpha,0.6291566627139928
44,6,2,beta,1009.0595766659534
44,6,2,prob.0,0
44,6,2,prob.media.0,0
44,6,3,alpha,0.6695398300298591
44,6,3,beta,931.9354879625932
44,6,3,prob.0,0
44,6,3,prob.media.0,0
44,6,4,alpha,0.7071301352411554
44,6,4,beta,807.4041181598172
44,6,4,prob.0,0
44,6,4,prob.media.0,0
44,6,5,alpha,0.7203423708159881
44,6,5,beta,682.3906998431314
44,6,5,prob.0,0
44,6,5,prob.media.0,0
44,6,6,alpha,0.70284109973508
44,6,6,beta,633.6793248834658
44,6,6,prob.0,0
44,6,6,prob.media.0,0
44,6,7,alpha,0.6585640165904751
44,6,7,beta,822.2284633509514
44,6,7,prob.0,0
44,6,7,prob.media.0,0
44,6,8,alpha,0.5630332306657795
44,6,8,beta,1234.70428330999
44,6,8,prob.0,0
44,6,8,prob.media.0,0
44,6,9,alpha,0.5488772156494632
44,6,9,beta,1501.4268505437267
44,6,9,prob.0,0
44,6,9,prob.media.0,0
44,6,10,alpha,0.5314562741366741
44,6,10,beta,1570.7358811517388
44,6,10,prob.0,0
44,6,10,prob.media.0,0
44,6,11,alpha,0.5173863439321089
44,6,11,beta,1751.2556346183633
44,6,11,prob.0,0
44,6,11,prob.media.0,0
44,6,12,alpha,0.5013327800818386
44,6,12,beta,1830.5074969070133
44,6,12,prob.0,0
44,6,12,prob.media.0,0
44,6,13,alpha,0.5473872433037599
44,6,13,beta,1559.351558207034
44,6,13,prob.0,0
44,6,13,prob.media.0,0
44,6,14,alpha,0.645544514804866
44,6,14,beta,1091.1946580263411
44,6,14,prob.0,0
44,6,14,prob.media.0,0
44,6,15,alpha,0.7648737930089232
44,6,15,beta,732.0736927159701
44,6,15,prob.0,0
44,6,15,prob.media.0,0
44,6,16,alpha,0.7951847546255322
44,6,16,beta,671.2783101007556
44,6,16,prob.0,0
44,6,16,prob.media.0,0
44,6,17,alpha,0.9385069875418044
44,6,17,beta,534.5176256503032
44,6,17,prob.0,0
44,6,17,prob.media.0,0
44,6,18,alpha,0.9076103071895569
44,6,18,beta,666.1862724371618
44,6,18,prob.0,0
44,6,18,prob.media.0,0
44,6,19,alpha,0.8719810991845569
44,6,19,beta,720.5784185997809
44,6,19,prob.0,0
44,6,19,prob.media.0,0
44,6,20,alpha,0.7243990020639928
44,6,20,beta,1177.3979299340735
44,6,20,prob.0,0
44,6,20,prob.media.0,0
44,6,21,alpha,0.7207180995333609
44,6,21,beta,1284.2102611843309
44,6,21,prob.0,0
44,6,21,prob.media.0,0
44,6,22,alpha,0.7081065419493291
44,6,22,beta,1485.2663093643612
44,6,22,prob.0,0
44,6,22,prob.media.0,0
44,6,23,alpha,0.6562254790757517
44,6,23,beta,1746.66586539221
44,6,23,prob.0,0
44,6,23,prob.media.0,0
44,6,24,alpha,0.6796460562356814
44,6,24,beta,1483.7462834810499
44,6,24,prob.0,0
44,6,24,prob.media.0,0
44,6,25,alpha,0.6892902015079501
44,6,25,beta,1467.701106982445
44,6,25,prob.0,0
44,6,25,prob.media.0,0
44,6,26,alpha,0.6574120493185369
44,6,26,beta,1650.7428954622574
44,6,26,prob.0,0
44,6,26,prob.media.0,0
44,6,27,alpha,0.6536090540272665
44,6,27,beta,1759.7660869539563
44,6,27,prob.0,0
44,6,27,prob.media.0,0
44,6,28,alpha,0.7219969418982104
44,6,28,beta,1588.308251174175
44,6,28,prob.0,0
44,6,28,prob.media.0,0
44,6,29,alpha,0.8153947670233566
44,6,29,beta,1367.777355659284
44,6,29,prob.0,0
44,6,29,prob.media.0,0
44,6,30,alpha,0.8783159526593419
44,6,30,beta,1363.8192426411836
44,6,30,prob.0,0
44,6,30,prob.media.0,0
44,6,31,alpha,0.8661442676315835
44,6,31,beta,1511.686003652054
44,6,31,prob.0,0
44,6,31,prob.media.0,0
44,6,32,alpha,0.8437625773853263
44,6,32,beta,1697.395036546442
44,6,32,prob.0,0
44,6,32,prob.media.0,0
44,6,33,alpha,0.9585984150665655
44,6,33,beta,1541.8312480144132
44,6,33,prob.0,0
44,6,33,prob.media.0,0
44,6,34,alpha,1.0241467626527043
44,6,34,beta,1489.436409629151
44,6,34,prob.0,0
44,6,34,prob.media.0,0
44,6,35,alpha,1.1524326121882467
44,6,35,beta,1452.941265586755
44,6,35,prob.0,0
44,6,35,prob.media.0,0
44,6,36,alpha,1.1352290350726926
44,6,36,beta,1514.491236947733
44,6,36,prob.0,0
44,6,36,prob.media.0,0
44,6,37,alpha,1.3868662830833034
44,6,37,beta,1297.493599752325
44,6,37,prob.0,0
44,6,37,prob.media.0,0
44,6,38,alpha,1.4943870463772453
44,6,38,beta,1313.806323702595
44,6,38,prob.0,0
44,6,38,prob.media.0,0
44,6,39,alpha,1.5409832712844946
44,6,39,beta,1282.821943237528
44,6,39,prob.0,0
44,6,39,prob.media.0,0
44,6,40,alpha,1.530705035079756
44,6,40,beta,1260.5310034927156
44,6,40,prob.0,0
44,6,40,prob.media.0,0
44,6,41,alpha,1.6472376382147347
44,6,41,beta,1161.2887412482442
44,6,41,prob.0,0
44,6,41,prob.media.0,0
44,6,42,alpha,1.7048717394754824
