Fecha,Caudal
1/1/1898,2178
1/2/1898,2315
1/3/1898,2145
1/4/1898,3670
1/5/1898,11283
1/6/1898,5924
1/7/1898,13542
1/8/1898,6401
1/9/1898,4517
1/10/1898,4072
1/11/1898,2585
1/12/1898,8242
1/1/1899,4395
1/2/1899,2199
1/3/1899,3334
1/4/1899,9034
1/5/1899,12458
1/6/1899,3959
1/7/1899,5601
1/8/1899,8823
1/9/1899,17588
1/10/1899,11744
1/11/1899,14937
1/12/1899,5115
1/1/1900,1935
1/2/1900,1030
1/3/1900,2067
1/4/1900,727
1/5/1900,2611
1/6/1900,6079
1/7/1900,5889
1/8/1900,7851
1/9/1900,11706
1/10/1900,14250
1/11/1900,8071
1/12/1900,3531
1/1/1901,1198
1/2/1901,1004
1/3/1901,948
1/4/1901,1119
1/5/1901,2826
1/6/1901,2904
1/7/1901,2097
1/8/1901,4117
1/9/1901,2872
1/10/1901,5480
1/11/1901,3998
1/12/1901,2009
1/1/1902,1047
1/2/1902,807
1/3/1902,1748
1/4/1902,2613
1/5/1902,6519
1/6/1902,6536
1/7/1902,4933
1/8/1902,4766
1/9/1902,7377
1/10/1902,7098
1/11/1902,12045
1/12/1902,6868
1/1/1903,3562
1/2/1903,3042
1/3/1903,8220
1/4/1903,7566
1/5/1903,4708
1/6/1903,10742
1/7/1903,6156
1/8/1903,7079
1/9/1903,4696
1/10/1903,3583
1/11/1903,3145
1/12/1903,5923
1/1/1904,2501
1/2/1904,1758
1/3/1904,7681
1/4/1904,9117
1/5/1904,2065
1/6/1904,3633
1/7/1904,10657
1/8/1904,8151
1/9/1904,5563
1/10/1904,10460
1/11/1904,9124
1/12/1904,3795
1/1/1905,2550
1/2/1905,1424
1/3/1905,3065
1/4/1905,1346
1/5/1905,6171
1/6/1905,15781
1/7/1905,5384
1/8/1905,10645
1/9/1905,8418
1/10/1905,11808
1/11/1905,7510
1/12/1905,7790
1/1/1906,2252
1/2/1906,800
1/3/1906,508
1/4/1906,737
1/5/1906,1730
1/6/1906,5693
