Fecha,Caudal
1/1/1908,
1/2/1908,
1/3/1908,642
1/4/1908,519
1/5/1908,1941
1/6/1908,6058
1/7/1908,6158
1/8/1908,4886
1/9/1908,5378
1/10/1908,6952
1/11/1908,3132
1/12/1908,5760
1/1/1909,3614
1/2/1909,2096
1/3/1909,2062
1/4/1909,926
1/5/1909,722
1/6/1909,3412
1/7/1909,4300
1/8/1909,1750
1/9/1909,2861
1/10/1909,4603
1/11/1909,1367
1/12/1909,1053
1/1/1910,1417
1/2/1910,3166
1/3/1910,5134
1/4/1910,6813
1/5/1910,4369
1/6/1910,4943
1/7/1910,4990
1/8/1910,8065
1/9/1910,4262
1/10/1910,2627
1/11/1910,940
1/12/1910,588
1/1/1911,474
1/2/1911,2251
1/3/1911,791
1/4/1911,2313
1/5/1911,8031
1/6/1911,3988
1/7/1911,4614
1/8/1911,5023
1/9/1911,10655
1/10/1911,12680
1/11/1911,4358
1/12/1911,7479
1/1/1912,9632
1/2/1912,1911
1/3/1912,2009
1/4/1912,1083
1/5/1912,6123
1/6/1912,6786
1/7/1912,4252
1/8/1912,8788
1/9/1912,5182
1/10/1912,2818
1/11/1912,2529
1/12/1912,740
1/1/1913,545
1/2/1913,609
1/3/1913,4293
1/4/1913,6419
1/5/1913,3205
1/6/1913,2225
1/7/1913,1768
1/8/1913,3208
1/9/1913,3400
1/10/1913,5995
1/11/1913,4239
1/12/1913,1244
1/1/1914,986
1/2/1914,694
1/3/1914,2656
1/4/1914,5000
1/5/1914,2575
1/6/1914,7138
1/7/1914,9239
1/8/1914,10153
1/9/1914,11449
1/10/1914,8989
1/11/1914,6512
1/12/1914,6897
1/1/1915,1942
1/2/1915,3931
1/3/1915,5254
1/4/1915,11292
1/5/1915,11009
1/6/1915,9224
1/7/1915,5849
1/8/1915,4900
1/9/1915,10333
1/10/1915,5157
1/11/1915,1721
1/12/1915,1293
1/1/1916,807
1/2/1916,2185
1/3/1916,565
1/4/1916,356
1/5/1916,4312
1/6/1916,12695
1/7/1916,10847
1/8/1916,7462
1/9/1916,6248
1/10/1916,4635
1/11/1916,952
1/12/1916,1184
1/1/1917,597
1/2/1917,637
1/3/1917,720
1/4/1917,475
1/5/1917,351
1/6/1917,423
1/7/1917,547
1/8/1917,765
1/9/1917,1029
1/10/1917,1559
1/11/1917,516
1/12/1917,839
1/1/1918,908
1/2/1918,941
1/3/1918,2030
1/4/1918,3350
1/5/1918,4783
1/6/1918,8161
1/7/1918,3814
1/8/1918,1522
1/9/1918,1638
1/10/1918,7433
1/11/1918,5167
1/12/1918,2433
1/1/1919,906
1/2/1919,603
1/3/1919,1272
1/4/1919,1398
1/5/1919,3816
1/6/1919,5034
1/7/1919,5394
1/8/1919,4054
1/9/1919,7558
1/10/1919,8142
1/11/1919,14012
1/12/1919,7203
1/1/1920,4860
1/2/1920,2109
1/3/1920,1270
1/4/1920,846
1/5/1920,626
1/6/1920,5512
1/7/1920,8977
1/8/1920,5687
1/9/1920,4929
