Fecha,Caudal
1/1/1924,734
1/2/1924,185
1/3/1924,107
1/4/1924,437
1/5/1924,1358
1/6/1924,3203
1/7/1924,2005
1/8/1924,1311
1/9/1924,1258
1/10/1924,458
1/11/1924,206
1/12/1924,121
1/1/1925,1325
1/2/1925,804
1/3/1925,188
1/4/1925,638
1/5/1925,5199
1/6/1925,2080
1/7/1925,1059
1/8/1925,381
1/9/1925,826
1/10/1925,1929
1/11/1925,1326
1/12/1925,1847
1/1/1926,1979
1/2/1926,592
1/3/1926,84
1/4/1926,307
1/5/1926,1459
1/6/1926,2320
1/7/1926,4322
1/8/1926,1269
1/9/1926,4093
1/10/1926,2072
1/11/1926,830
1/12/1926,957
1/1/1927,443
1/2/1927,569
1/3/1927,535
1/4/1927,352
1/5/1927,485
1/6/1927,2166
1/7/1927,511
1/8/1927,349
1/9/1927,2366
1/10/1927,2529
1/11/1927,7373
1/12/1927,589
1/1/1928,246
1/2/1928,422
1/3/1928,832
1/4/1928,4132
1/5/1928,3871
1/6/1928,11075
1/7/1928,4830
1/8/1928,6536
1/9/1928,7830
1/10/1928,6817
1/11/1928,1203
1/12/1928,591
1/1/1929,2012
1/2/1929,1216
1/3/1929,942
1/4/1929,247
1/5/1929,164
1/6/1929,2171
1/7/1929,1378
1/8/1929,2827
1/9/1929,6285
1/10/1929,12892
1/11/1929,1234
1/12/1929,530
1/1/1930,1671
1/2/1930,1547
1/3/1930,571
1/4/1930,143
1/5/1930,992
1/6/1930,479
1/7/1930,1037
1/8/1930,2786
1/9/1930,4080
1/10/1930,2882
1/11/1930,1562
1/12/1930,869
1/1/1931,985
1/2/1931,133
1/3/1931,225
1/4/1931,175
1/5/1931,4580
1/6/1931,3455
1/7/1931,3667
1/8/1931,1557
1/9/1931,5082
1/10/1931,1457
1/11/1931,527
1/12/1931,367
1/1/1932,592
1/2/1932,1175
1/3/1932,1534
1/4/1932,7476
1/5/1932,6577
1/6/1932,4748
1/7/1932,3440
1/8/1932,1536
1/9/1932,4403
1/10/1932,3805
1/11/1932,829
1/12/1932,808
1/1/1933,347
1/2/1933,227
1/3/1933,256
1/4/1933,124
1/5/1933,251
1/6/1933,510
1/7/1933,455
1/8/1933,1292
1/9/1933,1858
1/10/1933,4234
1/11/1933,1670
1/12/1933,329
1/1/1934,823
1/2/1934,1937
1/3/1934,1121
1/4/1934,1878
1/5/1934,1990
1/6/1934,1153
1/7/1934,847
1/8/1934,1976
1/9/1934,1956
1/10/1934,1467
1/11/1934,519
1/12/1934,885
1/1/1935,388
1/2/1935,150
1/3/1935,245
1/4/1935,113
1/5/1935,66
1/6/1935,761
1/7/1935,2871
1/8/1935,3947
1/9/1935,4738
1/10/1935,9217
1/11/1935,1926
1/12/1935,3082
1/1/1936,1143
1/2/1936,446
1/3/1936,481
1/4/1936,287
1/5/1936,1638
1/6/1936,7839
1/7/1936,3668
1/8/1936,4408
1/9/1936,2997
1/10/1936,3201
1/11/1936,1087
1/12/1936,493
1/1/1937,424
1/2/1937,445
1/3/1937,1343
1/4/1937,993
1/5/1937,471
1/6/1937,263
1/7/1937,699
1/8/1937,1493
1/9/1937,2453
1/10/1937,2259
1/11/1937,1814
1/12/1937,709
1/1/1938,1948
1/2/1938,3958
1/3/1938,678
1/4/1938,1453
1/5/1938,4703
1/6/1938,4304
1/7/1938,4285
1/8/1938,1168
1/9/1938,591
1/10/1938,521
1/11/1938,848
1/12/1938,257
1/1/1939,437
1/2/1939,555
1/3/1939,2050
1/4/1939,1339
1/5/1939,3907
1/6/1939,2968
1/7/1939,2963
1/8/1939,820
1/9/1939,3380
1/10/1939,1692
1/11/1939,3726
1/12/1939,5209
1/1/1940,2332
1/2/1940,1685
1/3/1940,859
1/4/1940,4389
1/5/1940,3057
1/6/1940,2646
1/7/1940,2380
1/8/1940,2124
1/9/1940,1111
1/10/1940,1764
1/11/1940,1445
1/12/1940,2740
1/1/1941,859
1/2/1941,2130
1/3/1941,1862
1/4/1941,4570
1/5/1941,5502
1/6/1941,4132
1/7/1941,2804
1/8/1941,5319
1/9/1941,3080
1/10/1941,2900
1/11/1941,2923
1/12/1941,2890
1/1/1942,851
1/2/1942,1545
1/3/1942,960
1/4/1942,2586
1/5/1942,3819
1/6/1942,2087
1/7/1942,1306
1/8/1942,2724
1/9/1942,1868
1/10/1942,2184
1/11/1942,446
1/12/1942,270
1/1/1943,136
1/2/1943,242
1/3/1943,211
1/4/1943,144
1/5/1943,1133
1/6/1943,4577
1/7/1943,2173
1/8/1943,3861
1/9/1943,2885
1/10/1943,2027
1/11/1943,684
1/12/1943,358
