Fecha,Caudal
1/1/1908,2074
1/2/1908,1711
1/3/1908,860
1/4/1908,533
1/5/1908,828
1/6/1908,3587
1/7/1908,3225
1/8/1908,2467
1/9/1908,2282
1/10/1908,4249
1/11/1908,2504
1/12/1908,4057
1/1/1909,2717
1/2/1909,1762
1/3/1909,1461
1/4/1909,800
1/5/1909,1051
1/6/1909,2091
1/7/1909,2661
1/8/1909,789
1/9/1909,1705
1/10/1909,2172
1/11/1909,952
1/12/1909,854
1/1/1910,1159
1/2/1910,2866
1/3/1910,3656
1/4/1910,3227
1/5/1910,2229
1/6/1910,4633
1/7/1910,3686
1/8/1910,5324
1/9/1910,2848
1/10/1910,1669
1/11/1910,614
1/12/1910,340
1/1/1911,381
1/2/1911,1960
1/3/1911,876
1/4/1911,2116
1/5/1911,6164
1/6/1911,2854
1/7/1911,3559
1/8/1911,4615
1/9/1911,7224
1/10/1911,11368
1/11/1911,3766
1/12/1911,6438
1/1/1912,5430
1/2/1912,1343
1/3/1912,1690
1/4/1912,840
1/5/1912,4215
1/6/1912,3530
1/7/1912,1766
1/8/1912,6520
1/9/1912,3810
1/10/1912,1964
1/11/1912,1498
1/12/1912,603
1/1/1913,491
1/2/1913,547
1/3/1913,3055
1/4/1913,3202
1/5/1913,1423
1/6/1913,1173
1/7/1913,999
1/8/1913,1712
1/9/1913,1964
1/10/1913,3506
1/11/1913,2596
1/12/1913,1024
1/1/1914,820
1/2/1914,610
1/3/1914,1694
1/4/1914,2327
1/5/1914,1381
1/6/1914,4745
1/7/1914,5496
1/8/1914,7531
1/9/1914,7158
1/10/1914,6265
1/11/1914,3714
1/12/1914,2638
1/1/1915,1053
1/2/1915,1474
1/3/1915,4493
1/4/1915,5647
1/5/1915,5895
1/6/1915,6348
1/7/1915,3613
1/8/1915,3783
1/9/1915,5230
1/10/1915,3151
1/11/1915,1225
1/12/1915,890
1/1/1916,651
1/2/1916,1791
1/3/1916,553
1/4/1916,249
1/5/1916,1440
1/6/1916,9966
1/7/1916,8465
1/8/1916,4390
1/9/1916,4547
1/10/1916,3338
