Fecha,Caudal
01/08/1987,58.189249999999994
01/09/1987,40.90618181818182
01/10/1987,26.76121739130435
01/11/1987,97.33036363636364
01/12/1987,51.63368181818183
01/01/1988,98.12251612903226
01/02/1988,37.818586206896576
01/03/1988,39.65558064516129
01/04/1988,54.26689999999999
01/05/1988,20.974258064516142
01/06/1988,14.469299999999997
01/07/1988,10.92890322580645
01/08/1988,35.08564516129032
01/09/1988,125.67386666666667
01/10/1988,9.875612903225807
01/11/1988,6.733966666666665
01/12/1988,14.738645161290325
01/01/1989,6.94735483870968
01/02/1989,3.8558214285714274
01/03/1989,3.6838064516129045
01/04/1989,11.882699999999998
01/05/1989,8.024225806451614
01/06/1989,3.980333333333331
01/07/1989,3.8784193548387105
01/08/1989,47.463193548387096
01/09/1989,14.997200000000001
01/10/1989,4.5782
01/11/1989,60.33453333333333
01/12/1989,17.025032258064513
01/01/1990,30.596161290322577
01/02/1990,135.96975
01/03/1990,148.70990322580647
01/04/1990,199.0924
01/05/1990,28.58567741935484
01/06/1990,26.163733333333337
01/07/1990,29.128645161290333
01/08/1990,28.494645161290318
01/09/1990,43.392466666666664
01/10/1990,66.44653333333333
01/11/1990,83.87556666666666
01/12/1990,153.99687096774196
01/01/1991,26.714935483870967
01/02/1991,10.990535714285711
01/03/1991,6.9830000000000005
01/04/1991,42.63533333333332
01/05/1991,57.41532258064516
01/06/1991,123.53933333333335
01/07/1991,121.205935483871
01/08/1991,9.832935483870969
01/09/1991,31.106066666666663
01/10/1991,37.07033333333333
01/11/1991,30.88166666666667
01/12/1991,157.02567741935485
01/01/1992,37.20970967741936
01/02/1992,20.70620689655172
01/03/1992,25.350838709677415
01/04/1992,109.86049999999999
01/05/1992,56.30980645161291
01/06/1992,96.41406666666667
01/07/1992,70.20048387096776
01/08/1992,36.16335483870968
01/09/1992,80.11633333333334
01/10/1992,36.84876666666667
01/11/1992,43.741466666666646
01/12/1992,56.01887096774191
01/01/1993,26.217870967741934
01/02/1993,22.859285714285722
01/03/1993,17.036999999999995
01/04/1993,138.34423333333334
01/05/1993,80.20770967741936
01/06/1993,58.660199999999996
01/07/1993,43.42316129032257
01/08/1993,12.96954838709677
01/09/1993,17.530966666666675
01/10/1993,56.21651612903224
01/11/1993,72.32380000000003
01/12/1993,80.46364516129034
01/01/1994,
01/02/1994,
01/03/1994,
01/04/1994,
01/05/1994,
01/06/1994,144.27727777777784
01/07/1994,140.92465
01/08/1994,34.42581818181819
01/09/1994,
01/10/1994,108.01011764705879
01/11/1994,
01/12/1994,
01/01/1995,10.976142857142856
01/02/1995,33.92736
01/03/1995,41.59864285714286
01/04/1995,33.42262962962964
01/05/1995,137.45582142857143
01/06/1995,
01/07/1995,98.50377777777777
01/08/1995,10.444964285714287
01/09/1995,11.182000000000002
01/10/1995,12.392249999999995
01/11/1995,
01/12/1995,
01/01/1996,
01/02/1996,
01/03/1996,
01/04/1996,
01/05/1996,
01/06/1996,
01/07/1996,
01/08/1996,20.447000000000003
01/09/1996,78.0764090909091
01/10/1996,39.69847826086956
01/11/1996,64.43931818181818
01/12/1996,30.65117391304346
01/01/1997,47.29990322580645
01/02/1997,21.700107142857142
01/03/1997,18.2181935483871
01/04/1997,30.4231
01/05/1997,96.66167741935485
01/06/1997,86.12256666666666
01/07/1997,31.62509677419355
01/08/1997,153.8311935483871
01/09/1997,29.167900000000007
01/10/1997,24.622580645161285
01/11/1997,174.12506666666667
01/12/1997,169.5095806451613
01/01/1998,236.75757692307693
01/02/1998,134.68400000000003
01/03/1998,209.87273076923077
01/04/1998,343.96164
01/05/1998,492.0450384615384
01/06/1998,216.04384000000005
01/07/1998,235.4898846153846
01/08/1998,
01/09/1998,
01/10/1998,
01/11/1998,
01/12/1998,
01/01/1999,
01/02/1999,
01/03/1999,
01/04/1999,
01/05/1999,
01/06/1999,
01/07/1999,
01/08/1999,
01/09/1999,
01/10/1999,
01/11/1999,
01/12/1999,
01/01/2000,
01/02/2000,
01/03/2000,
01/04/2000,
01/05/2000,
01/06/2000,
01/07/2000,
01/08/2000,
01/09/2000,
01/10/2000,
01/11/2000,
01/12/2000,
01/01/2001,
01/02/2001,
01/03/2001,
01/04/2001,
01/05/2001,
01/06/2001,
01/07/2001,
01/08/2001,
01/09/2001,
01/10/2001,
01/11/2001,
01/12/2001,
01/01/2002,
01/02/2002,
01/03/2002,
01/04/2002,
01/05/2002,
01/06/2002,
01/07/2002,
01/08/2002,
01/09/2002,
01/10/2002,
01/11/2002,
01/12/2002,
01/01/2003,
01/02/2003,
01/03/2003,
01/04/2003,
01/05/2003,
01/06/2003,
01/07/2003,
01/08/2003,
01/09/2003,
01/10/2003,
01/11/2003,
01/12/2003,
01/01/2004,
01/02/2004,
01/03/2004,
01/04/2004,
01/05/2004,
01/06/2004,
01/07/2004,
01/08/2004,
01/09/2004,
01/10/2004,
01/11/2004,
01/12/2004,
01/01/2005,
01/02/2005,
01/03/2005,
01/04/2005,
01/05/2005,
01/06/2005,46.65627272727272
01/07/2005,13.599760000000002
01/08/2005,44.35772000000001
01/09/2005,78.538625
01/10/2005,53.839360000000006
01/11/2005,32.669000000000004
01/12/2005,25.533159999999988
01/01/2006,5.039483870967741
01/02/2006,3.8996785714285704
01/03/2006,4.806903225806452
01/04/2006,10.102099999999997
01/05/2006,10.016096774193548
01/06/2006,43.82446666666667
01/07/2006,16.67183870967742
01/08/2006,17.588565217391302
01/09/2006,8.592999999999998
01/10/2006,30.596451612903227
01/11/2006,38.486466666666665
01/12/2006,72.7260322580645
01/01/2007,25.871387096774193
01/02/2007,55.49438461538461
01/03/2007,194.56103225806447
01/04/2007,108.25983333333332
01/05/2007,46.19106451612903
01/06/2007,63.06536666666667
01/07/2007,46.94187096774195
01/08/2007,63.79312903225807
01/09/2007,79.1278
01/10/2007,106.80893548387093
01/11/2007,43.64903333333333
01/12/2007,38.17040000000001
01/01/2008,9.961612903225806
01/02/2008,17.04265517241379
01/03/2008,9.098967741935484
01/04/2008,7.225866666666669
01/05/2008,12.819548387096775
01/06/2008,13.468166666666665
01/07/2008,30.060096774193553
01/08/2008,42.5088064516129
01/09/2008,4.707533333333334
01/10/2008,6.1494193548387095
01/11/2008,3.4915999999999996
01/12/2008,14.305387096774192
01/01/2009,46.030461538461545
01/02/2009,30.32969565217392
01/03/2009,24.782461538461533
01/04/2009,
01/05/2009,
01/06/2009,
01/07/2009,
01/08/2009,
01/09/2009,41.73499999999999
01/10/2009,24.878769230769237
01/11/2009,330.38091999999995
01/12/2009,168.95107692307693
01/01/2010,44.65587096774194
01/02/2010,192.65828571428574
01/03/2010,69.87961290322579
01/04/2010,38.62476666666666
01/05/2010,38.58693548387096
01/06/2010,80.08790000000003
01/07/2010,100.2702580645161
01/08/2010,67.34170967741933
01/09/2010,72.13109999999999
01/10/2010,17.790774193548383
01/11/2010,11.936633333333331
01/12/2010,13.269645161290326
01/01/2011,5.4228
01/02/2011,22.73296296296296
01/03/2011,25.014533333333326
01/04/2011,22.715724137931037
01/05/2011,79.65953333333333
01/06/2011,65.84624137931037
01/07/2011,59.09136666666666
01/08/2011,38.207433333333334
01/09/2011,18.491931034482754
01/10/2011,29.853533333333328
01/11/2011,11.110500000000002
01/12/2011,
01/01/2012,
01/02/2012,
01/03/2012,
01/04/2012,
01/05/2012,
01/06/2012,
01/07/2012,
01/08/2012,
01/09/2012,
01/10/2012,
01/11/2012,
01/12/2012,
01/01/2013,
01/02/2013,
01/03/2013,
01/04/2013,
01/05/2013,
01/06/2013,
01/07/2013,
01/08/2013,
01/09/2013,
01/10/2013,
01/11/2013,
01/12/2013,
01/01/2014,
01/02/2014,
01/03/2014,
01/04/2014,
01/05/2014,
01/06/2014,
01/07/2014,
01/08/2014,
01/09/2014,
01/10/2014,
01/11/2014,
01/12/2014,
01/01/2015,
01/02/2015,
01/03/2015,
01/04/2015,
01/05/2015,
01/06/2015,
01/07/2015,
01/08/2015,
01/09/2015,
01/10/2015,
01/11/2015,
01/12/2015,
01/01/2016,
01/02/2016,
01/03/2016,
01/04/2016,
01/05/2016,
01/06/2016,
01/07/2016,
01/08/2016,33.13434782608696
01/09/2016,44.21127272727273
01/10/2016,47.6735652173913
01/11/2016,8.65722727272727
01/12/2016,7.691416666666668
01/01/2017,25.008193548387084
01/02/2017,47.901714285714284
01/03/2017,39.129214285714276
01/04/2017,30.985633333333336
01/05/2017,154.5852580645161
01/06/2017,17.262766666666668
01/07/2017,15.611258064516127
01/08/2017,120.93851612903228
01/09/2017,119.1993
01/10/2017,140.0771612903226
01/11/2017,44.92027586206896
01/12/2017,47.30443333333334
01/01/2018,76.79838709677416
01/02/2018,84.44860714285718
01/03/2018,72.20161290322581
01/04/2018,117.6643
01/05/2018,44.74558064516128
01/06/2018,30.898448275862066
01/07/2018,80.05069999999999
01/08/2018,74.62636666666667
01/09/2018,152.31010344827587
01/10/2018,45.46649999999998
01/11/2018,98.35127586206893
01/12/2018,
01/01/2019,
01/02/2019,
01/03/2019,
01/04/2019,
01/05/2019,
01/06/2019,181.4071304347826
01/07/2019,60.10037500000001
01/08/2019,51.69291666666667
01/09/2019,41.20978260869566
01/10/2019,196.29874999999996
01/11/2019,
01/12/2019,
01/01/2020,
01/02/2020,
01/03/2020,
01/04/2020,
01/05/2020,
01/06/2020,
01/07/2020,
01/08/2020,
01/09/2020,
01/10/2020,
01/11/2020,
01/12/2020,3.873500000000001
01/01/2021,7.127533333333334
01/02/2021,24.20966666666666
01/03/2021,4.452066666666666
01/04/2021,40.38575862068965
01/05/2021,18.62953333333333
01/06/2021,82.5751
01/07/2021,51.37796774193548
01/08/2021,21.01629032258064
01/09/2021,73.68619230769231
01/10/2021,26.03867741935485
01/11/2021,39.05439999999999
01/12/2021,35.34396774193547
01/01/2022,10.979846153846154
01/02/2022,10.6975
01/03/2022,
01/04/2022,106.03088235294116
01/05/2022,28.113038461538466
01/06/2022,7.934416666666665
01/07/2022,
01/08/2022,
01/09/2022,7.160083333333333
01/10/2022,5.2357619047619055
01/11/2022,
01/12/2022,3.663333333333333
01/01/2023,2.0745806451612903
01/02/2023,3.7426521739130436
01/03/2023,3.80883870967742
01/04/2023,3.77388
01/05/2023,4.9526774193548375
01/06/2023,10.783966666666666
01/07/2023,70.59672413793102
01/08/2023,11.190307692307691
