"Fecha","Año_hidrologico","Escala","SDI","LogSDI","GammaSDI"
1980-01-01,"1979-1980","Jan-Jan",-0.24,0.24,0.03
1980-02-01,"1979-1980","Feb-Feb",-0.31,0.27,-0.01
1980-03-01,"1979-1980","Mar-Mar",0.48,0.87,0.81
1980-04-01,"1980-1981","Apr-Apr",0.77,1.23,1.09
1980-05-01,"1980-1981","May-May",0.38,0.82,0.72
1980-06-01,"1980-1981","Jun-Jun",0.56,0.74,0.75
1980-07-01,"1980-1981","Jul-Jul",0.43,0.63,0.63
1980-08-01,"1980-1981","Aug-Aug",0.48,0.67,0.65
1980-09-01,"1980-1981","Sep-Sep",-0.63,-0.54,-0.62
1980-10-01,"1980-1981","Oct-Oct",0.21,0.68,0.54
1980-11-01,"1980-1981","Nov-Nov",-0.08,0.37,0.23
1980-12-01,"1980-1981","Dec-Dec",-0.11,0.53,0.26
1981-01-01,"1980-1981","Jan-Jan",-0.02,0.56,0.37
1981-02-01,"1980-1981","Feb-Feb",-0.16,0.55,0.25
1981-03-01,"1980-1981","Mar-Mar",0.1,0.6,0.46
1981-04-01,"1981-1982","Apr-Apr",-0.36,0.1,-0.13
1981-05-01,"1981-1982","May-May",4.01,1.94,2.62
1981-06-01,"1981-1982","Jun-Jun",-0.48,-0.02,-0.19
1981-07-01,"1981-1982","Jul-Jul",-0.08,0.27,0.17
1981-08-01,"1981-1982","Aug-Aug",1.82,1.33,1.55
1981-09-01,"1981-1982","Sep-Sep",0.37,0.73,0.63
1981-10-01,"1981-1982","Oct-Oct",-0.51,-0.14,-0.31
1981-11-01,"1981-1982","Nov-Nov",-0.36,0.06,-0.11
1981-12-01,"1981-1982","Dec-Dec",0.03,0.71,0.44
1982-01-01,"1981-1982","Jan-Jan",-0.18,0.34,0.13
1982-02-01,"1981-1982","Feb-Feb",-0.28,0.35,0.06
1982-03-01,"1981-1982","Mar-Mar",0,0.51,0.35
1982-04-01,"1982-1983","Apr-Apr",-0.4,-0.01,-0.22
1982-05-01,"1982-1983","May-May",1.04,1.17,1.21
1982-06-01,"1982-1983","Jun-Jun",1.27,1.03,1.19
1982-07-01,"1982-1983","Jul-Jul",0.95,0.92,1.01
1982-08-01,"1982-1983","Aug-Aug",0.88,0.91,0.95
1982-09-01,"1982-1983","Sep-Sep",0.3,0.67,0.57
1982-10-01,"1982-1983","Oct-Oct",-0.17,0.34,0.16
1982-11-01,"1982-1983","Nov-Nov",-0.32,0.12,-0.05
1982-12-01,"1982-1983","Dec-Dec",-0.3,0.21,-0.04
1983-01-01,"1982-1983","Jan-Jan",-0.15,0.39,0.18
1983-02-01,"1982-1983","Feb-Feb",-0.36,0.16,-0.11
1983-03-01,"1982-1983","Mar-Mar",-0.45,-0.08,-0.27
1983-04-01,"1983-1984","Apr-Apr",-0.37,0.07,-0.15
1983-05-01,"1983-1984","May-May",-0.51,-0.22,-0.38
1983-06-01,"1983-1984","Jun-Jun",,,
1983-07-01,"1983-1984","Jul-Jul",,,
1983-08-01,"1983-1984","Aug-Aug",,,
1983-09-01,"1983-1984","Sep-Sep",,,
1983-10-01,"1983-1984","Oct-Oct",,,
1983-11-01,"1983-1984","Nov-Nov",2.58,1.58,1.97
1983-12-01,"1983-1984","Dec-Dec",0,0.68,0.41
1984-01-01,"1983-1984","Jan-Jan",0.85,1.18,1.21
1984-02-01,"1983-1984","Feb-Feb",3.05,1.86,2.26
1984-03-01,"1983-1984","Mar-Mar",0.46,0.86,0.79
1984-04-01,"1984-1985","Apr-Apr",-0.43,-0.08,-0.28
1984-05-01,"1984-1985","May-May",0.6,0.96,0.9
1984-06-01,"1984-1985","Jun-Jun",1.57,1.13,1.35
1984-07-01,"1984-1985","Jul-Jul",3.55,1.75,2.4
1984-08-01,"1984-1985","Aug-Aug",-1.05,-1.23,-1.23
1984-09-01,"1984-1985","Sep-Sep",-0.16,0.22,0.08
1984-10-01,"1984-1985","Oct-Oct",-0.17,0.34,0.16
1984-11-01,"1984-1985","Nov-Nov",1.69,1.32,1.52
1984-12-01,"1984-1985","Dec-Dec",-0.48,-0.34,-0.47
1985-01-01,"1984-1985","Jan-Jan",-0.4,-0.13,-0.32
1985-02-01,"1984-1985","Feb-Feb",-0.52,-0.65,-0.7
1985-03-01,"1984-1985","Mar-Mar",-0.08,0.43,0.27
1985-04-01,"1985-1986","Apr-Apr",-0.19,0.42,0.16
1985-05-01,"1985-1986","May-May",-0.19,0.32,0.14
1985-06-01,"1985-1986","Jun-Jun",0.22,0.56,0.5
1985-07-01,"1985-1986","Jul-Jul",-0.07,0.28,0.18
1985-08-01,"1985-1986","Aug-Aug",0.39,0.62,0.58
1985-09-01,"1985-1986","Sep-Sep",-0.19,0.18,0.04
1985-10-01,"1985-1986","Oct-Oct",0.41,0.81,0.71
1985-11-01,"1985-1986","Nov-Nov",0.16,0.58,0.47
1985-12-01,"1985-1986","Dec-Dec",-0.54,-0.67,-0.7
1986-01-01,"1985-1986","Jan-Jan",-0.51,-0.57,-0.67
1986-02-01,"1985-1986","Feb-Feb",-0.43,-0.09,-0.31
1986-03-01,"1985-1986","Mar-Mar",-0.68,-0.77,-0.84
1986-04-01,"1986-1987","Apr-Apr",-0.65,-1.4,-1.14
1986-05-01,"1986-1987","May-May",-0.29,0.19,0
1986-06-01,"1986-1987","Jun-Jun",-0.31,0.15,0
1986-07-01,"1986-1987","Jul-Jul",-0.33,0.03,-0.1
1986-08-01,"1986-1987","Aug-Aug",,,
1986-09-01,"1986-1987","Sep-Sep",,,
1986-10-01,"1986-1987","Oct-Oct",,,
1986-11-01,"1986-1987","Nov-Nov",,,
1986-12-01,"1986-1987","Dec-Dec",,,
1987-01-01,"1986-1987","Jan-Jan",-0.56,-0.91,-0.92
1987-02-01,"1986-1987","Feb-Feb",-0.52,-0.61,-0.68
1987-03-01,"1986-1987","Mar-Mar",0.26,0.72,0.62
1987-04-01,"1987-1988","Apr-Apr",-0.56,-0.61,-0.66
1987-05-01,"1987-1988","May-May",-0.74,-1.14,-1.08
1987-06-01,"1987-1988","Jun-Jun",-1.13,-2.1,-1.82
1987-07-01,"1987-1988","Jul-Jul",0.12,0.43,0.36
1987-08-01,"1987-1988","Aug-Aug",-0.02,0.31,0.22
1987-09-01,"1987-1988","Sep-Sep",-0.67,-0.62,-0.69
1987-10-01,"1987-1988","Oct-Oct",0.4,0.8,0.7
1987-11-01,"1987-1988","Nov-Nov",-0.75,-0.74,-0.82
1987-12-01,"1987-1988","Dec-Dec",-0.47,-0.28,-0.43
1988-01-01,"1987-1988","Jan-Jan",0.26,0.82,0.69
1988-02-01,"1987-1988","Feb-Feb",-0.45,-0.17,-0.37
1988-03-01,"1987-1988","Mar-Mar",2.22,1.52,1.87
1988-04-01,"1988-1989","Apr-Apr",-0.32,0.19,-0.05
1988-05-01,"1988-1989","May-May",-0.71,-0.97,-0.96
1988-06-01,"1988-1989","Jun-Jun",-1.08,-1.62,-1.52
1988-07-01,"1988-1989","Jul-Jul",-0.8,-0.63,-0.76
1988-08-01,"1988-1989","Aug-Aug",-0.4,-0.07,-0.2
1988-09-01,"1988-1989","Sep-Sep",-0.81,-1.03,-1.01
1988-10-01,"1988-1989","Oct-Oct",-0.83,-1.27,-1.16
1988-11-01,"1988-1989","Nov-Nov",-0.58,-0.31,-0.46
1988-12-01,"1988-1989","Dec-Dec",-0.55,-0.72,-0.73
1989-01-01,"1988-1989","Jan-Jan",-0.63,-2.19,-1.65
1989-02-01,"1988-1989","Feb-Feb",-0.58,-2.27,-1.54
1989-03-01,"1988-1989","Mar-Mar",-0.73,-1.08,-1.06
1989-04-01,"1989-1990","Apr-Apr",-0.64,-1.31,-1.09
1989-05-01,"1989-1990","May-May",-0.79,-1.67,-1.41
1989-06-01,"1989-1990","Jun-Jun",-1.14,-2.34,-1.97
1989-07-01,"1989-1990","Jul-Jul",-1.21,-1.99,-1.83
1989-08-01,"1989-1990","Aug-Aug",-0.39,-0.06,-0.18
1989-09-01,"1989-1990","Sep-Sep",-0.89,-1.32,-1.22
1989-10-01,"1989-1990","Oct-Oct",-0.86,-1.57,-1.35
1989-11-01,"1989-1990","Nov-Nov",-0.67,-0.49,-0.62
1989-12-01,"1989-1990","Dec-Dec",-0.37,0.04,-0.18
1990-01-01,"1989-1990","Jan-Jan",-0.52,-0.62,-0.71
1990-02-01,"1989-1990","Feb-Feb",-0.42,-0.04,-0.27
1990-03-01,"1989-1990","Mar-Mar",-0.41,-0.01,-0.2
1990-04-01,"1990-1991","Apr-Apr",2.11,1.73,1.87
1990-05-01,"1990-1991","May-May",-0.03,0.49,0.32
1990-06-01,"1990-1991","Jun-Jun",-0.28,0.18,0.04
1990-07-01,"1990-1991","Jul-Jul",-1.19,-1.9,-1.77
1990-08-01,"1990-1991","Aug-Aug",-1.35,-2.75,-2.27
1990-09-01,"1990-1991","Sep-Sep",-0.86,-1.22,-1.15
1990-10-01,"1990-1991","Oct-Oct",0.19,0.66,0.53
1990-11-01,"1990-1991","Nov-Nov",1.61,1.29,1.48
1990-12-01,"1990-1991","Dec-Dec",0.14,0.83,0.57
1991-01-01,"1990-1991","Jan-Jan",-0.5,-0.51,-0.63
1991-02-01,"1990-1991","Feb-Feb",,,
1991-03-01,"1990-1991","Mar-Mar",,,
1991-04-01,"1991-1992","Apr-Apr",,,
1991-05-01,"1991-1992","May-May",,,
1991-06-01,"1991-1992","Jun-Jun",,,
1991-07-01,"1991-1992","Jul-Jul",,,
1991-08-01,"1991-1992","Aug-Aug",,,
1991-09-01,"1991-1992","Sep-Sep",,,
1991-10-01,"1991-1992","Oct-Oct",,,
1991-11-01,"1991-1992","Nov-Nov",-0.2,0.25,0.09
1991-12-01,"1991-1992","Dec-Dec",-0.36,0.08,-0.15
1992-01-01,"1991-1992","Jan-Jan",-0.48,-0.39,-0.54
1992-02-01,"1991-1992","Feb-Feb",-0.53,-0.74,-0.76
1992-03-01,"1991-1992","Mar-Mar",-0.73,-1.05,-1.04
1992-04-01,"1992-1993","Apr-Apr",-0.31,0.2,-0.04
1992-05-01,"1992-1993","May-May",0.53,0.92,0.85
1992-06-01,"1992-1993","Jun-Jun",0.31,0.61,0.57
1992-07-01,"1992-1993","Jul-Jul",-0.21,0.15,0.03
1992-08-01,"1992-1993","Aug-Aug",-0.91,-0.87,-0.94
1992-09-01,"1992-1993","Sep-Sep",-0.3,0.04,-0.1
1992-10-01,"1992-1993","Oct-Oct",0.01,0.52,0.35
1992-11-01,"1992-1993","Nov-Nov",-0.26,0.18,0.02
1992-12-01,"1992-1993","Dec-Dec",-0.55,-0.75,-0.75
1993-01-01,"1992-1993","Jan-Jan",-0.29,0.16,-0.05
1993-02-01,"1992-1993","Feb-Feb",0.49,1.12,0.94
1993-03-01,"1992-1993","Mar-Mar",,,
1993-04-01,"1993-1994","Apr-Apr",,,
1993-05-01,"1993-1994","May-May",0.4,0.84,0.74
1993-06-01,"1993-1994","Jun-Jun",-0.22,0.24,0.11
1993-07-01,"1993-1994","Jul-Jul",-0.67,-0.4,-0.54
1993-08-01,"1993-1994","Aug-Aug",0.58,0.74,0.73
1993-09-01,"1993-1994","Sep-Sep",-0.38,-0.08,-0.21
1993-10-01,"1993-1994","Oct-Oct",2.21,1.53,1.78
1993-11-01,"1993-1994","Nov-Nov",2.54,1.57,1.95
1993-12-01,"1993-1994","Dec-Dec",1.99,1.75,1.86
1994-01-01,"1993-1994","Jan-Jan",-0.06,0.51,0.31
1994-02-01,"1993-1994","Feb-Feb",-0.36,0.16,-0.11
1994-03-01,"1993-1994","Mar-Mar",-0.55,-0.32,-0.48
1994-04-01,"1994-1995","Apr-Apr",-0.57,-0.68,-0.71
1994-05-01,"1994-1995","May-May",,,
1994-06-01,"1994-1995","Jun-Jun",,,
1994-07-01,"1994-1995","Jul-Jul",,,
1994-08-01,"1994-1995","Aug-Aug",,,
1994-09-01,"1994-1995","Sep-Sep",,,
1994-10-01,"1994-1995","Oct-Oct",,,
1994-11-01,"1994-1995","Nov-Nov",,,
1994-12-01,"1994-1995","Dec-Dec",,,
1995-01-01,"1994-1995","Jan-Jan",-0.44,-0.26,-0.43
1995-02-01,"1994-1995","Feb-Feb",-0.4,0.04,-0.21
1995-03-01,"1994-1995","Mar-Mar",-0.1,0.42,0.25
1995-04-01,"1995-1996","Apr-Apr",0.89,1.3,1.18
1995-05-01,"1995-1996","May-May",-0.37,0.06,-0.13
1995-06-01,"1995-1996","Jun-Jun",-0.02,0.4,0.29
1995-07-01,"1995-1996","Jul-Jul",0.71,0.8,0.85
1995-08-01,"1995-1996","Aug-Aug",-1.12,-1.46,-1.41
1995-09-01,"1995-1996","Sep-Sep",,,
1995-10-01,"1995-1996","Oct-Oct",,,
1995-11-01,"1995-1996","Nov-Nov",,,
1995-12-01,"1995-1996","Dec-Dec",,,
1996-01-01,"1995-1996","Jan-Jan",,,
1996-02-01,"1995-1996","Feb-Feb",,,
1996-03-01,"1995-1996","Mar-Mar",,,
1996-04-01,"1996-1997","Apr-Apr",,,
1996-05-01,"1996-1997","May-May",,,
1996-06-01,"1996-1997","Jun-Jun",,,
1996-07-01,"1996-1997","Jul-Jul",,,
1996-08-01,"1996-1997","Aug-Aug",,,
