"Fecha","Año_hidrologico","Escala","SDI","LogSDI","GammaSDI"
1980-01-01,"1979-1980","Nov-Jan",,,
1980-02-01,"1979-1980","Dec-Feb",,,
1980-03-01,"1979-1980","Jan-Mar",-0.6,-0.51,-0.62
1980-04-01,"1980-1981","Feb-Apr",-0.02,0.54,0.35
1980-05-01,"1980-1981","Mar-May",0.3,0.78,0.65
1980-06-01,"1980-1981","Apr-Jun",0.55,0.73,0.74
1980-07-01,"1980-1981","May-Jul",0.29,0.46,0.47
1980-08-01,"1980-1981","Jun-Aug",0.21,0.38,0.34
1980-09-01,"1980-1981","Jul-Sep",-0.33,-0.09,-0.18
1980-10-01,"1980-1981","Aug-Oct",-0.54,-0.3,-0.4
1980-11-01,"1980-1981","Sep-Nov",-0.94,-1,-1.03
1980-12-01,"1980-1981","Oct-Dec",-0.74,-0.49,-0.62
1981-01-01,"1980-1981","Nov-Jan",-0.36,0.03,-0.13
1981-02-01,"1980-1981","Dec-Feb",-0.19,0.35,0.13
1981-03-01,"1980-1981","Jan-Mar",-0.2,0.39,0.16
1981-04-01,"1981-1982","Feb-Apr",-0.6,-0.47,-0.58
1981-05-01,"1981-1982","Mar-May",0.92,1.18,1.17
1981-06-01,"1981-1982","Apr-Jun",0.78,0.85,0.91
1981-07-01,"1981-1982","May-Jul",0.95,0.78,0.93
1981-08-01,"1981-1982","Jun-Aug",-0.58,-0.39,-0.47
1981-09-01,"1981-1982","Jul-Sep",-0.29,-0.05,-0.14
1981-10-01,"1981-1982","Aug-Oct",-0.5,-0.24,-0.35
1981-11-01,"1981-1982","Sep-Nov",-0.93,-0.97,-1
1981-12-01,"1981-1982","Oct-Dec",-0.87,-0.81,-0.9
1982-01-01,"1981-1982","Nov-Jan",-0.7,-0.68,-0.75
1982-02-01,"1981-1982","Dec-Feb",-0.51,-0.3,-0.45
1982-03-01,"1981-1982","Jan-Mar",-0.63,-0.64,-0.71
1982-04-01,"1982-1983","Feb-Apr",-0.66,-0.72,-0.77
1982-05-01,"1982-1983","Mar-May",-0.42,-0.15,-0.3
1982-06-01,"1982-1983","Apr-Jun",0.25,0.55,0.5
1982-07-01,"1982-1983","May-Jul",0.84,0.74,0.86
1982-08-01,"1982-1983","Jun-Aug",0.96,0.93,0.97
1982-09-01,"1982-1983","Jul-Sep",0.27,0.49,0.44
