"Fecha","Año_hidrologico","Escala","SDI","LogSDI","GammaSDI"
1980-01-01,"1979-1980","Nov-Jan",,,
1980-02-01,"1979-1980","Dec-Feb",,,
1980-03-01,"1979-1980","Jan-Mar",-0.13,0.43,0.19
1980-04-01,"1980-1981","Feb-Apr",0.2,0.78,0.58
1980-05-01,"1980-1981","Mar-May",0.89,1.24,1.19
1980-06-01,"1980-1981","Apr-Jun",1.05,1.03,1.1
1980-07-01,"1980-1981","May-Jul",1,0.89,0.99
1980-08-01,"1980-1981","Jun-Aug",0.53,0.64,0.64
1980-09-01,"1980-1981","Jul-Sep",-0.02,0.28,0.19
1980-10-01,"1980-1981","Aug-Oct",-0.13,0.24,0.11
1980-11-01,"1980-1981","Sep-Nov",-0.41,-0.03,-0.17
1980-12-01,"1980-1981","Oct-Dec",-0.06,0.4,0.26
1981-01-01,"1980-1981","Nov-Jan",-0.32,0.08,-0.08
1981-02-01,"1980-1981","Dec-Feb",-0.13,0.41,0.18
1981-03-01,"1980-1981","Jan-Mar",-0.41,-0.15,-0.31
1981-04-01,"1981-1982","Feb-Apr",-0.53,-0.31,-0.45
1981-05-01,"1981-1982","Mar-May",0.85,1.22,1.15
1981-06-01,"1981-1982","Apr-Jun",0.72,0.88,0.88
1981-07-01,"1981-1982","May-Jul",0.96,0.87,0.96
1981-08-01,"1981-1982","Jun-Aug",-0.04,0.26,0.19
1981-09-01,"1981-1982","Jul-Sep",0.37,0.62,0.56
1981-10-01,"1981-1982","Aug-Oct",0.05,0.41,0.3
1981-11-01,"1981-1982","Sep-Nov",-0.56,-0.25,-0.38
1981-12-01,"1981-1982","Oct-Dec",-0.79,-0.76,-0.83
1982-01-01,"1981-1982","Nov-Jan",-0.75,-0.85,-0.87
1982-02-01,"1981-1982","Dec-Feb",-0.39,-0.12,-0.29
1982-03-01,"1981-1982","Jan-Mar",-0.51,-0.48,-0.56
1982-04-01,"1982-1983","Feb-Apr",-0.59,-0.52,-0.6
1982-05-01,"1982-1983","Mar-May",-0.19,0.3,0.09
1982-06-01,"1982-1983","Apr-Jun",0.61,0.82,0.8
1982-07-01,"1982-1983","May-Jul",1.02,0.9,1
1982-08-01,"1982-1983","Jun-Aug",1.11,0.93,1.04
1982-09-01,"1982-1983","Jul-Sep",0.31,0.57,0.51
1982-10-01,"1982-1983","Aug-Oct",,,
