"Fecha","Año_hidrologico","Escala","SDI","LogSDI","GammaSDI"
1980-01-01,"1979-1980","Aug-Jan",,,
1980-02-01,"1979-1980","Sep-Feb",,,
1980-03-01,"1979-1980","Oct-Mar",,,
1980-04-01,"1980-1981","Nov-Apr",,,
1980-05-01,"1980-1981","Dec-May",,,
1980-06-01,"1980-1981","Jan-Jun",-0.01,0.39,0.33
1980-07-01,"1980-1981","Feb-Jul",0.32,0.49,0.56
1980-08-01,"1980-1981","Mar-Aug",1.02,0.82,0.99
1980-09-01,"1980-1981","Apr-Sep",0.75,0.68,0.77
1980-10-01,"1980-1981","May-Oct",1.25,0.85,1.04
1980-11-01,"1980-1981","Jun-Nov",1.15,0.9,1.04
1980-12-01,"1980-1981","Jul-Dec",0.84,0.83,0.88
1981-01-01,"1980-1981","Aug-Jan",0.56,0.73,0.72
1981-02-01,"1980-1981","Sep-Feb",0.33,0.67,0.59
1981-03-01,"1980-1981","Oct-Mar",0.6,0.86,0.86
1981-04-01,"1981-1982","Nov-Apr",0.03,0.52,0.4
1981-05-01,"1981-1982","Dec-May",0.73,0.82,0.9
1981-06-01,"1981-1982","Jan-Jun",0.44,0.62,0.68
1981-07-01,"1981-1982","Feb-Jul",0.35,0.5,0.58
1981-08-01,"1981-1982","Mar-Aug",0.31,0.49,0.5
1981-09-01,"1981-1982","Apr-Sep",0.49,0.55,0.6
1981-10-01,"1981-1982","May-Oct",0.42,0.49,0.52
1981-11-01,"1981-1982","Jun-Nov",-0.41,-0.07,-0.18
1981-12-01,"1981-1982","Jul-Dec",-0.24,0.06,-0.03
1982-01-01,"1981-1982","Aug-Jan",-0.3,0.05,-0.07
1982-02-01,"1981-1982","Sep-Feb",-0.59,-0.41,-0.52
1982-03-01,"1981-1982","Oct-Mar",-0.82,-1.1,-1.12
1982-04-01,"1982-1983","Nov-Apr",-0.87,-1.17,-1.17
1982-05-01,"1982-1983","Dec-May",-0.51,0.05,-0.15
1982-06-01,"1982-1983","Jan-Jun",-0.03,0.38,0.31
1982-07-01,"1982-1983","Feb-Jul",0.33,0.49,0.56
1982-08-01,"1982-1983","Mar-Aug",0.57,0.62,0.69
1982-09-01,"1982-1983","Apr-Sep",0.69,0.65,0.73
1982-10-01,"1982-1983","May-Oct",0.71,0.63,0.71
1982-11-01,"1982-1983","Jun-Nov",0.53,0.59,0.61
1982-12-01,"1982-1983","Jul-Dec",0.02,0.29,0.22
1983-01-01,"1982-1983","Aug-Jan",-0.42,-0.1,-0.22
1983-02-01,"1982-1983","Sep-Feb",-0.53,-0.29,-0.42
1983-03-01,"1982-1983","Oct-Mar",-0.67,-0.48,-0.63
1983-04-01,"1983-1984","Nov-Apr",-0.6,-0.19,-0.38
1983-05-01,"1983-1984","Dec-May",-0.64,-0.14,-0.35
1983-06-01,"1983-1984","Jan-Jun",-0.68,-0.23,-0.44
1983-07-01,"1983-1984","Feb-Jul",-0.63,-0.07,-0.26
1983-08-01,"1983-1984","Mar-Aug",-0.39,0,-0.13
1983-09-01,"1983-1984","Apr-Sep",0.52,0.57,0.62
1983-10-01,"1983-1984","May-Oct",1.56,0.96,1.22
1983-11-01,"1983-1984","Jun-Nov",2.11,1.28,1.59
1983-12-01,"1983-1984","Jul-Dec",2.34,1.49,1.82
1984-01-01,"1983-1984","Aug-Jan",2.58,1.6,1.95
1984-02-01,"1983-1984","Sep-Feb",2.99,1.81,2.26
1984-03-01,"1983-1984","Oct-Mar",2.77,1.52,2.01
1984-04-01,"1984-1985","Nov-Apr",1.68,1.2,1.44
1984-05-01,"1984-1985","Dec-May",1.29,0.99,1.21
1984-06-01,"1984-1985","Jan-Jun",1.69,1.02,1.39
1984-07-01,"1984-1985","Feb-Jul",2.39,1,1.59
1984-08-01,"1984-1985","Mar-Aug",1.57,1.03,1.32
1984-09-01,"1984-1985","Apr-Sep",0.9,0.74,0.87
1984-10-01,"1984-1985","May-Oct",0.96,0.73,0.87
1984-11-01,"1984-1985","Jun-Nov",1.24,0.94,1.09
1984-12-01,"1984-1985","Jul-Dec",0.7,0.75,0.78
1985-01-01,"1984-1985","Aug-Jan",-0.56,-0.28,-0.4
1985-02-01,"1984-1985","Sep-Feb",-0.41,-0.09,-0.23
1985-03-01,"1984-1985","Oct-Mar",-0.33,0.15,-0.02
1985-04-01,"1985-1986","Nov-Apr",-0.42,0.1,-0.09
1985-05-01,"1985-1986","Dec-May",-0.72,-0.31,-0.52
1985-06-01,"1985-1986","Jan-Jun",-0.7,-0.27,-0.48
1985-07-01,"1985-1986","Feb-Jul",-0.36,0.14,0.03
1985-08-01,"1985-1986","Mar-Aug",-0.16,0.18,0.09
1985-09-01,"1985-1986","Apr-Sep",-0.29,0.06,-0.04
1985-10-01,"1985-1986","May-Oct",-0.05,0.23,0.18
1985-11-01,"1985-1986","Jun-Nov",0.13,0.34,0.3
