"Fecha","Año_hidrologico","Escala","SDI","LogSDI","GammaSDI"
1980-01-01,"1979-1980","Aug-Jan",,,
1980-02-01,"1979-1980","Sep-Feb",,,
1980-03-01,"1979-1980","Oct-Mar",,,
1980-04-01,"1980-1981","Nov-Apr",,,
1980-05-01,"1980-1981","Dec-May",,,
1980-06-01,"1980-1981","Jan-Jun",0.53,0.69,0.68
1980-07-01,"1980-1981","Feb-Jul",0.63,0.7,0.73
1980-08-01,"1980-1981","Mar-Aug",1.05,0.99,1.05
1980-09-01,"1980-1981","Apr-Sep",0.56,0.66,0.65
1980-10-01,"1980-1981","May-Oct",0.41,0.5,0.5
1980-11-01,"1980-1981","Jun-Nov",0.3,0.43,0.4
1980-12-01,"1980-1981","Jul-Dec",0.03,0.25,0.19
1981-01-01,"1980-1981","Aug-Jan",-0.1,0.19,0.11
1981-02-01,"1980-1981","Sep-Feb",-0.29,0.08,-0.04
1981-03-01,"1980-1981","Oct-Mar",-0.04,0.32,0.23
1981-04-01,"1981-1982","Nov-Apr",-0.29,0.11,-0.02
1981-05-01,"1981-1982","Dec-May",1.31,1.06,1.19
1981-06-01,"1981-1982","Jan-Jun",0.95,0.89,0.96
1981-07-01,"1981-1982","Feb-Jul",0.82,0.8,0.87
1981-08-01,"1981-1982","Mar-Aug",1.63,1.31,1.46
1981-09-01,"1981-1982","Apr-Sep",1.41,1.14,1.26
1981-10-01,"1981-1982","May-Oct",1.5,1.13,1.28
1981-11-01,"1981-1982","Jun-Nov",0.1,0.28,0.24
1981-12-01,"1981-1982","Jul-Dec",0.33,0.47,0.44
1982-01-01,"1981-1982","Aug-Jan",0.38,0.54,0.52
1982-02-01,"1981-1982","Sep-Feb",-0.31,0.06,-0.06
1982-03-01,"1981-1982","Oct-Mar",-0.48,-0.09,-0.23
1982-04-01,"1982-1983","Nov-Apr",-0.45,-0.06,-0.2
1982-05-01,"1982-1983","Dec-May",0.09,0.45,0.36
1982-06-01,"1982-1983","Jan-Jun",0.54,0.69,0.69
1982-07-01,"1982-1983","Feb-Jul",0.78,0.78,0.84
1982-08-01,"1982-1983","Mar-Aug",1.35,1.16,1.26
1982-09-01,"1982-1983","Apr-Sep",1.17,1.02,1.1
1982-10-01,"1982-1983","May-Oct",1.37,1.07,1.2
1982-11-01,"1982-1983","Jun-Nov",1.06,0.92,1
1982-12-01,"1982-1983","Jul-Dec",0.46,0.57,0.56
1983-01-01,"1982-1983","Aug-Jan",0.11,0.35,0.29
1983-02-01,"1982-1983","Sep-Feb",-0.31,0.06,-0.06
1983-03-01,"1982-1983","Oct-Mar",-0.56,-0.17,-0.31
1983-04-01,"1983-1984","Nov-Apr",-0.65,-0.33,-0.47
1983-05-01,"1983-1984","Dec-May",-0.69,-0.35,-0.49
1983-06-01,"1983-1984","Jan-Jun",,,
1983-07-01,"1983-1984","Feb-Jul",,,
1983-08-01,"1983-1984","Mar-Aug",,,
1983-09-01,"1983-1984","Apr-Sep",,,
1983-10-01,"1983-1984","May-Oct",,,
1983-11-01,"1983-1984","Jun-Nov",,,
1983-12-01,"1983-1984","Jul-Dec",,,
1984-01-01,"1983-1984","Aug-Jan",,,
1984-02-01,"1983-1984","Sep-Feb",,,
1984-03-01,"1983-1984","Oct-Mar",,,
1984-04-01,"1984-1985","Nov-Apr",2.27,1.42,1.73
1984-05-01,"1984-1985","Dec-May",1.82,1.23,1.46
1984-06-01,"1984-1985","Jan-Jun",2.11,1.31,1.61
1984-07-01,"1984-1985","Feb-Jul",2.79,1.5,1.96
1984-08-01,"1984-1985","Mar-Aug",1.78,1.39,1.56
1984-09-01,"1984-1985","Apr-Sep",1.32,1.1,1.21
1984-10-01,"1984-1985","May-Oct",1.56,1.15,1.32
1984-11-01,"1984-1985","Jun-Nov",1.82,1.31,1.51
1984-12-01,"1984-1985","Jul-Dec",1.07,0.95,1.02
1985-01-01,"1984-1985","Aug-Jan",-0.36,-0.05,-0.15
1985-02-01,"1984-1985","Sep-Feb",-0.24,0.13,0.02
1985-03-01,"1984-1985","Oct-Mar",-0.21,0.18,0.07
1985-04-01,"1985-1986","Nov-Apr",-0.22,0.18,0.05
1985-05-01,"1985-1986","Dec-May",-0.59,-0.2,-0.35
1985-06-01,"1985-1986","Jan-Jun",-0.31,0.09,-0.04
1985-07-01,"1985-1986","Feb-Jul",-0.25,0.11,0
1985-08-01,"1985-1986","Mar-Aug",0.02,0.24,0.18
1985-09-01,"1985-1986","Apr-Sep",-0.09,0.16,0.09
1985-10-01,"1985-1986","May-Oct",0.1,0.29,0.24
1985-11-01,"1985-1986","Jun-Nov",0.22,0.37,0.34
1985-12-01,"1985-1986","Jul-Dec",-0.01,0.21,0.15
1986-01-01,"1985-1986","Aug-Jan",-0.04,0.24,0.16
1986-02-01,"1985-1986","Sep-Feb",-0.34,0.04,-0.08
