"Fecha","Año_hidrologico","Escala","SDI","LogSDI","GammaSDI"
1980-01-01,"1979-1980","Aug-Jan",,,
1980-02-01,"1979-1980","Sep-Feb",,,
1980-03-01,"1979-1980","Oct-Mar",,,
1980-04-01,"1980-1981","Nov-Apr",,,
1980-05-01,"1980-1981","Dec-May",,,
1980-06-01,"1980-1981","Jan-Jun",0,0.37,0.29
1980-07-01,"1980-1981","Feb-Jul",0.14,0.4,0.36
1980-08-01,"1980-1981","Mar-Aug",0.34,0.56,0.5
1980-09-01,"1980-1981","Apr-Sep",0.15,0.35,0.29
1980-10-01,"1980-1981","May-Oct",-0.27,-0.03,-0.11
1980-11-01,"1980-1981","Jun-Nov",-0.49,-0.27,-0.36
1980-12-01,"1980-1981","Jul-Dec",-0.61,-0.45,-0.52
1981-01-01,"1980-1981","Aug-Jan",-0.54,-0.3,-0.4
1981-02-01,"1980-1981","Sep-Feb",-0.76,-0.6,-0.7
1981-03-01,"1980-1981","Oct-Mar",-0.58,-0.27,-0.41
1981-04-01,"1981-1982","Nov-Apr",-0.66,-0.46,-0.57
1981-05-01,"1981-1982","Dec-May",0.67,0.85,0.85
1981-06-01,"1981-1982","Jan-Jun",0.39,0.61,0.6
1981-07-01,"1981-1982","Feb-Jul",0.18,0.43,0.4
1981-08-01,"1981-1982","Mar-Aug",0.39,0.6,0.55
1981-09-01,"1981-1982","Apr-Sep",0.35,0.51,0.48
1981-10-01,"1981-1982","May-Oct",0.22,0.39,0.35
1981-11-01,"1981-1982","Jun-Nov",-0.94,-0.85,-0.91
1981-12-01,"1981-1982","Jul-Dec",-0.67,-0.53,-0.6
1982-01-01,"1981-1982","Aug-Jan",-0.67,-0.48,-0.58
1982-02-01,"1981-1982","Sep-Feb",-0.95,-0.99,-1.04
1982-03-01,"1981-1982","Oct-Mar",-0.95,-1.13,-1.15
1982-04-01,"1982-1983","Nov-Apr",-0.9,-1.06,-1.07
1982-05-01,"1982-1983","Dec-May",-0.64,-0.36,-0.51
1982-06-01,"1982-1983","Jan-Jun",-0.21,0.21,0.09
1982-07-01,"1982-1983","Feb-Jul",0.08,0.36,0.31
1982-08-01,"1982-1983","Mar-Aug",0.2,0.43,0.36
1982-09-01,"1982-1983","Apr-Sep",0.35,0.51,0.47
1982-10-01,"1982-1983","May-Oct",0.26,0.43,0.39
1982-11-01,"1982-1983","Jun-Nov",0.16,0.35,0.3
1982-12-01,"1982-1983","Jul-Dec",-0.24,-0.01,-0.09
1983-01-01,"1982-1983","Aug-Jan",-0.58,-0.35,-0.45
1983-02-01,"1982-1983","Sep-Feb",-0.8,-0.68,-0.77
1983-03-01,"1982-1983","Oct-Mar",-0.97,-1.21,-1.2
1983-04-01,"1983-1984","Nov-Apr",-1.02,-1.58,-1.44
1983-05-01,"1983-1984","Dec-May",-0.99,-1.45,-1.37
1983-06-01,"1983-1984","Jan-Jun",-0.86,-0.64,-0.79
1983-07-01,"1983-1984","Feb-Jul",-1.09,-1.09,-1.19
1983-08-01,"1983-1984","Mar-Aug",-0.65,-0.6,-0.64
1983-09-01,"1983-1984","Apr-Sep",0.5,0.62,0.61
1983-10-01,"1983-1984","May-Oct",1.42,1.15,1.28
1983-11-01,"1983-1984","Jun-Nov",2.15,1.55,1.78
1983-12-01,"1983-1984","Jul-Dec",2.46,1.77,2.03
1984-01-01,"1983-1984","Aug-Jan",2.92,1.8,2.19
1984-02-01,"1983-1984","Sep-Feb",3.61,1.89,2.47
1984-03-01,"1983-1984","Oct-Mar",2.29,1.47,1.8
1984-04-01,"1984-1985","Nov-Apr",1.55,1.27,1.43
1984-05-01,"1984-1985","Dec-May",1.45,1.18,1.35
1984-06-01,"1984-1985","Jan-Jun",1.57,1.09,1.34
1984-07-01,"1984-1985","Feb-Jul",2,1.25,1.58
1984-08-01,"1984-1985","Mar-Aug",1.04,1.12,1.13
1984-09-01,"1984-1985","Apr-Sep",0.98,0.96,1.01
1984-10-01,"1984-1985","May-Oct",0.94,0.88,0.93
1984-11-01,"1984-1985","Jun-Nov",0.64,0.71,0.72
1984-12-01,"1984-1985","Jul-Dec",0.26,0.46,0.41
1985-01-01,"1984-1985","Aug-Jan",-0.67,-0.48,-0.57
1985-02-01,"1984-1985","Sep-Feb",-0.53,-0.24,-0.37
1985-03-01,"1984-1985","Oct-Mar",-0.57,-0.25,-0.4
1985-04-01,"1985-1986","Nov-Apr",-0.57,-0.29,-0.42
1985-05-01,"1985-1986","Dec-May",-0.71,-0.5,-0.63
1985-06-01,"1985-1986","Jan-Jun",-0.58,-0.18,-0.34
1985-07-01,"1985-1986","Feb-Jul",-0.57,-0.21,-0.36
1985-08-01,"1985-1986","Mar-Aug",-0.46,-0.34,-0.4
1985-09-01,"1985-1986","Apr-Sep",-0.52,-0.34,-0.41
1985-10-01,"1985-1986","May-Oct",-0.3,-0.06,-0.14
