"Fecha","Año_hidrologico","Escala","SDI","LogSDI","GammaSDI"
1980-01-01,"1979-1980","Aug-Jan",,,
1980-02-01,"1979-1980","Sep-Feb",,,
1980-03-01,"1979-1980","Oct-Mar",,,
1980-04-01,"1980-1981","Nov-Apr",,,
1980-05-01,"1980-1981","Dec-May",,,
1980-06-01,"1980-1981","Jan-Jun",,,
1980-07-01,"1980-1981","Feb-Jul",,,
1980-08-01,"1980-1981","Mar-Aug",,,
1980-09-01,"1980-1981","Apr-Sep",,,
1980-10-01,"1980-1981","May-Oct",,,
1980-11-01,"1980-1981","Jun-Nov",,,
1980-12-01,"1980-1981","Jul-Dec",,,
1981-01-01,"1980-1981","Aug-Jan",,,
1981-02-01,"1980-1981","Sep-Feb",,,
1981-03-01,"1980-1981","Oct-Mar",,,
1981-04-01,"1981-1982","Nov-Apr",,,
1981-05-01,"1981-1982","Dec-May",,,
1981-06-01,"1981-1982","Jan-Jun",,,
1981-07-01,"1981-1982","Feb-Jul",,,
1981-08-01,"1981-1982","Mar-Aug",,,
1981-09-01,"1981-1982","Apr-Sep",,,
1981-10-01,"1981-1982","May-Oct",,,
1981-11-01,"1981-1982","Jun-Nov",,,
1981-12-01,"1981-1982","Jul-Dec",,,
1982-01-01,"1981-1982","Aug-Jan",,,
1982-02-01,"1981-1982","Sep-Feb",,,
1982-03-01,"1981-1982","Oct-Mar",,,
1982-04-01,"1982-1983","Nov-Apr",,,
1982-05-01,"1982-1983","Dec-May",,,
1982-06-01,"1982-1983","Jan-Jun",,,
1982-07-01,"1982-1983","Feb-Jul",,,
1982-08-01,"1982-1983","Mar-Aug",,,
1982-09-01,"1982-1983","Apr-Sep",,,
1982-10-01,"1982-1983","May-Oct",,,
1982-11-01,"1982-1983","Jun-Nov",,,
1982-12-01,"1982-1983","Jul-Dec",,,
1983-01-01,"1982-1983","Aug-Jan",,,
1983-02-01,"1982-1983","Sep-Feb",,,
1983-03-01,"1982-1983","Oct-Mar",,,
1983-04-01,"1983-1984","Nov-Apr",,,
1983-05-01,"1983-1984","Dec-May",,,
1983-06-01,"1983-1984","Jan-Jun",,,
1983-07-01,"1983-1984","Feb-Jul",,,
1983-08-01,"1983-1984","Mar-Aug",,,
1983-09-01,"1983-1984","Apr-Sep",,,
1983-10-01,"1983-1984","May-Oct",,,
1983-11-01,"1983-1984","Jun-Nov",,,
1983-12-01,"1983-1984","Jul-Dec",,,
1984-01-01,"1983-1984","Aug-Jan",,,
1984-02-01,"1983-1984","Sep-Feb",,,
1984-03-01,"1983-1984","Oct-Mar",2.82,1.79,2.18
1984-04-01,"1984-1985","Nov-Apr",2.06,1.51,1.74
1984-05-01,"1984-1985","Dec-May",1.53,1.22,1.37
1984-06-01,"1984-1985","Jan-Jun",1.44,1.1,1.26
1984-07-01,"1984-1985","Feb-Jul",1.65,1.14,1.36
1984-08-01,"1984-1985","Mar-Aug",0.52,0.63,0.63
1984-09-01,"1984-1985","Apr-Sep",0.58,0.66,0.66
1984-10-01,"1984-1985","May-Oct",0.7,0.7,0.73
1984-11-01,"1984-1985","Jun-Nov",0.55,0.61,0.62
1984-12-01,"1984-1985","Jul-Dec",0.74,0.74,0.77
1985-01-01,"1984-1985","Aug-Jan",0.4,0.49,0.5
1985-02-01,"1984-1985","Sep-Feb",0.55,0.59,0.61
1985-03-01,"1984-1985","Oct-Mar",0.27,0.48,0.43
1985-04-01,"1985-1986","Nov-Apr",0.23,0.45,0.4
1985-05-01,"1985-1986","Dec-May",0.21,0.48,0.41
1985-06-01,"1985-1986","Jan-Jun",-0.02,0.3,0.21
1985-07-01,"1985-1986","Feb-Jul",-0.31,0.02,-0.08
1985-08-01,"1985-1986","Mar-Aug",-0.45,-0.19,-0.29
1985-09-01,"1985-1986","Apr-Sep",-0.42,-0.15,-0.25
1985-10-01,"1985-1986","May-Oct",-0.2,0.07,-0.01
1985-11-01,"1985-1986","Jun-Nov",-0.24,0.03,-0.05
1985-12-01,"1985-1986","Jul-Dec",-0.21,0.05,-0.03
1986-01-01,"1985-1986","Aug-Jan",0.05,0.28,0.23
1986-02-01,"1985-1986","Sep-Feb",0.11,0.32,0.27
1986-03-01,"1985-1986","Oct-Mar",-0.27,-0.01,-0.1
1986-04-01,"1986-1987","Nov-Apr",-0.57,-0.36,-0.45
1986-05-01,"1986-1987","Dec-May",-0.25,0.08,-0.03
1986-06-01,"1986-1987","Jan-Jun",-0.01,0.31,0.22
1986-07-01,"1986-1987","Feb-Jul",0.13,0.36,0.32
1986-08-01,"1986-1987","Mar-Aug",0.89,0.87,0.92
1986-09-01,"1986-1987","Apr-Sep",1.03,0.94,1
1986-10-01,"1986-1987","May-Oct",1.22,0.98,1.09
1986-11-01,"1986-1987","Jun-Nov",1.69,1.22,1.41
1986-12-01,"1986-1987","Jul-Dec",1.81,1.3,1.5
