Estacion,Fecha,Q
82,20/08/1987,21.116
82,21/08/1987,18.217
82,22/08/1987,16.415
82,23/08/1987,15.175
82,24/08/1987,13.404
82,25/08/1987,12.292
82,26/08/1987,11.527
82,27/08/1987,10.954
82,28/08/1987,19.739
82,29/08/1987,165.053
82,30/08/1987,236.026
82,31/08/1987,158.353
82,09/01/1987,35.13
82,09/02/1987,21.167
82,09/03/1987,18.065
82,09/04/1987,15.84
82,09/05/1987,14.164
82,09/06/1987,12.666
82,09/07/1987,11.648
82,09/08/1987,10.764
82,09/09/1987,10.218
82,09/10/1987,10.186
82,09/11/1987,10.163
82,09/12/1987,9.733
82,13/09/1987,9.387
82,14/09/1987,11.437
82,15/09/1987,129.754
82,16/09/1987,318.824
82,17/09/1987,196.365
82,18/09/1987,51.355
82,19/09/1987,19.342
82,20/09/1987,15.884
82,21/09/1987,13.531
82,22/09/1987,11.894
82,23/09/1987,10.834
82,24/09/1987,10.328
82,25/09/1987,9.379
82,26/09/1987,8.837
82,27/09/1987,8.498
82,28/09/1987,7.922
82,29/09/1987,7.744
82,30/09/1987,9.186
82,10/01/1987,11.622
82,10/02/1987,12.508
82,10/03/1987,11.804
82,10/04/1987,9.479
82,10/05/1987,8.412
82,10/06/1987,7.908
82,10/07/1987,7.723
82,10/08/1987,7.699
82,10/09/1987,7.544
82,10/10/1987,14.26
82,10/11/1987,145.338
82,10/12/1987,298.559
82,13/10/1987,267.236
82,14/10/1987,73.545
82,15/10/1987,23.176
82,16/10/1987,20.338
82,17/10/1987,30.007
82,18/10/1987,25.054
82,19/10/1987,19.79
82,20/10/1987,14.444
82,21/10/1987,12.124
82,22/10/1987,10.569
82,23/10/1987,9.581
82,24/10/1987,8.602
82,25/10/1987,7.902
82,26/10/1987,7.365
82,27/10/1987,6.872
82,28/10/1987,6.831
82,29/10/1987,6.831
82,30/10/1987,6.831
82,31/10/1987,6.831
82,11/01/1987,6.831
82,11/02/1987,6.831
82,11/03/1987,6.831
82,11/04/1987,6.831
82,11/05/1987,8.196
82,11/06/1987,31.339
82,11/07/1987,45.143
82,11/08/1987,27.212
82,11/09/1987,14.972
82,11/10/1987,12.201
82,11/11/1987,10.379
82,11/12/1987,9.078
82,13/11/1987,12.811
82,14/11/1987,72.06
82,15/11/1987,60.31
82,16/11/1987,74.235
82,17/11/1987,61.858
82,18/11/1987,82.907
82,19/11/1987,508.105
82,20/11/1987,462.021
82,21/11/1987,371.469
82,22/11/1987,118.51
82,23/11/1987,48.114
82,24/11/1987,21.259
82,25/11/1987,15.952
82,26/11/1987,14.315
82,27/11/1987,12.299
82,28/11/1987,10.868
82,29/11/1987,9.428
82,30/11/1987,8.332
82,12/01/1987,7.365
82,12/02/1987,6.831
82,12/03/1987,11.103
82,12/04/1987,75.822
82,12/05/1987,53.614
82,12/06/1987,23.13
82,12/07/1987,16.193
82,12/08/1987,12.055
82,12/09/1987,16.701
82,12/10/1987,14.932
82,12/11/1987,10.535
82,12/12/1987,9.494
82,13/12/1987,10.451
82,14/12/1987 01:00,9.104
82,15/12/1987,7.203
82,16/12/1987,7.371
82,17/12/1987,61.911
82,18/12/1987,167.564
82,19/12/1987,51.58
82,20/12/1987,17.245
82,21/12/1987,12.167
82,22/12/1987,9.975
82,23/12/1987,8.49
82,24/12/1987,7.451
82,25/12/1987,6.811
82,26/12/1987,6.87
82,27/12/1987,22.126
82,28/12/1987,76.189
82,29/12/1987,118.031
82,30/12/1987,118.24
82,31/12/1987,99.402
82,01/01/1988,55.089
82,01/02/1988,27.033
82,01/03/1988,14.184
82,01/04/1988,9.986
82,01/05/1988,8.846
82,01/06/1988,8.095
82,01/07/1988,7.703
82,01/08/1988,7.2
82,01/09/1988,6.549
82,01/10/1988,5.75
82,01/11/1988,5.228
82,01/12/1988,5.19
82,13/01/1988,5.444
82,14/01/1988,10.581
82,15/01/1988,12.728
82,16/01/1988,13.656
82,17/01/1988,11.118
82,18/01/1988,14.899
82,19/01/1988,50.792
82,20/01/1988,84.793
82,21/01/1988,297.251
82,22/01/1988,667.914
82,23/01/1988,582.655
82,24/01/1988,183.878
82,25/01/1988,39.975
82,26/01/1988,19.575
82,27/01/1988,26.525
82,28/01/1988,49.315
82,29/01/1988,129.332
82,30/01/1988,155.365
82,31/01/1988,80.074
82,02/01/1988,28.26
82,02/02/1988,20.02
82,02/03/1988,18.533
82,02/04/1988,14.1
82,02/05/1988,11.185
82,02/06/1988,9.446
82,02/07/1988,8.235
82,02/08/1988,6.739
82,02/09/1988,6.131
82,02/10/1988,5.839
82,02/11/1988,5.68
82,02/12/1988,5.522
82,13/02/1988,5.271
82,14/02/1988,5.19
82,15/02/1988,5.19
82,16/02/1988,5.19
82,17/02/1988,5.19
82,18/02/1988,5.19
82,19/02/1988,5.19
82,20/02/1988,5.19
82,21/02/1988,5.19
82,22/02/1988,5.19
82,23/02/1988,5.19
82,24/02/1988,5.19
82,25/02/1988,5.19
82,26/02/1988,5.19
82,27/02/1988,5.19
82,28/02/1988,5.19
82,29/02/1988,5.19
82,03/01/1988,5.19
82,03/02/1988,5.19
82,03/03/1988,5.08
82,03/04/1988,4.707
82,03/05/1988,4.661
82,03/06/1988,4.108
82,03/07/1988,3.797
82,03/08/1988,3.78
82,03/09/1988,3.78
82,03/10/1988,3.78
82,03/11/1988,3.78
82,03/12/1988,3.78
82,13/03/1988,4.076
82,14/03/1988,4.764
82,15/03/1988,5.925
82,16/03/1988,5.83
82,17/03/1988,5.524
82,18/03/1988,5.216
82,19/03/1988,5.161
82,20/03/1988,4.7
82,21/03/1988,4.229
82,22/03/1988,3.791
82,23/03/1988,3.404
82,24/03/1988,3.372
82,25/03/1988,3.448
82,26/03/1988,5.239
82,27/03/1988,6.766
82,28/03/1988,7.048
82,29/03/1988,13.511
82,30/03/1988,33.065
82,31/03/1988,192.586
82,04/01/1988,187.157
82,04/02/1988,94.715
82,04/03/1988,44.623
82,04/04/1988,19.998
82,04/05/1988,11.645
82,04/06/1988,8.41
82,04/07/1988,7.272
82,04/08/1988,6.831
82,04/09/1988,6.831
82,04/10/1988,6.783
82,04/11/1988,5.914
82,04/12/1988,5.228
82,13/04/1988,5.161
82,14/04/1988,4.727
82,15/04/1988,4.688
82,16/04/1988,4.688
82,17/04/1988,4.688
82,18/04/1988,4.688
82,19/04/1988,4.688
82,20/04/1988,4.688
82,21/04/1988,12.165
82,22/04/1988,123.788
82,23/04/1988,86.891
82,24/04/1988,85.912
82,25/04/1988,155.783
82,26/04/1988,143.323
82,27/04/1988,114.987
82,28/04/1988,89.523
82,29/04/1988,25.877
82,30/04/1988,16.958
82,05/01/1988,49.738
82,05/02/1988,48.919
82,05/03/1988,34.675
82,05/04/1988,23.337
82,05/05/1988,15.922
82,05/06/1988,12.855
82,05/07/1988,11.946
82,05/08/1988,10.981
82,05/09/1988,10.592
82,05/10/1988,10.557
82,05/11/1988,9.795
82,05/12/1988,8.471
82,13/05/1988,7.134
82,14/05/1988,6.831
82,15/05/1988,6.831
82,16/05/1988,6.822
82,17/05/1988,6.665
82,18/05/1988,6.506
82,19/05/1988,6.493
82,20/05/1988,6.436
82,21/05/1988,5.576
82,22/05/1988,5.216
82,23/05/1988,5.19
82,24/05/1988,5.19
82,25/05/1988,5.19
82,26/05/1988,5.19
82,27/05/1988,5.19
82,28/05/1988,5.19
82,29/05/1988,5.19
82,30/05/1988,5.19
82,31/05/1988,5.175
82,06/01/1988,4.955
82,06/02/1988,4.92
82,06/03/1988,4.707
82,06/04/1988,4.688
82,06/05/1988,4.688
82,06/06/1988,4.688
82,06/07/1988,4.688
82,06/08/1988,4.688
82,06/09/1988,4.688
82,06/10/1988,4.688
82,06/11/1988,4.688
82,06/12/1988,4.688
82,13/06/1988,4.688
82,14/06/1988,4.688
82,15/06/1988,4.688
82,16/06/1988,4.688
82,17/06/1988,4.717
82,18/06/1988,5.603
82,19/06/1988,6.619
82,20/06/1988,6.808
82,21/06/1988,6.655
82,22/06/1988,6.333
82,23/06/1988,6.005
82,24/06/1988,5.609
82,25/06/1988,4.888
82,26/06/1988,4.702
82,27/06/1988,4.915
82,28/06/1988,4.935
82,29/06/1988,4.935
82,30/06/1988,4.935
82,07/01/1988,4.935
82,07/02/1988,4.935
82,07/03/1988,9.166
82,07/04/1988,151.865
82,07/05/1988,241.562
82,07/06/1988,152.287
82,07/07/1988,86.88
82,07/08/1988,68.197
82,07/09/1988,58.229
82,07/10/1988,43.191
82,07/11/1988,15.568
82,07/12/1988,11.297
82,13/07/1988,9.707
82,14/07/1988,7.97
82,15/07/1988,6.891
82,16/07/1988,6.831
82,17/07/1988,6.831
82,18/07/1988,6.831
