fecha_emision,lead,fecha_pronostico,QC_hist,ens_prom,ens_1990,ens_1991,ens_1992,ens_1993,ens_1994,ens_1995,ens_1996,ens_1997,ens_1998,ens_1999,ens_2000,ens_2001,ens_2002,ens_2003,ens_2004,ens_2005,ens_2006,ens_2007,ens_2008,ens_2009,ens_2010,ens_2011,ens_2012,ens_2013,ens_2014,ens_2015,ens_2016,ens_2017,ens_2018,ens_2019,ens_2020
1990-01-15,1,1990-02-15,9.480,22.032,,0.249,0.249,2.399,0.249,0.249,0.249,0.249,0.249,0.523,0.249,0.249,0.249,74.341,0.249,0.249,0.249,1.626,0.249,7.705,399.929,0.249,10.765,0.249,151.922,0.249,2.157,0.249,0.249,4.602,0.249
1990-01-15,2,1990-03-15,34.486,67.970,,0.092,0.092,2.010,0.092,9.674,0.092,0.092,0.092,26.854,0.092,4.168,138.278,105.975,0.092,0.092,1.213,1465.107,0.092,21.808,108.450,0.092,9.775,0.840,136.402,0.092,1.754,0.092,0.092,5.414,0.092
1990-01-15,3,1990-04-15,226.572,44.315,,27.705,4.684,47.239,0.034,11.656,13.830,0.034,0.034,17.027,2.347,3.215,247.425,60.962,55.436,9.830,1.055,261.820,0.034,13.562,48.669,0.034,4.216,0.732,113.984,0.034,380.670,0.034,0.121,2.986,0.034
1990-01-15,4,1990-05-15,83.796,56.927,,92.627,8.901,72.050,0.013,6.576,9.027,0.013,0.013,6.327,439.469,1.195,255.906,110.108,29.633,38.969,0.392,372.972,0.013,5.039,28.416,0.013,1.566,0.272,108.352,0.013,79.375,0.013,39.109,1.432,0.013
1990-01-15,5,1990-06-15,36.509,63.470,,349.421,50.192,100.457,0.005,37.331,3.354,0.005,0.005,2.351,181.771,24.204,92.196,118.899,32.798,265.904,200.051,115.672,0.005,1.872,50.057,0.005,0.582,0.101,89.308,0.005,29.494,0.005,21.605,136.456,0.005
1990-01-15,6,1990-07-15,13.566,75.794,,392.241,98.644,59.533,6.792,46.994,1.246,0.002,33.825,40.125,252.744,18.912,200.949,84.886,28.848,141.135,84.886,46.886,0.002,1.328,151.940,16.928,0.216,0.038,302.774,0.002,38.888,0.002,133.982,89.083,0.002
1990-02-15,1,1990-03-15,34.486,92.113,,7.336,7.336,18.659,16.461,92.203,9.229,7.336,10.627,104.559,7.336,63.782,351.992,52.692,7.336,9.824,57.980,1709.522,7.336,53.649,7.400,7.336,22.395,24.697,41.939,7.336,7.336,13.237,11.302,17.893,7.336
1990-02-15,2,1990-04-15,226.572,61.533,,30.397,13.492,148.189,9.840,83.299,62.704,2.726,6.870,45.523,6.015,32.943,321.842,36.345,63.451,94.304,31.980,273.808,2.726,30.282,2.789,2.726,14.517,13.070,59.816,2.726,412.408,8.660,19.009,10.796,2.726
1990-02-15,3,1990-05-15,83.796,70.742,,105.532,18.992,130.479,17.948,41.449,32.046,1.013,24.516,16.915,494.938,13.915,280.824,89.731,33.395,118.621,11.883,378.244,1.013,11.252,1.147,1.013,5.394,9.789,77.889,1.013,83.857,11.924,100.339,6.184,1.013
1990-02-15,4,1990-06-15,36.509,82.738,,367.121,76.474,130.067,11.217,94.317,12.057,0.376,16.793,6.296,188.101,114.502,100.149,109.388,34.960,335.996,338.096,117.143,0.376,4.181,9.287,0.376,2.004,5.694,75.806,0.376,31.159,6.820,42.406,248.584,2.024
1990-02-15,5,1990-07-15,13.566,91.348,,396.003,126.952,70.894,63.829,76.604,4.569,0.140,184.744,92.554,255.091,63.844,204.459,80.971,30.704,159.386,107.036,47.451,0.140,9.234,90.228,29.285,0.745,2.116,296.677,0.140,41.803,14.635,169.660,118.918,1.632
1990-02-15,6,1990-08-15,5.041,105.388,,211.499,187.932,138.887,36.797,37.338,3.549,26.075,63.925,99.720,131.929,311.590,83.815,268.886,19.559,191.303,54.775,55.567,0.052,21.201,91.817,31.094,280.441,0.786,84.471,48.698,57.206,367.495,184.034,70.237,0.954
1990-03-15,1,1990-04-15,226.572,96.511,,180.080,137.742,222.511,22.709,61.831,185.668,21.426,33.737,21.218,109.223,21.218,149.910,28.815,298.669,184.042,21.218,55.406,21.218,21.218,21.218,64.485,21.218,21.761,51.683,21.218,711.138,23.099,91.487,21.218,48.936
1990-03-15,2,1990-05-15,83.796,93.846,,250.114,102.148,158.448,57.500,33.160,65.783,13.482,58.242,7.884,693.885,7.884,219.939,82.126,90.065,155.119,7.884,253.667,7.884,7.884,21.276,42.205,9.588,17.676,71.578,7.884,105.132,25.949,204.654,9.592,26.753
1990-03-15,3,1990-06-15,36.509,96.241,,423.885,143.498,143.109,31.510,89.696,26.013,24.008,32.504,2.929,216.430,81.901,81.172,105.805,83.927,353.737,306.716,83.313,2.929,2.929,57.115,50.126,4.930,10.404,72.685,2.929,39.069,15.661,75.043,257.985,65.286
1990-03-15,4,1990-07-15,13.566,104.067,,412.567,154.164,75.902,101.723,74.323,10.388,22.522,200.214,64.450,265.633,53.069,195.717,79.690,56.535,164.822,102.921,34.301,1.089,6.710,162.464,136.966,2.078,3.866,295.135,1.089,59.744,28.298,196.868,121.405,37.359
1990-03-15,5,1990-08-15,5.041,116.159,,217.493,198.262,141.127,50.900,36.388,6.700,114.350,67.823,86.839,135.762,305.028,80.809,268.357,31.347,193.352,52.987,49.578,0.404,17.313,117.891,80.925,333.502,1.436,83.981,54.405,68.474,404.821,192.696,71.154,20.663
1990-03-15,6,1990-09-15,1.873,105.355,,176.684,91.162,58.321,42.559,13.521,126.767,47.241,30.092,43.537,189.620,142.263,61.134,323.350,14.299,119.275,22.731,183.699,0.150,35.917,155.882,38.023,229.917,1.160,303.837,35.284,66.558,312.158,201.453,49.282,44.761
1990-04-15,1,1990-05-15,83.796,173.432,,267.590,133.575,172.558,221.708,83.604,73.242,170.478,152.015,78.012,734.465,136.496,239.701,224.198,84.459,166.545,71.431,362.173,71.549,100.429,193.545,108.058,163.743,171.802,163.219,71.476,71.431,165.348,263.166,215.241,71.708
1990-04-15,2,1990-06-15,36.509,154.355,,429.504,160.953,149.706,85.103,148.471,30.733,131.353,69.546,100.962,226.365,249.134,87.839,162.990,85.275,359.105,630.556,108.014,26.657,51.539,157.171,104.758,81.035,70.762,113.167,26.586,26.542,69.416,90.825,459.753,136.820
1990-04-15,3,1990-07-15,13.566,133.685,,414.435,160.777,78.413,138.772,97.187,12.784,73.678,223.907,211.710,269.324,104.625,198.446,102.271,57.491,166.485,136.601,44.155,12.688,197.019,209.188,166.889,34.882,27.108,314.247,9.879,51.516,62.648,205.015,166.220,62.204
1990-04-15,4,1990-08-15,5.041,138.246,,218.180,200.742,142.322,63.386,45.514,8.184,151.318,74.824,137.591,137.127,331.216,81.789,277.969,31.854,193.980,67.110,54.522,6.161,101.061,134.250,91.567,431.545,10.527,90.172,249.682,64.896,433.706,195.442,88.211,32.532
1990-04-15,5,1990-09-15,1.873,113.125,,176.939,92.070,58.747,48.084,16.912,131.859,60.051,32.807,62.493,190.128,150.819,61.501,326.814,14.532,119.507,28.342,186.357,2.290,82.915,162.233,42.107,249.554,6.366,306.350,89.610,65.023,319.364,202.472,55.909,51.598
1990-04-15,6,1990-10-15,15.375,145.944,,299.558,48.260,158.500,64.571,27.726,63.609,77.065,14.248,24.110,182.080,674.631,137.811,113.720,114.829,55.195,121.201,339.673,0.851,233.599,69.590,16.065,601.477,3.541,378.644,85.305,41.778,139.142,88.868,168.636,34.028
1990-05-15,1,1990-06-15,36.509,119.152,,317.413,123.464,84.415,36.509,134.080,39.539,85.421,36.509,113.929,83.670,179.312,36.509,85.821,72.557,295.227,725.202,36.509,36.509,40.078,89.985,82.551,42.216,36.509,55.363,39.382,36.692,36.509,36.509,359.426,196.738
1990-05-15,2,1990-07-15,13.566,117.818,,386.653,146.614,52.506,85.564,92.822,16.342,55.505,171.899,216.486,209.921,86.286,139.960,69.912,50.756,150.118,144.654,13.566,34.796,184.989,179.092,155.583,18.300,13.566,275.652,16.236,187.138,27.430,131.216,143.700,77.268
1990-05-15,3,1990-08-15,5.041,133.701,,208.441,195.429,129.136,45.605,43.828,9.699,143.027,63.075,139.166,116.622,322.864,65.884,263.040,28.605,187.734,70.342,22.817,21.090,97.824,123.697,87.622,407.931,5.041,79.412,333.854,112.328,394.048,173.741,79.689,39.440
1990-05-15,4,1990-09-15,1.873,110.631,,173.317,90.128,54.144,39.270,16.286,134.973,57.156,27.882,63.083,182.252,147.972,54.332,321.551,13.130,117.199,29.599,157.821,8.325,81.572,158.137,40.609,244.797,2.831,301.486,101.720,86.689,310.312,194.476,52.635,55.239
