Date,   Nino Anom 3.4
1980-01-01,    0.540
1980-02-01,    0.220
1980-03-01,    0.030
1980-04-01,   -0.070
1980-05-01,    0.080
1980-06-01,    0.210
1980-07-01,   -0.060
1980-08-01,   -0.380
1980-09-01,   -0.280
1980-10-01,   -0.260
1980-11-01,   -0.100
1980-12-01,    0.050
1981-01-01,   -0.360
1981-02-01,   -0.640
1981-03-01,   -0.640
1981-04-01,   -0.530
1981-05-01,   -0.570
1981-06-01,   -0.460
1981-07-01,   -0.640
1981-08-01,   -0.530
1981-09-01,   -0.190
1981-10-01,   -0.300
1981-11-01,   -0.410
1981-12-01,   -0.200
1982-01-01,    0.130
1982-02-01,   -0.170
1982-03-01,    0.130
1982-04-01,    0.210
1982-05-01,    0.450
1982-06-01,    0.530
1982-07-01,    0.370
1982-08-01,    0.730
1982-09-01,    1.490
1982-10-01,    1.990
1982-11-01,    1.920
1982-12-01,    2.200
1983-01-01,    2.350
1983-02-01,    1.940
1983-03-01,    1.380
1983-04-01,    0.950
1983-05-01,    0.900
1983-06-01,    0.540
1983-07-01,   -0.110
1983-08-01,   -0.270
1983-09-01,   -0.520
1983-10-01,   -1.160
1983-11-01,   -1.290
1983-12-01,   -1.030
1984-01-01,   -0.670
1984-02-01,   -0.190
1984-03-01,   -0.520
1984-04-01,   -0.680
1984-05-01,   -0.730
1984-06-01,   -0.900
1984-07-01,   -0.500
1984-08-01,   -0.240
1984-09-01,   -0.340
1984-10-01,   -0.670
1984-11-01,   -1.190
1984-12-01,   -1.340
1985-01-01,   -1.160
1985-02-01,   -0.720
1985-03-01,   -0.790
1985-04-01,   -1.180
1985-05-01,   -1.030
1985-06-01,   -0.910
1985-07-01,   -0.740
1985-08-01,   -0.560
1985-09-01,   -0.700
1985-10-01,   -0.490
1985-11-01,   -0.370
1985-12-01,   -0.410
1986-01-01,   -0.660
1986-02-01,   -0.710
1986-03-01,   -0.420
1986-04-01,   -0.330
1986-05-01,   -0.530
1986-06-01,   -0.310
1986-07-01,   -0.110
1986-08-01,    0.320
1986-09-01,    0.530
1986-10-01,    0.810
1986-11-01,    1.010
1986-12-01,    1.120
1987-01-01,    1.140
1987-02-01,    1.130
1987-03-01,    0.980
1987-04-01,    0.580
1987-05-01,    0.620
1987-06-01,    0.920
1987-07-01,    1.290
1987-08-01,    1.570
1987-09-01,    1.650
1987-10-01,    1.240
1987-11-01,    1.070
1987-12-01,    0.940
1988-01-01,    0.900
