fecha_emision,lead,fecha_pronostico,QC_hist,ens_prom,perc_50,ens_1985,ens_1986,ens_1987,ens_1988,ens_1989,ens_1990,ens_1991,ens_1992,ens_1993,ens_1994,ens_1995,ens_1996,ens_1997,ens_1998,ens_1999,ens_2000,ens_2001,ens_2002,ens_2003,ens_2004,ens_2005,ens_2006,ens_2007,ens_2008,ens_2009,ens_2010,ens_2011,ens_2012,ens_2013,ens_2014,ens_2015,ens_2016,ens_2017,ens_2018,ens_2019,ens_2020,ens_2021,ens_2022,ens_2023,ens_2024,ens_2025
1985-01-15,1,1985-02-15,13.713,188.56,25.3275,,13.713,15.611,37.658,13.713,1137.332,13.713,18.719,13.713,14.405,14.88,13.713,25.307,26.412,91.182,54.556,16.35,13.999,180.047,13.713,18.994,13.804,136.861,28.922,28.373,2620.827,75.609,935.079,39.962,373.953,13.713,247.867,575.597,13.713,16.735,18.75,25.348,96.658,14.704,34.873,483.337
1985-01-15,2,1985-03-15,325.025,220.765,55.5055,,50.68,21.204,322.969,6.122,1384.294,5.095,22.834,5.175,20.243,65.245,8.331,13.584,118.216,66.934,35.151,435.12,1062.926,159.352,5.095,34.482,5.994,1313.09,17.9,121.786,505.899,45.12,293.929,60.331,215.335,5.095,114.879,215.999,5.276,8.001,9.372,22.033,256.884,71.853,1495.154,203.609
1985-01-15,3,1985-04-15,314.957,435.546,170.333,,912.656,14.083,141.887,23.34,1252.583,71.164,252.488,556.501,11.738,71.395,769.316,5.249,455.721,32.984,1029.922,378.017,2408.576,917.291,717.78,552.636,3.68,457.468,6.651,63.469,200.829,43.103,163.433,35.756,512.203,1.893,2441.128,128.418,177.233,5.418,38.252,268.661,594.22,45.101,1561.746,97.858
1985-01-15,4,1985-05-15,374.2,466.24,262.154,,1332.982,5.888,59.422,13.814,388.931,648.007,334.558,999.076,18.925,106.498,186.774,54.006,510.576,12.387,1810.694,480.385,822.802,1787.728,226.875,1941.835,1.915,669.458,2.471,23.86,95.955,258.689,78.751,468.98,484.528,10.464,323.079,853.848,949.069,37.295,36.663,184.451,333.05,27.711,1801.579,265.619
1985-01-15,5,1985-06-15,596.788,351.66,244.095,,549.383,2.188,22.08,5.133,204.862,1244.791,547.472,428.248,13.762,103.318,69.405,120.785,789.248,400.28,853.746,856.219,337.953,562.852,202.025,1317.22,294.466,304.435,0.918,9.865,137.773,328.059,93.476,147.919,269.768,9.225,266.681,229.168,245.873,1422.631,242.317,586.617,159.775,44.176,400.514,241.79
1985-01-15,6,1985-07-15,389.657,331.797,263.8395,,301.098,103.538,55.287,1.907,90.519,811.822,322.048,242.755,262.905,255.033,25.789,64.198,988.496,882.425,689.443,348.23,560.348,264.774,146.564,415.481,138.648,135.992,29.143,7.804,555.157,530.55,51.041,130.658,948.399,4.348,594.667,134.012,608.108,356.295,106.293,577.061,322.112,345.736,166.222,696.994
1985-02-15,1,1985-03-15,325.025,149.518,16.775,,50.68,19.552,268.006,6.122,578.621,5.095,18.789,5.175,19.595,64.15,8.331,5.098,103.248,19.699,5.455,432.908,1062.651,37.656,5.095,30.43,5.905,1238.972,5.095,109.862,10.901,5.095,8.493,43.447,24.559,5.095,11.189,11.04,5.276,5.443,5.168,13.95,159.775,70.944,1479.388,14.761
1985-02-15,2,1985-04-15,314.957,398.412,96.648,,912.656,13.469,122.132,23.34,1019.71,71.164,250.985,556.501,11.497,70.988,769.316,2.096,435.408,13.095,1018.888,377.195,2408.474,740.896,717.78,551.13,3.647,431.698,1.893,58.68,7.202,28.231,28.705,29.07,233.534,1.893,2382.803,17.671,177.233,4.468,36.69,263.232,528.433,44.763,1556.273,13.654
1985-02-15,3,1985-05-15,374.2,443.113,240.019,,1332.982,5.66,50.781,13.814,328.039,648.007,334.0,999.076,18.836,106.347,186.774,52.834,501.384,4.997,1806.594,480.08,822.764,1726.465,226.875,1941.276,1.902,659.394,0.704,22.081,12.669,253.163,19.05,452.085,347.49,10.464,307.904,582.099,949.069,36.942,36.083,179.89,310.721,27.585,1799.593,128.046
1985-02-15,4,1985-06-15,596.788,340.743,231.96800000000002,,549.383,2.103,18.869,5.133,179.851,1244.791,547.265,428.248,13.729,103.262,69.405,120.35,785.628,373.389,852.223,856.105,337.939,547.71,202.025,1317.012,294.461,300.806,0.261,9.203,49.123,326.005,34.45,144.994,221.835,9.225,260.807,179.85,245.873,1422.5,242.101,580.107,151.186,44.129,399.781,158.605
1985-02-15,5,1985-07-15,389.657,323.035,261.056,,301.098,103.507,53.482,1.907,80.854,811.822,321.971,242.755,262.893,255.012,25.789,64.036,987.235,871.931,688.877,348.188,560.343,259.219,146.564,415.404,138.646,134.645,28.899,7.559,371.451,529.787,20.823,128.724,927.004,4.348,592.442,108.381,608.108,356.246,106.212,575.444,317.994,345.718,165.95,650.122
1985-02-15,6,1985-08-15,314.539,340.736,260.7695,,457.39,261.213,73.926,60.155,30.388,295.1,252.53,135.316,244.677,109.481,9.583,57.959,355.289,260.326,418.191,476.83,374.901,799.887,75.39,287.248,150.604,104.674,85.348,50.346,393.538,799.294,900.989,85.135,231.931,1152.1,287.506,1444.673,810.925,517.474,63.633,269.282,263.586,159.458,158.507,664.663
1985-03-15,1,1985-04-15,314.957,557.415,282.5095,,1178.372,150.225,141.697,210.482,768.583,382.114,597.941,1018.216,122.594,217.452,1261.287,124.171,504.309,130.275,1533.772,293.689,2018.461,951.044,1203.905,867.695,126.29,271.33,122.093,122.093,122.093,247.294,180.338,135.209,549.016,122.093,2916.317,182.462,523.114,138.584,303.082,596.259,548.29,122.125,1154.44,137.779
1985-03-15,2,1985-05-15,374.2,531.244,322.307,,1398.874,68.426,61.976,99.051,281.264,897.946,496.362,1143.153,70.355,214.317,261.861,158.023,526.233,52.074,1913.688,426.484,768.591,1803.157,319.381,2037.338,49.105,563.708,45.367,45.644,56.152,511.453,90.454,682.413,496.316,55.127,364.116,943.618,1182.613,206.676,167.49,312.516,325.233,68.44,1716.103,368.657
1985-03-15,3,1985-06-15,596.788,393.381,279.62350000000004,,568.743,26.602,23.029,36.805,156.011,1316.088,618.495,466.63,49.005,166.071,97.845,226.53,794.971,662.179,880.675,836.068,319.842,568.42,250.939,1342.708,346.853,270.383,16.857,17.959,102.507,440.526,107.21,193.349,274.223,25.821,287.242,245.286,297.534,1716.102,407.829,661.334,156.069,98.84,376.645,285.024
1985-03-15,4,1985-07-15,389.657,353.321,300.1435,,308.263,164.073,64.269,13.676,70.949,834.127,347.399,257.161,454.227,292.024,36.357,111.816,990.696,955.199,699.323,341.772,552.847,266.831,168.705,424.633,160.213,122.801,36.451,10.812,523.23,577.602,56.439,155.051,950.222,10.515,604.982,141.43,631.364,398.263,155.957,600.892,318.561,449.918,157.287,716.524
