,1,2,3,4,5,6,7,8,9,10,11,12
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brier_Q90,0.0136240777266419,0.1405817174515238,0.0519390581717453,-0.0296052631578946,-0.0721952908587255,0.0141966759002771,0.0844875346260388,-0.2192271166630142,0.0205639564613925,-0.0170574914164656,-0.0406165534370663,0.0618379720943823
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brier_Q90,0.0079625977061874,0.3580332409972299,-0.0379155124653738,-0.0799861495844873,-0.0457063711911356,0.0079639889196675,0.0522853185595569,-0.16370808678501,-0.078785886478194,0.0088757396449704,-0.0630798451311271,0.1193659142377092
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brier_Q90,0.0492366133391775,0.0708102493074794,0.0891620498614959,-0.0180055401662049,-0.0656163434903045,0.0670013850415512,0.0498614958448752,-0.1370443421725471,-0.0002556797428592,-0.0048213894367739,-0.0568704799474029,0.0198334429103659
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brier_Q90,0.0141719628899116,0.096779778393352,-0.0126385041551246,0.112707756232687,-0.0245844875346259,0.0462257617728532,-0.0881232686980608,-0.0924830155599387,0.0105193951347798,0.0322521732778143,-0.0502958579881653,0.0105193951347798
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brier_Q90,-0.0334940463145592,-0.1585872576177283,0.1137465373961218,0.0529778393351803,-0.0320290858725762,0.0633656509695291,-0.0919321329639886,-0.0760464606618451,0.1752502008912265,0.121740083278545,0.0083278544817008,0.003214259624516
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brier_Q90,-0.0283804514573744,-0.0552285318559553,-0.0401662049861495,0.0457063711911359,-0.0571329639889195,0.0533240997229916,-0.1052631578947367,-0.0796990284169771,0.0983636496457009,-0.0018993352326683,-0.0318503908247496,0.0101541383592667
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brier_Q90,-0.0391555263350134,-0.0948753462603879,-0.0181786703601107,0.0754847645429364,-0.0917590027700829,0.0543628808864268,-0.0417243767313018,-0.1657169990503322,0.1191832858499525,0.0762656147271533,-0.0024472203959382,0.0035795164000295
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brier_Q90,0.1714150047483381,-0.0971260387811634,-0.0524584487534627,0.1405817174515237,0.0936634349030471,-0.0382617728531855,0.0519390581717451,-0.087369420702754,0.0979983928701878,0.039557308788078,-0.007926072028636,-0.0353203301921249
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brier_Q90,0.2033749726057419,-0.0957409972299168,-0.0438019390581714,0.15148891966759,0.135387811634349,-0.0465720221606646,-0.0436288088642657,-0.0923003871721819,0.228395061728395,-0.026371539192052,0.1270363065234862,-0.0221710862736503
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brier_Q90,0.6603111987727373,0.1315789473684211,-0.0673476454293626,0.2960526315789473,0.1023199445983383,-0.01696675900277,0.1487188365650971,-0.1291913214990137,-0.0015340784571553,-0.0101176126817152,0.136532982686829,0.0580027759514938
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brier_Q90,0.599861202425305,0.3862534626038783,-0.1469875346260385,0.0169667590027701,0.019217451523546,0.0249307479224376,0.123961218836565,0.0468624442983416,-0.0880999342537804,-0.0040908758857476,0.0412009642778873,0.0415662210534006
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Brier_Q90,0.9243918474687706,-0.071849030470914,-0.1594529085872573,0.1814404432132965,0.0365304709141277,0.0060595567867035,0.0889889196675901,-0.0380597560084741,0.0296953758492221,0.031521659726788,-0.0143180656001169,0.054350208196362
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
