,1,2,3,4,5,6,7,8,9,10,11,12
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.1312562259152174,0.2791472636980363,0.1296613699875312,0.1315399317973901,0.2174796752554166,0.280920579691676,0.2129552706736905,0.1375824188141163,0.1422796360816359,0.0643411842912797,0.1361039768850018,0.2242979403946786
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.134005372448192,0.3679870460627902,0.2438702448985401,0.1431198464016191,0.2542393956519824,0.2211243723896666,0.2934389707028989,0.150176841068097,0.1802078439855687,0.1247736993348596,0.1414501854080424,0.2554742452783526
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.1711830222715106,0.1655042258856676,0.1613714438744612,0.1286756005686105,0.2273940395395997,0.218867444344282,0.2669736873593725,0.1426615974416336,0.1407710953394408,0.122759230644953,0.1445354447378339,0.1819306419425297
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.1978645286352255,0.1655030956033992,0.163058883764407,0.1544719841049842,0.2303153157811107,0.2234375529689808,0.2366461188238406,0.0977311282071595,0.1672844557092463,0.1250208914284447,0.1605233828540934,0.1967017336917126
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0.2272458832034243,0.2439774858803873,0.1866595963415876,0.2009441661114175,0.2231514111141206,0.2828071036836816,0.3717752795585971,0.1563874378756138,0.3501573239210497,0.1936954577748597,0.1925225925647377,0.2282785053604642
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.1957783739041723,0.1462111660042359,0.1537041363546289,0.1841926967726104,0.2114946425881946,0.2326898481082153,0.3170461318432388,0.1024124574899183,0.2737975671899341,0.1507222559815307,0.1742373091624497,0.1947299682488789
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.2412392382703192,0.1787555262936667,0.1861782236651877,0.2459063452434107,0.2556750643433938,0.2889696593378209,0.3930514381350992,0.1426950097132493,0.4033275740210291,0.1774626980939827,0.1901510202857065,0.2199988055999411
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0.2076992437198371,0.1275526582302382,0.1727769894645361,0.1417407167942425,0.266685398119057,0.2256281112214999,0.26591393395876,0.0828530617021289,0.3129868876710447,0.1661227152987076,0.2322947344043826,0.2417825065152442
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,0.2835980337289187,0.1453249429839685,0.2329679628469617,0.1878941815505387,0.3354302881343576,0.2590306993851314,0.3539540915097362,0.1838126236699263,0.4301879839323982,0.210609976527759,0.3241792993617222,0.2607759132095782
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,0.592123992111589,0.2724250599832728,0.1125441371136832,0.3613470319511767,0.3563051340440446,0.271025156553614,0.4326789101732341,0.1910801321195381,0.378190396290225,0.2712967969630577,0.4392223537836827,0.3676899990093001
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,0.8039375066339767,0.2965309059710935,0.0622677203639078,0.3201823725596049,0.2898500713125319,0.3220471055970235,0.4504482358368846,0.1883832097693401,0.3221891396005188,0.2630813623937681,0.4554395156970691,0.4027642028796576
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
