,1,2,3,4,5,6,7,8,9,10,11,12
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
10,-1.017393580505204,-0.48451246562339617,-0.5611143346560018,-1.8056246092843677,-0.28227904803518755,1.0067179408224072,-2.2019796584810387,1.631169566049952,0.5370450358732705,0.14700389798821925,-0.7204383116563032,-3.064907198428393
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
11,-0.7192335300948836,0.6938483057359166,-2.7452329062941065,-2.6699382763548356,-0.8871399185396293,1.8388370809760124,-3.512578866424583,0.1719884232599206,3.3170333192089836,-1.2348641687505908,-0.817589344044181,-3.5861319839501733
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
12,-0.9007748918632302,-0.009042950860630783,-1.7298644071651774,-1.9494572371923853,-0.9738237384414288,0.24468045463014856,-1.903696240599423,2.6487377741496196,-1.2940044736838174,-0.3876153694175366,-0.20938845414078897,-1.7004427140902667
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
13,-1.1055867245854503,0.6770589619937017,-1.2759751187096309,-2.4525201326517947,-1.2505090574534747,0.660681785448392,-1.8141505840672751,1.267649804543738,-0.1888310508045039,-0.3494753050528457,-0.44326885491747015,-2.481463102715081
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
14,-2.7762026119995173,0.7944202501470766,-2.739759042335837,-2.6258535765327014,-2.3461303000640057,0.9572176831970562,-2.684052834667327,-1.9615531139073221,-1.495677693688654,-1.5607589720266286,-0.006519148799310814,-3.1452917358255164
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
15,-0.9049312720557352,0.6287034573502442,-1.1671051529012137,-2.4510519453394983,-0.7532602017871676,0.34553425861886433,-0.406866414320361,1.0395298254954854,-1.270348641037237,-0.8940743160662228,-0.17066900182996056,-1.6746957569761394
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
16,-1.945722689486005,0.6857095438305457,-1.344277251265936,-2.9900640081254046,-1.7797937369148267,0.8271596741153878,-2.7072687278860617,1.4523232304157545,-2.4725697504371698,-1.293769965851509,0.05484700146426184,-2.344182556663188
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
17,-1.6570916871468928,-0.3597932792256562,-0.5928099415725455,-1.4724704300308034,-3.1261621510444164,1.1578169636745312,-0.8189829577573834,2.7909882666334713,-2.0099934725164634,-0.6506833493239133,0.16825454267482454,-2.1005281708351187
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
18,-4.171728345178874,-1.7726871016160486,-2.2767432768583036,-0.321636491140381,-5.333075699500772,2.4302200229276143,-3.255015602984667,0.9948520708473875,-4.684680437489798,-1.6673714734489187,2.7900524474245163,-2.470299073912564
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
19,-5.423010962914364,-6.7768682580153525,1.7002350444456382,2.720857312666564,-6.757365701972063,-0.783966297293496,-3.099183501970272,3.9254988895511223,-7.770549646575135,-6.9767351205364365,-3.3721547981414486,-8.491114149219188
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
20,-6.1279215472109385,-6.506667553849856,0.5031754040309511,2.8742841461875543,-5.332687024173357,3.662105422687903,-8.5824330723943,11.41649110969997,-8.231963695429242,-7.076895484054067,-6.226136978036494,-12.02488973628595
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
21,-1.058255794745711,0.7058818888832424,0.5695758616052466,1.9362756742204696,-5.80728010993699,-0.12355980157329623,-4.885819992573938,7.648083076481899,-3.82878888184036,-5.722955778382054,-4.632481848844159,-6.764168420783888
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
22,1.15066288113031,3.9388359997595734,2.196772253909814,2.154897002556901,-8.139718049235183,3.414053803191205,-7.5466543785304045,7.187773550385201,-2.105168115585338,-8.358852769970323,-6.140534363218015,-6.35235714738894
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
23,-1.9820407389116739,-1.1706135250112053,0.6067903268237513,-0.09167695389740503,-4.3814151967907184,-1.9195393862319523,-3.7876392064937128,6.113600943119546,-4.023349244511925,-4.883444801506159,-3.5898874026055427,-3.335088582126751
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
24,-1.3234848224711773,-6.111127679146115,1.662468981621439,-0.7545164150205541,-1.8176684386706485,-0.8296580750628846,-7.345084003303509,8.788058169931476,-4.732203483877114,-5.354985623850976,-4.0277558253475885,-2.0167101072968916
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
26,-0.33832120588439096,-2.5744801451434327,1.629465093663825,1.4742167137347948,-1.5838347200358676,2.4501007151194893,-5.1016192455456375,5.696827135612757,-2.098582839457776,-2.4162714220314676,-2.874329151278115,2.367851457371995
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
27,-1.0501714540191471,-2.103940487882612,0.7447658811335057,-0.8904920690439142,-2.0737638149821582,0.30952343694344403,-3.3556448397847785,4.432147474625137,-1.6587509588434932,-1.4314429935951394,-2.0746425003117035,1.2017428290925818
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
28,-0.7017565007759469,-0.9067803255085923,0.16928212919058527,-1.705986428750256,-2.0904991923834104,-0.5609386247183658,-2.2570612054685912,2.50063687676946,-0.36159697483443876,-0.6411877715932005,-1.3881359780638336,0.4054125963388118
lead,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
29,-0.005167119876800667,-1.4103231983766904,1.3786607706854204,0.30435820690675713,0.06006434926330573,-1.7851201174419355,-2.562998728271888,3.588868217605363,-0.4360973760920885,-0.9301342710794015,-0.40534906951850225,0.849768810722853
