,1,2,3,4,5,6,7,8,9,10,11,12
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,-1.8950688433365224,-0.0452015195509623,-2.136437648286822,-5.587505270565999,-2.360111945480532,-2.085361950436688,-4.1583428363880905,2.3499803171910063,-0.9567201918170136,1.8899545388191288,-2.448049067562529,-7.04432055876311
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,-1.305860698707203,1.9924189460114925,-7.126805628974831,-6.942029144820616,-2.5176932425930367,-0.5669562871911856,-4.6858182162352815,2.7836662155961966,2.074448239410971,0.9114779588899048,-2.4474536813798724,-8.638665691009725
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,-2.017080389409259,0.6258301102221698,-3.7861080033246415,-5.839222404712243,-4.351643673277352,-3.309347245512703,-3.100297902245771,3.3942574069312657,-2.715110306071524,0.4272198421601682,-1.2394026652020749,-4.209138727397693
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,-2.6420007901811577,2.3797794557153464,-2.3683197599799524,-7.695042378691966,-4.586750755664388,-2.3532696644408744,-3.0210778971814203,1.5825159203378012,-1.5704410146508054,-0.3470982201016969,-1.8387239467957035,-6.059506205649775
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,-5.69777354580335,4.82901116943462,-5.410647518402776,-8.746007435801094,-5.524834550560427,-0.6592097115558913,-5.076069485115111,-0.9663668939804382,-4.039792170230801,-1.4599872979202382,-1.2916764931121132,-9.672354431628763
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,-2.203126307456565,1.968695959061232,-2.075530496944918,-6.9747401942246166,-3.25711412562352,-1.7720470588971,-1.6907903301930651,1.6872687923350504,-3.239362765421365,-1.1553197484210818,-0.6264300068483155,-5.05371793583915
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,-4.919066741295316,3.7585665756164457,-2.285390538916418,-9.32825233319111,-5.662215608225533,-0.698448531527342,-4.925277440587815,2.908784036601128,-5.727094276089557,-1.0498982774289465,-1.1108417470630676,-8.263613125539772
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,-3.041460987378457,0.6609041220736444,-0.871380409234794,-3.750364005516152,-6.885720075568815,-0.10783401073039,-0.6779502565758062,4.486293496411291,-3.571680427115949,-0.9065841894800036,-1.122541611581272,-6.108653319522572
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,-7.200356359830693,-0.535684892726569,-3.058724045132455,-1.0741387573845045,-9.967605682929898,3.987811189480917,-0.5464521946338116,5.107817883086344,-8.294605583459026,-1.3879303313242732,-0.7928269234991013,-8.021659625169635
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,-0.1042574116231899,-6.650536261168419,3.0278661162830804,10.889690233281447,-11.291924090832508,0.1442205587335356,1.4346063434742606,9.530186438988132,-8.759707403701146,-7.221983739391516,-6.575665930735368,-15.841054849501049
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,4.14882223193733,-1.891473661325187,-0.328227483442377,12.298852433173124,-11.718131189262234,4.182295622342429,-3.596952776678668,19.789118679921582,-7.695697626780229,-6.040545576321325,-11.062538790941268,-18.06533125057429
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,5.738561985956759,1.944168003928061,0.8649117505558216,8.935258723434142,-12.34919051722175,-3.49756192838957,-2.0842230031307825,12.129206556425878,-3.32028256446423,-5.927411306025033,-11.573665086625216,-11.481901384398148
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,10.779708718918426,4.160786331321479,3.69363652180144,9.410930996215091,-17.14091054417973,-0.9995199161703372,-4.796598176364767,12.319554155961404,-1.458574459286518,-9.226666129816728,-14.548739450574931,-10.360965340484878
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,-0.3207598823352585,-1.1532747899637534,1.6674454463854875,2.2678906588800603,-11.82323166980644,-5.682391562239238,-1.8492914121397332,8.811835347635096,-4.297565363667814,-5.981735162856595,-9.160777699314664,-7.796493714204185
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,0.449357104238865,-10.263480505627754,4.925781144273415,0.5647133213170852,-7.552240277402053,-3.343769684123106,-5.457731053293175,10.256468706919687,-5.185660583851734,-6.395664102653902,-9.226906670650935,-3.074749308314986
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,-2.865397208968972,-6.029553861019303,3.8925153651922217,2.2592068145817867,-5.665741746498004,1.444798422270262,-5.062173485139773,4.850356765187235,-1.7982291010166958,-4.336244894054729,-8.067844276861491,5.1641757233509225
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,-3.04584279670452,-4.525186042723705,2.394298763819214,-2.223148590346521,-6.817466223098449,-1.5379459170708991,-3.28284294625276,3.7610449304912126,-1.358897971081415,-2.904095274884825,-6.290015079326938,2.60039234592584
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,-1.8092802392732088,-2.056217592437785,0.391934021672142,-3.4758375220769167,-7.559942383157691,-2.7104249888358347,-2.3095665081078014,1.771635155352682,-0.087455285961267,-1.6748325420381656,-4.598342119774841,0.2025248369712538
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,-0.3729151342766927,-3.866147249543728,3.463471501221277,-0.2387452933957121,-6.055867939740653,-3.769544776178148,-2.2714101627523458,2.9429713382764384,0.2328297863766609,-1.893172033018024,-1.1117868228766707,2.02891248339302
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,0.213904663733646,-3.3022967558376464,2.885743032566288,2.2470422104989227,-4.661651620507496,-4.334704235526933,-1.356976432191833,2.2646956153774367,0.4420276036876497,-1.3904402763008583,1.9359951602159329,1.3977857894637702
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,-0.0091183983281141,-2.433497038219571,3.0926046831071665,8.123153430220668,-1.4721040011919253,-3.195761280104639,-0.7780192469594186,2.360691604670998,0.1891183463644261,-1.2348496769283603,3.4559122542044247,2.21893938460608
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,0.2312536555459789,-2.3045877472106997,3.542629147417055,16.665845485177012,-0.985948071474006,-2.728801827349098,-0.4337851069403421,3.310140227895228,-0.1306528943657328,-1.1946852180670362,3.902419050506908,1.4645560738274743
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,2.1105003011305,1.731766176496122,-5.741907314039026,2.350383551779999,-9.039505086556163,-0.6313823142377034,0.2100326765713743,4.647691357325678,-0.7468362414065608,-1.2026399880258287,1.6458763614393734,-8.771213463801091
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,3.0388187259891217,1.602591830789467,-0.7356709918602682,-6.11782039374112,-4.6628286121389255,-2.717854627058924,-1.3529965841655085,0.1392960781171185,-0.0595149338818196,-1.2119034007219294,-3.2133750331573463,-6.554756301447176
lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
