fecha_emision,lead,fecha_pronostico,QC_hist,ens_prom,perc_50,ens_1985,ens_1986,ens_1987,ens_1988,ens_1989,ens_1990,ens_1991,ens_1992,ens_1993,ens_1994,ens_1995,ens_1996,ens_1997,ens_1998,ens_1999,ens_2000,ens_2001,ens_2002,ens_2003,ens_2004,ens_2005,ens_2006,ens_2007,ens_2008,ens_2009,ens_2010,ens_2011,ens_2012,ens_2013,ens_2014,ens_2015,ens_2016,ens_2017,ens_2018,ens_2019,ens_2020,ens_2021,ens_2022,ens_2023,ens_2024,ens_2025
1985-01-15,1,1985-02-15,7.747,33.318,7.747,,7.747,7.747,7.747,7.747,101.867,7.747,7.747,171.757,7.747,7.747,7.747,7.747,7.747,11.796,7.747,8.436,7.747,65.636,7.747,7.747,7.747,7.747,7.747,32.138,353.746,7.747,10.428,7.747,323.024,7.747,7.747,7.747,7.747,7.747,7.747,7.747,7.747,7.747,7.747,21.46
1985-01-15,2,1985-03-15,4.675,147.484,2.879,,2.879,2.879,879.647,2.892,87.98,2.879,2.879,85.465,4.35,17.579,2.879,2.879,2.879,263.535,2.879,170.6,1429.245,48.459,2.879,2.879,4.447,1343.821,2.879,48.984,114.994,2.879,5.258,2.879,233.115,2.879,2.879,2.879,2.879,2.879,2.879,2.879,2.879,2.879,1018.522,77.143
1985-01-15,3,1985-04-15,15.7,122.843,6.5565,,39.18,1.07,184.626,1.083,400.523,1.07,1.07,616.337,2.439,44.863,8.334,1.07,1.07,75.789,11.897,84.376,504.774,23.46,183.194,82.087,2.528,932.744,1.07,27.395,42.732,1.07,1.954,1.07,206.849,1.07,546.324,1.07,4.779,1.07,1.07,1.07,1.07,1.07,828.45,40.94
1985-01-15,4,1985-05-15,171.184,162.138,32.953,,132.079,0.397,68.603,0.402,164.475,6.359,220.717,461.884,77.925,25.536,6.558,0.397,0.397,28.161,1910.174,46.283,985.857,10.253,94.383,196.6,0.939,599.344,0.397,10.179,40.523,0.397,0.726,9.619,210.309,0.397,173.212,12.024,168.545,85.527,0.397,37.745,0.397,0.397,445.879,251.139
1985-01-15,5,1985-06-15,1315.487,195.971,92.79400000000001,,327.062,0.148,25.491,0.15,79.825,156.052,546.71,433.431,90.87,109.705,2.437,0.148,0.148,14.907,793.486,605.316,313.889,154.863,130.344,729.91,466.738,308.051,0.148,3.782,180.445,13.834,0.27,8.114,213.525,0.148,75.159,9.416,58.347,693.859,378.701,567.081,0.148,0.148,251.318,94.718
1985-01-15,6,1985-07-15,289.257,268.375,223.19150000000002,,274.046,0.055,9.472,0.056,33.36,807.041,321.889,332.168,286.895,202.688,1.787,0.055,99.567,237.871,734.092,418.524,472.677,234.715,177.286,568.041,356.814,143.484,0.055,376.014,786.871,227.738,0.1,53.791,746.403,0.055,812.334,218.645,676.414,500.83,132.712,297.745,0.055,0.055,113.717,78.865
1985-02-15,1,1985-03-15,4.675,124.612,2.879,,2.879,2.879,879.647,2.892,2.879,2.879,2.879,2.879,4.35,17.579,2.879,2.879,2.879,163.093,2.879,102.41,1429.245,2.879,2.879,2.879,4.447,1265.947,2.879,4.008,2.879,2.879,2.879,2.879,3.118,2.879,2.879,2.879,2.879,2.879,2.879,2.879,2.879,2.879,1018.522,11.512
1985-02-15,2,1985-04-15,15.7,100.777,2.287,,39.18,1.07,184.626,1.083,135.861,1.07,1.07,392.276,2.439,44.863,8.334,1.07,1.07,59.28,11.897,53.474,504.774,1.07,183.194,82.087,2.528,913.204,1.07,2.135,1.07,1.07,1.07,1.07,3.031,1.07,546.324,1.07,4.779,1.07,1.07,1.07,1.07,1.07,828.45,8.01
1985-02-15,3,1985-05-15,171.184,148.763,20.628500000000003,,132.079,0.397,68.603,0.402,89.893,6.359,220.717,380.661,77.925,25.536,6.558,0.397,0.397,22.027,1910.174,20.693,985.857,0.397,94.383,196.6,0.939,594.59,0.397,0.793,0.589,0.397,0.397,9.619,20.564,0.397,173.212,12.024,168.545,85.527,0.397,26.58,0.397,0.397,445.879,168.823
1985-02-15,4,1985-06-15,1315.487,180.918,72.7625,,327.062,0.148,25.491,0.15,45.019,156.052,546.71,397.667,90.87,109.705,2.437,0.148,0.148,10.1,793.486,531.163,313.889,94.951,130.344,729.91,466.738,306.356,0.148,0.295,70.366,13.834,0.148,8.114,38.29,0.148,75.159,9.416,58.347,693.859,378.701,482.913,0.148,0.148,251.318,76.819
