lead,mes,crpss,crpss_med,p5,p25,p75,p95,n
1,1,0.17962127579926157,0.17337125797743536,0.08651197297854818,0.12810404964857258,0.23038358569409284,0.30272057819335496,40
1,2,0.1454543372247067,0.13764754570486287,0.06198559540461337,0.10736496458878766,0.17713386543053297,0.27021940918282494,41
1,3,0.11099296138972281,0.11267900811233239,0.04252177305047707,0.07902963943320057,0.1574143352188836,0.256436256277547,41
1,4,0.12125618989389741,0.1224928348097668,0.005696799448244045,0.07034758713233605,0.16578373141842737,0.22008162150777194,41
1,5,0.31617723280288323,0.3173641094694493,0.23796317196915526,0.27612049714698156,0.35759267736517675,0.4127172692321037,41
1,6,0.20235888335851349,0.20477262640725108,0.10611571873619173,0.16225613712553236,0.2467690982151088,0.29608320296255497,41
1,7,0.26514953398749774,0.26112934383535585,0.15237781796835392,0.2169636921605861,0.29808383823795737,0.36582927707195406,41
1,8,0.09968163194673207,0.10714279851882819,-0.02570288012055617,0.0479467367278949,0.16553083545299105,0.2614789975433892,40
1,9,0.25236572223080067,0.2584419845411151,0.116375055936485,0.21277068446935604,0.31630242567554634,0.3929144123037341,40
1,10,0.14762218789104165,0.1519037919210054,0.09165768642071281,0.12390435034695957,0.17304832465805137,0.2162908375706552,40
1,11,0.2922762246531241,0.295459926263021,0.21088814644752482,0.26170159963294937,0.3493369687661943,0.4308900149239884,40
1,12,0.25233430316713545,0.2590573290969751,0.15389865019600643,0.21453763088395725,0.3037123708925661,0.37780177671855986,40
2,1,0.08188006756351984,0.08600814229567749,0.03247707497397963,0.061348685866126296,0.11064601475958344,0.15115927452236996,40
2,2,0.03522763347174218,0.032320038023187,-0.010066852095935162,0.018605866716708025,0.04473897015905595,0.0646543178232866,40
2,3,0.019979631458338365,0.020767476590222267,0.00577254263410108,0.012651177329804808,0.03276743299855414,0.05436135587158743,41
2,4,0.008959246249496733,0.007729621504052264,-0.02121245916585199,-0.003308881603664382,0.02247320012273074,0.04992875286735944,41
2,5,0.07399928582384052,0.07814336672348321,0.0028794853134279557,0.04837427434924335,0.1056313076323164,0.14266354637150325,41
2,6,0.08005652400241225,0.07917250850382473,0.017534476808917464,0.05393730776371408,0.10710691680023751,0.14639120382307175,41
2,7,0.13990639051956855,0.14561785197714394,0.041230760926371644,0.09945233646502952,0.18423355660560534,0.23813683063085403,41
2,8,0.046847615690889355,0.05150174349059761,-0.03759373796503533,0.011281037535636584,0.0856355856070358,0.1457642826477852,41
2,9,0.0798577824337593,0.07323285610535701,-0.009929815113308326,0.038984486013920405,0.11106318814359878,0.1555327200982401,40
2,10,0.06538694793759858,0.06562924895455685,0.027737219670298643,0.051005856130496324,0.08379795460653106,0.11075551073667601,40
2,11,0.04894349242502949,0.0459274955848204,-0.0032410165237853005,0.02672891736949312,0.06815013103626222,0.11522575069663016,40
2,12,0.10981423160337112,0.10778342845310873,0.05305815012124167,0.08430370016597785,0.1379700832142595,0.18189337776557102,40
3,1,0.03444111573172637,0.034287323310725926,0.0044691534029641326,0.019282741934858516,0.05047937567123528,0.07835351672754898,40
3,2,0.010710238786378667,0.010905445838607808,-0.008445673612162164,0.004511137405658616,0.015789472526503895,0.022780638166293693,40
3,3,0.011164121311293518,0.011124716712992866,0.004271341300937942,0.007880218826632895,0.015050852130590014,0.02316552045834472,40
3,4,0.0006238241926345145,0.0003193709830717206,-0.008207746365089164,-0.003067615751249031,0.004028631266823179,0.009923138843889678,41
3,5,0.0005809317220587529,0.00023750040662812166,-0.018008718400923662,-0.007383234699658181,0.008874280437708992,0.021332618895841877,41
3,6,0.016647629824429244,0.017143803545713376,-0.011317095291778522,0.006028486822617196,0.02809583079959177,0.04773100757049249,41
3,7,0.05728441303989673,0.058359707888863965,0.016213981834387492,0.04083671761101107,0.07582067111779756,0.10391396318069683,41
3,8,0.027115734969524796,0.02498010824149366,-0.013985874178710167,0.009290651608091949,0.04929169654439486,0.08107332090522976,41
3,9,0.06435028390550357,0.0628905538194936,0.007355289914963454,0.0379145631659924,0.0833836984327502,0.11744872151577732,41
3,10,0.02461087350236968,0.024216939275112648,-0.004569111175130469,0.008983360022806641,0.03784860652207023,0.0638843143262024,40
