fecha_emision,lead,fecha_pronostico,QC_hist,ens_prom,ens_1989,ens_1990,ens_1991,ens_1992,ens_1993,ens_1994,ens_1995,ens_1996,ens_1997,ens_1998,ens_1999,ens_2000,ens_2001,ens_2002,ens_2003,ens_2004,ens_2005,ens_2006,ens_2007,ens_2008,ens_2009,ens_2010,ens_2011,ens_2012,ens_2013,ens_2014,ens_2015,ens_2016,ens_2017,ens_2018,ens_2019,ens_2020
1990-01-15,1,1990-02-15,282.639,51.808,,,2.595,,280.108,2.595,,7.492,2.595,,,,14.601,2.595,,2.595,,2.595,,,26.512,,,4.384,2.595,545.235,2.595,,5.575,2.595,22.695,2.595
1990-01-15,2,1990-03-15,253.362,115.953,,,0.964,,117.014,44.646,,5.514,0.964,,,,271.105,1132.970,,0.964,,29.080,,,22.227,,,2.651,1.676,425.489,0.964,,4.273,3.573,22.125,0.964
1990-01-15,3,1990-04-15,777.371,125.265,,,25.406,,394.509,29.297,,63.375,0.358,,,,115.205,760.653,,449.658,,21.459,,,9.356,,,0.985,1.037,318.159,0.358,,1.936,50.642,11.206,1.164
1990-01-15,4,1990-05-15,248.525,166.841,,,162.083,,454.807,146.266,,39.141,0.133,,,,52.125,1011.919,,181.085,,7.974,,,3.477,,,0.366,18.838,363.280,0.133,,0.927,522.344,37.349,0.901
1990-01-15,5,1990-06-15,104.826,239.761,,,510.589,,511.578,73.597,,14.551,0.636,,,,465.276,313.084,,129.284,,770.201,,,1.292,,,0.136,14.375,276.871,0.049,,0.468,170.701,930.919,132.097
1990-01-15,6,1990-07-15,39.126,277.188,,,840.134,,338.605,166.493,,5.446,0.571,,,,263.600,519.748,,163.536,,322.065,,,35.374,,,0.051,155.651,992.589,0.018,,28.455,697.748,389.636,69.668
1990-02-15,1,1990-03-15,253.362,475.582,,,112.799,,115.252,315.048,,152.202,113.908,,,,841.499,1807.988,,165.592,147.782,349.644,3444.524,,159.681,,,113.076,156.215,331.549,112.799,,203.367,275.950,,117.184
1990-02-15,2,1990-04-15,777.371,296.135,,,66.962,,445.557,144.929,,246.180,42.972,,,,219.562,906.374,,770.482,574.283,149.796,1109.151,,75.619,,,42.183,73.788,273.074,41.914,,98.899,295.899,,48.936
1990-02-15,3,1990-05-15,248.525,281.802,,,177.524,,503.004,357.939,,115.221,15.968,,,,118.111,1082.326,,256.217,468.967,55.661,875.877,,28.098,,,15.674,114.562,342.704,15.574,,72.042,718.895,,19.869
1990-02-15,4,1990-06-15,104.826,276.918,,,546.704,,531.633,166.063,,46.181,6.519,,,,572.717,333.063,,166.960,812.351,940.418,355.212,,10.441,,,5.824,58.627,269.139,5.787,,41.107,219.807,,172.887
1990-02-15,5,1990-07-15,39.126,301.449,,,861.137,,345.075,268.261,,25.832,2.757,,,,295.773,527.919,,182.261,483.385,351.208,155.395,,38.774,,,2.164,218.800,989.498,2.150,,157.724,722.562,,96.863
1990-02-15,6,1990-08-15,14.538,349.821,,,535.861,,366.219,156.310,,30.399,50.433,,,,874.983,286.118,,164.999,492.051,225.552,243.808,,52.101,,,217.958,115.590,261.604,590.100,,1364.506,515.764,,102.246
1990-03-15,1,1990-04-15,777.371,323.836,,,271.464,,828.408,135.306,,442.507,120.680,,,,119.860,443.211,,1071.876,809.044,119.860,552.792,,119.860,,,119.860,125.306,224.199,119.860,,119.860,390.845,119.860,222.050
1990-03-15,2,1990-05-15,248.525,297.287,,,423.115,,635.586,395.422,,171.876,45.446,,,,45.268,914.316,,312.962,534.079,44.537,704.156,,44.537,,,44.537,188.465,310.927,44.537,,91.734,787.045,99.046,108.140
1990-03-15,3,1990-06-15,104.826,335.848,,,756.699,,577.384,177.900,,78.606,51.616,,,,396.392,285.983,,198.229,842.519,881.003,301.246,,16.549,,,16.549,91.182,256.604,16.549,,51.911,236.716,1129.106,354.218
1990-03-15,4,1990-07-15,39.126,318.318,,,924.817,,361.072,275.856,,51.904,46.479,,,,244.567,508.675,,197.423,493.560,343.437,134.956,,41.412,,,6.149,245.289,984.071,6.149,,170.532,731.623,438.120,160.266
1990-03-15,5,1990-08-15,14.538,357.170,,,557.330,,372.266,159.095,,48.791,155.919,,,,853.408,279.163,,171.127,495.854,222.419,235.326,,53.369,,,238.997,128.121,259.787,649.286,,1374.380,518.582,234.388,135.794
1990-03-15,6,1990-09-15,5.402,348.768,,,630.357,,166.601,162.155,,460.198,81.581,,,,295.319,205.672,,134.682,375.492,115.497,462.873,,38.099,,,194.596,539.373,1090.819,198.416,,1040.023,415.303,199.581,168.715
1990-04-15,1,1990-05-15,248.525,507.755,,,617.335,,668.292,796.106,238.832,,398.333,,,,489.850,997.353,540.892,293.557,535.836,221.332,780.339,,284.829,,,242.619,632.391,569.855,222.406,,628.359,,772.129,224.455
1990-04-15,2,1990-06-15,104.826,518.970,,,830.314,,586.415,284.869,434.755,,368.138,,,,805.855,310.634,588.477,194.315,851.891,1620.070,321.344,,169.119,,,122.021,222.985,349.448,83.283,,225.425,,1468.657,541.385
1990-04-15,3,1990-07-15,39.126,376.686,,,948.973,,363.774,327.970,421.889,,188.671,,,,364.887,518.509,336.006,197.088,496.839,423.338,142.776,,324.486,,,53.818,331.712,1024.636,30.946,,303.139,,523.805,210.468
1990-04-15,4,1990-08-15,14.538,432.623,,,566.119,,373.329,178.378,170.468,,239.580,,,,901.636,282.717,510.795,171.181,497.096,254.104,239.029,,181.746,,,563.237,161.338,273.246,1222.423,,1440.842,,266.113,159.073
1990-04-15,5,1990-09-15,5.402,368.068,,,633.624,,166.996,170.048,63.467,,113.743,,,,312.423,207.005,828.250,134.760,375.939,127.835,464.404,,96.223,,,286.370,574.008,1096.034,260.510,,1058.960,,211.555,179.212
1990-04-15,6,1990-10-15,8.971,524.034,,,643.640,,802.948,278.630,33.135,,118.968,,,,1472.711,125.173,268.103,329.388,181.269,301.272,903.079,,636.722,,,919.060,198.942,1493.306,200.732,,497.148,,925.826,150.628
1990-05-15,1,1990-06-15,104.826,404.795,,,575.885,,337.508,106.033,415.820,,274.594,,,,572.275,107.536,396.833,134.511,665.867,1796.284,120.512,,140.886,,,137.924,104.536,160.523,110.765,,104.536,,1160.155,672.908
1990-05-15,2,1990-07-15,39.126,316.714,,,878.916,,279.460,185.518,417.508,,153.821,,,,304.907,352.458,268.661,149.167,446.797,439.998,52.924,,319.907,,,62.466,220.854,909.316,46.451,,150.402,,455.869,238.883
1990-05-15,3,1990-08-15,14.538,415.835,,,541.833,,340.102,123.712,168.913,,224.438,,,,877.865,230.840,482.237,146.159,478.491,260.526,173.525,,183.048,,,583.965,120.703,241.050,1372.561,,1353.706,,240.988,172.034
1990-05-15,4,1990-09-15,5.402,357.952,,,624.585,,154.727,144.309,62.885,,108.132,,,,303.935,185.915,816.804,124.126,369.028,130.295,433.074,,97.112,,,293.234,532.222,1082.633,273.150,,1035.880,,202.014,184.977
1990-05-15,5,1990-10-15,8.971,520.708,,,640.280,,797.868,266.771,32.861,,116.565,,,,1469.506,116.879,264.091,324.025,178.700,302.332,890.800,,639.624,,,924.625,188.686,1488.536,207.889,,488.933,,922.111,153.085
1990-05-15,6,1990-11-15,36.328,336.056,,,432.652,,1797.250,124.239,59.286,,105.487,,,,612.884,99.921,238.320,140.436,74.709,152.281,244.989,,781.038,,,234.075,123.300,861.548,115.164,,203.357,,242.516,77.677
1990-06-15,1,1990-07-15,39.126,181.720,,,491.042,,79.537,173.187,160.840,40.276,39.159,,,,46.422,264.691,70.408,77.090,126.723,74.716,39.126,,189.861,,,39.126,306.871,711.812,,,226.491,520.634,98.986,39.126
1990-06-15,2,1990-08-15,14.538,277.174,,,440.940,,208.804,117.417,76.431,24.876,97.928,,,,683.852,203.657,349.227,91.825,330.608,84.723,92.507,,134.106,,,523.583,148.454,209.311,,,1409.512,471.615,88.674,32.607
1990-06-15,3,1990-09-15,5.402,333.416,,,586.392,,104.081,142.305,28.400,410.649,57.711,,,,250.015,173.157,759.176,96.657,314.215,56.362,367.024,,76.033,,,285.639,566.644,1063.732,,,1048.693,398.122,131.816,84.920
1990-06-15,4,1990-10-15,8.971,485.544,,,626.032,,760.956,265.455,15.836,179.774,80.818,,,,1446.475,111.467,245.835,307.132,158.265,253.064,862.587,,621.451,,,926.802,196.835,1482.533,,,493.437,179.730,884.601,97.341
1990-06-15,5,1990-11-15,36.328,319.297,,,427.376,,1785.285,123.510,40.703,103.232,84.044,,,,605.023,97.377,230.724,133.917,66.963,134.772,236.829,,774.103,,,235.309,126.888,859.501,,,205.026,149.352,231.076,54.221
1990-06-15,6,1990-12-15,26.365,228.300,,,350.570,,836.595,51.647,28.948,48.621,769.627,,,,246.577,332.855,111.925,55.797,24.882,102.684,88.000,,346.226,,,331.493,61.505,285.402,,,76.338,530.773,93.679,20.147
1990-07-15,1,1990-08-15,14.538,165.962,,,117.392,,87.089,14.538,14.538,14.776,,,,,477.892,25.388,211.915,22.372,132.633,25.056,160.056,,17.615,,,621.536,17.143,14.538,,,1053.187,111.033,14.573,
1990-07-15,2,1990-09-15,5.402,275.506,,,423.900,,53.744,47.636,5.402,332.106,,,,,214.529,46.026,684.298,34.997,215.639,18.753,425.312,,9.086,,,314.048,406.396,740.878,,,980.160,237.598,44.103,
1990-07-15,3,1990-10-15,8.971,479.372,,,563.514,,698.136,189.271,2.007,158.771,,,,,1422.647,45.062,226.170,249.133,120.357,199.540,887.629,,487.984,,,950.188,154.968,1394.666,,,471.361,121.163,765.496,
1990-07-15,4,1990-11-15,36.328,325.939,,,404.487,,1764.470,93.112,8.508,91.924,,,,,598.623,56.145,221.124,113.500,51.737,115.329,244.002,,722.202,,,242.456,105.689,834.359,,,196.913,123.064,205.196,
1990-07-15,5,1990-12-15,26.365,201.154,,,341.565,,831.008,39.624,7.362,43.671,,,,,244.256,292.651,108.250,47.568,19.224,92.358,90.665,,328.222,,,334.206,52.852,276.880,,,73.318,514.990,83.262,
1990-07-15,6,1991-01-15,10.180,126.220,,,149.768,,273.459,14.956,2.736,16.365,,,,,102.261,124.058,40.394,173.421,171.831,50.741,33.689,,212.606,,,120.070,235.261,123.621,,,28.178,493.829,30.938,
1990-08-15,1,1990-09-15,5.402,77.468,,,65.072,5.402,5.402,9.532,5.402,183.502,,,,,5.402,5.402,186.634,5.402,5.596,5.402,30.209,,5.402,,,6.107,236.607,640.702,,5.402,203.353,5.402,5.489,
1990-08-15,2,1990-10-15,8.971,261.358,,,318.969,2.007,328.349,100.780,2.007,109.586,,,,,744.308,2.007,99.244,94.498,2.196,50.200,560.464,,300.690,,,517.448,110.258,1372.871,,4.842,242.251,2.007,523.540,
1990-08-15,3,1990-11-15,36.328,233.730,,,309.823,0.791,1604.692,56.404,6.601,63.411,,,,,479.204,3.242,129.402,52.607,0.816,41.276,170.248,,644.251,,,142.407,75.280,828.550,,3.691,114.149,19.478,162.016,
1990-08-15,4,1990-12-15,26.365,149.707,,,299.275,0.321,796.430,24.133,5.603,30.759,,,,,204.057,203.814,72.223,21.400,0.303,52.000,63.260,,305.735,,,294.565,39.482,275.085,,1.528,42.426,346.375,65.075,
1990-08-15,5,1991-01-15,10.180,102.394,,,134.504,19.669,262.586,9.200,2.082,11.567,,,,,86.125,95.241,26.843,163.697,164.800,32.973,23.506,,203.564,,,104.867,230.294,122.936,,0.568,16.699,414.367,24.180,
1990-08-15,6,1991-02-15,4.012,114.350,,,49.978,293.339,97.571,3.649,5.671,4.380,,,,,33.726,345.473,9.974,79.809,84.502,13.034,8.734,,332.797,,,38.966,677.295,53.394,,3.191,6.754,250.122,8.985,
1990-09-15,1,1990-10-15,8.971,149.919,,,61.146,2.007,375.026,30.006,2.060,2.007,,,,,718.248,,2.007,62.679,2.007,81.823,,2.007,253.967,,,379.792,2.007,595.354,,2.795,3.071,2.007,418.369,
1990-09-15,2,1990-11-15,36.328,199.652,,,143.465,0.791,1626.150,21.681,15.180,0.746,,,,,474.209,,55.200,40.450,0.746,60.001,,0.746,622.654,,,127.141,18.953,613.805,,1.655,1.740,19.138,148.582,
1990-09-15,3,1990-12-15,26.365,128.084,,,205.409,0.321,800.643,8.615,12.717,0.281,,,,,202.358,,36.383,15.654,0.277,62.437,,0.277,301.427,,,287.425,14.615,215.001,,0.714,0.647,337.961,58.506,
1990-09-15,4,1991-01-15,10.180,95.490,,,99.080,19.669,263.862,3.434,4.725,0.242,,,,,85.420,,13.519,161.562,164.790,38.381,,0.103,201.584,,,102.214,221.053,99.386,,0.265,1.175,407.589,21.740,
1990-09-15,5,1991-02-15,4.012,101.224,,,36.816,293.339,98.045,1.506,6.653,0.172,,,,,33.465,,5.023,79.016,84.498,15.044,,23.956,331.899,,,37.980,673.862,44.565,,3.079,0.985,246.509,8.078,
1990-09-15,6,1991-03-15,1.491,253.317,,,13.680,121.930,80.113,162.057,5.203,0.064,,,,,1144.441,,1.867,29.360,63.096,2658.090,,21.277,118.381,,,14.824,470.959,16.559,,3.345,2.975,135.115,3.002,
1990-10-15,1,1990-11-15,36.328,92.545,,,24.937,9.845,994.435,6.740,27.899,6.968,,,,,24.453,,100.795,6.742,6.740,6.826,,6.740,313.877,,,6.740,42.369,201.037,,6.740,6.740,43.539,6.740,
1990-10-15,2,1990-12-15,26.365,93.281,,,81.232,5.322,674.663,2.899,19.879,2.729,,,,,17.686,,59.000,2.506,2.505,35.696,,2.505,202.156,,,239.760,26.461,98.198,,2.505,2.505,384.903,2.505,
1990-10-15,3,1991-01-15,10.180,82.382,,,49.352,21.527,228.781,1.310,7.387,1.152,,,,,9.686,,21.923,156.677,165.618,26.874,,0.931,159.000,,,84.475,225.455,53.364,,0.931,1.865,430.394,0.931,
1990-10-15,4,1991-02-15,4.012,96.321,,,18.338,294.030,85.010,0.717,7.642,0.510,,,,,5.323,,8.146,77.200,84.806,10.768,,24.263,314.373,,,31.389,675.497,27.418,,3.326,1.242,256.084,0.346,
1990-10-15,5,1991-03-15,1.491,251.538,,,6.814,122.187,75.270,161.764,5.570,0.189,,,,,1133.984,,3.027,28.686,63.211,2656.501,,21.391,112.215,,,12.375,471.567,10.188,,3.437,3.071,139.177,0.128,
1990-10-15,6,1991-04-15,25.602,191.049,,,3.999,396.431,40.676,197.418,63.395,0.070,,,,,761.030,,450.424,340.216,35.819,1020.882,,9.046,41.697,,,5.012,336.211,3.786,,1.626,50.456,61.928,0.854,
1990-11-15,1,1990-12-15,26.365,65.350,,,66.548,26.365,150.310,26.760,,26.369,,,,26.365,26.365,,26.365,26.365,26.365,75.206,,26.365,42.317,,,268.059,26.365,26.365,,26.365,26.365,335.049,26.365,
1990-11-15,2,1991-01-15,10.180,78.170,,,40.002,29.346,81.873,10.176,,9.936,,,,119.655,12.911,,9.797,165.542,174.484,45.952,,9.797,58.178,,,97.055,225.420,26.628,,9.797,10.731,416.319,9.797,
