codigo,LowFlow,BelowNormal,NormalRange,AboveNormal,HighFlow
10,0.0,0.0,80.0,13.3,6.7
11,0.0,0.0,82.2,11.1,6.7
12,0.0,0.0,80.0,13.3,6.7
13,0.0,0.0,84.4,8.9,6.7
14,0.0,0.0,84.4,8.9,6.7
15,0.0,0.0,88.9,4.4,6.7
16,0.0,0.0,91.1,2.2,6.7
17,0.0,24.4,55.6,11.1,8.9
18,0.0,0.0,86.7,8.9,4.4
19,73.3,4.4,17.8,2.2,2.2
20,84.4,6.7,8.9,0.0,0.0
21,80.0,6.7,11.1,2.2,0.0
22,82.2,11.1,6.7,0.0,0.0
23,73.3,2.2,20.0,4.4,0.0
24,77.8,4.4,15.6,0.0,2.2
26,82.2,4.4,6.7,4.4,2.2
27,66.7,13.3,11.1,4.4,4.4
28,0.0,71.1,20.0,0.0,8.9
29,0.0,68.9,17.8,4.4,8.9
30,0.0,57.8,28.9,2.2,11.1
31,0.0,66.7,17.8,6.7,8.9
32,73.3,4.4,13.3,2.2,6.7
33,0.0,0.0,90.9,6.8,2.3
40,0.0,52.3,31.8,11.4,4.5
41,0.0,0.0,86.4,9.1,4.5
42,0.0,0.0,97.7,0.0,2.3
43,0.0,54.5,22.7,13.6,9.1
44,0.0,55.6,28.9,4.4,11.1
45,0.0,68.2,18.2,9.1,4.5
50,0.0,0.0,80.0,15.6,4.4
51,0.0,0.0,91.1,2.2,6.7
52,0.0,0.0,88.9,2.2,8.9
53,0.0,0.0,86.7,4.4,8.9
54,0.0,0.0,86.7,6.7,6.7
55,0.0,57.8,31.1,6.7,4.4
56,46.7,24.4,17.8,4.4,6.7
57,55.6,20.0,11.1,11.1,2.2
58,0.0,62.2,20.0,11.1,6.7
60,0.0,71.1,20.0,0.0,8.9
61,68.9,8.9,13.3,0.0,8.9
62,77.8,6.7,8.9,2.2,4.4
63,86.7,2.2,6.7,2.2,2.2
64,86.7,2.2,8.9,0.0,2.2
65,66.7,11.1,11.1,6.7,4.4
66,86.7,4.4,6.7,0.0,2.2
67,84.4,4.4,8.9,0.0,2.2
68,88.9,0.0,8.9,0.0,2.2
