codigo,BelowNormal,NormalRange,AboveNormal
10,0.0,82.2,17.8
11,0.0,82.6,17.4
12,0.0,80.4,19.6
13,0.0,84.8,15.2
14,0.0,82.6,17.4
15,0.0,89.1,10.9
16,0.0,91.3,8.7
17,63.0,21.7,15.2
18,71.7,15.2,13.0
19,0.0,95.7,4.3
20,0.0,100.0,0.0
21,0.0,97.8,2.2
22,0.0,100.0,0.0
23,69.6,26.1,4.3
24,80.4,17.4,2.2
26,87.0,6.5,6.5
27,78.3,13.0,8.7
28,73.9,17.4,8.7
29,73.9,13.0,13.0
30,69.6,17.4,13.0
31,67.4,19.6,13.0
32,82.6,8.7,8.7
33,87.0,2.2,10.9
40,53.3,31.1,15.6
41,64.4,26.7,8.9
42,71.1,26.7,2.2
43,60.0,17.8,22.2
44,63.0,23.9,13.0
45,80.4,8.7,10.9
50,0.0,80.4,19.6
51,0.0,67.4,32.6
52,0.0,78.3,21.7
53,0.0,80.4,19.6
54,67.4,19.6,13.0
55,63.0,28.3,8.7
56,69.6,19.6,10.9
57,69.6,17.4,13.0
58,65.2,17.4,17.4
60,71.7,19.6,8.7
61,78.3,13.0,8.7
62,80.4,13.0,6.5
63,89.1,6.5,4.3
64,89.1,8.7,2.2
65,76.1,13.0,10.9
66,93.5,4.3,2.2
67,89.1,8.7,2.2
68,89.1,8.7,2.2
