codigo,BelowNormal,NormalRange,AboveNormal
10,34.8,42.0,23.2
11,40.6,38.4,21.0
12,34.8,36.9,28.3
13,19.6,52.2,28.3
14,8.7,65.1,26.2
15,39.8,36.7,23.5
16,18.3,55.2,26.4
17,41.3,35.5,23.2
18,53.0,25.7,21.3
19,53.0,29.4,17.6
20,63.4,14.6,22.0
21,57.6,19.7,22.7
22,60.9,14.5,24.7
23,54.9,22.5,22.6
24,63.0,18.9,18.1
26,68.1,12.3,19.6
27,51.0,28.6,20.4
28,51.5,25.4,23.2
29,46.9,31.2,21.9
30,42.7,34.8,22.5
31,44.9,34.1,21.0
32,52.9,29.7,17.4
33,59.4,22.5,18.1
40,38.6,37.3,24.1
41,36.5,40.9,22.6
42,47.9,29.3,22.8
43,38.1,37.9,24.1
44,41.0,35.7,23.3
45,46.1,34.9,19.0
50,33.5,46.8,19.7
51,16.1,64.1,19.8
52,9.4,66.7,23.9
53,9.4,68.7,21.9
54,40.3,40.1,19.7
55,46.4,34.8,18.8
56,46.4,37.0,16.7
57,43.9,37.9,18.2
58,47.6,31.3,21.2
60,52.7,23.3,24.0
61,53.4,27.6,18.9
62,65.1,16.0,18.9
63,73.9,10.1,15.9
64,76.8,7.2,15.9
65,57.1,24.0,18.9
66,80.4,3.6,15.9
67,76.1,7.2,16.7
68,78.3,4.3,17.4
