N_OFICIAL,NOMBRE_ESTACION,NOMBRE_GRAFANA,FEWS,GRAFANA,BOLETINES
INUMET-1,18 DE JULIO,18 de Julio,TRUE,FALSE,FALSE
INUMET-2,19 DE ABRIL,19 de Abril,TRUE,FALSE,FALSE
INUMET-3,25 DE AGOSTO,25 de Agosto,TRUE,FALSE,FALSE
INUMET-6,AGRACIADA,Agraciada,TRUE,FALSE,FALSE
INUMET-7,AIGUA,Aigua,TRUE,FALSE,TRUE
INUMET-8,ALGORTA,Algorta,TRUE,FALSE,FALSE
INUMET-10,ANDRESITO,Andresito,TRUE,FALSE,FALSE
INUMET-12,ARBOLITO,Arbolito,TRUE,FALSE,FALSE
INUMET-16,ARTIGAS,Artigas,TRUE,FALSE,TRUE
INUMET-18,BAIGORRIA,Baigorria,TRUE,FALSE,FALSE
INUMET-452,Balneario Solís,Balneario Solís,TRUE,FALSE,FALSE
INUMET-21,BAÑADO MEDINA,BaÑado Medina,TRUE,FALSE,FALSE
INUMET-23,BARRIGA NEGRA,Barriga Negra,TRUE,FALSE,TRUE
INUMET-24,BELEN,Belen,TRUE,FALSE,FALSE
INUMET-26,BERNABE RIVERA,Bernabé Rivera,TRUE,FALSE,TRUE
INUMET-27,BLANQUILLOS,Blanquillo,TRUE,FALSE,FALSE
INUMET-29,CAÑADA GRANDE,Cañada Grande (P. Mellizos),TRUE,FALSE,FALSE
INUMET-32,CAÑAS_CL,Cañas,TRUE,FALSE,FALSE
INUMET-37,CARDONA,Cardona,TRUE,FALSE,FALSE
INUMET-39,CARRASCO,Carrasco - Aeropuerto Internacional Gral. Cesáreo L. Berisso,TRUE,FALSE,FALSE
INUMET-41,CASUPA_FR,Casupa_fr,TRUE,FALSE,TRUE
INUMET-42,CASUPA_LV,,TRUE,TRUE,FALSE
INUMET-43,CATALAN CHICO,Catalán Chico,TRUE,FALSE,FALSE
INUMET-44,CATALAN GRANDE,Catalán Grande,TRUE,FALSE,FALSE
INUMET-46,CEBOLLATI,Cebollatí,TRUE,FALSE,FALSE
INUMET-49,CERRILLOS,Cerrillos,TRUE,FALSE,FALSE
INUMET-50,CERRO AMARILLO,Cerro Amarillo,TRUE,FALSE,FALSE
INUMET-51,CERRO CHATO,Cerro Chato,TRUE,FALSE,TRUE
INUMET-53,CERRO DE LAS CUENTAS,Cerro de Las Cuentas,TRUE,FALSE,FALSE
INUMET-55,CHACRA POLICIAL,Chacra Policial,TRUE,FALSE,FALSE
INUMET-56,CHAMANGA,Chamanga,TRUE,FALSE,FALSE
INUMET-57,CHAMIZO_FR,Chamizo_fr,TRUE,FALSE,FALSE
INUMET-58,CHAMIZO_SJ,Chamizo_sj,TRUE,FALSE,FALSE
