codcuenca,AD
101,76.61
102,117.69
103,94.84
105,71.66
106,113.56
107,101.74
108,92.68
109,112.79
110,108.90
111,120.62
112,120.08
114,118.25
115,121.06
116,124.24
117,118.55
119,93.90
120,87.55
123,86.18
125,73.34
128,97.68
130,87.88
131,106.11
132,98.17
133,100.75
134,46.85
135,93.14
136,113.96
137,97.14
138,92.91
139,109.19
140,141.00
142,82.45
146,117.80
148,111.37
150,84.40
155,80.38
158,88.05
160,108.30
163,100.10
165,100.10
167,102.00
168,131.66
170,105.95
171,49.86
172,104.67
173,104.42
174,67.25
175,99.98
176,98.92
177,111.43
178,112.66
179,126.36
180,142.52
183,138.15
186,130.92
189,127.18
190,173.30
193,116.43
196,145.61
199,139.91
201,146.01
204,140.45
208,143.28
210,100.92
211,121.28
212,134.10
213,127.37
214,125.22
215,123.54
216,127.58
217,139.35
220,154.70
221,143.53
222,139.75
223,141.15
224,152.53
225,147.73
226,143.48
230,100.52
231,92.40
232,99.54
233,92.40
234,103.91
235,103.20
236,123.71
237,116.11
238,149.35
239,146.21
240,154.70
241,141.48
242,118.73
243,120.10
244,143.16
245,151.86
246,149.90
247,149.18
248,152.31
260,118.70
262,118.70
264,119.00
266,122.47
268,115.45
270,134.50
274,88.80
275,91.53
276,82.84
277,100.60
279,114.12
280,94.35
281,100.16
282,96.61
283,83.73
284,71.63
285,83.81
286,98.53
287,84.88
288,82.07
289,104.72
290,124.06
293,101.30
294,134.53
295,68.84
297,101.26
298,122.88
300,155.18
301,68.05
305,72.47
306,124.44
310,149.12
312,65.83
315,86.42
316,156.66
318,86.33
320,155.07
325,100.84
330,138.37
333,93.88
334,111.93
335,142.03
338,155.10
406,77.93
407,102.00
410,96.70
411,113.89
412,113.68
413,102.52
414,83.73
415,54.18
416,58.32
417,74.06
418,105.01
419,100.35
420,114.40
422,116.09
424,89.23
426,95.58
428,114.10
430,69.77
431,53.64
432,66.90
433,73.05
434,74.14
435,54.74
436,64.86
437,66.28
438,106.61
440,44.12
441,55.87
442,60.62
443,64.19
444,96.70
445,75.35
446,106.10
447,106.83
448,136.78
449,80.17
450,142.23
452,110.67
453,96.97
454,86.89
455,155.84
457,155.33
458,176.20
459,152.69
501,114.27
502,106.67
503,127.41
504,124.62
505,120.67
506,115.53
507,94.83
508,111.77
509,93.18
510,166.67
511,155.19
512,148.62
513,107.76
514,90.65
515,98.04
516,125.66
517,139.85
518,116.60
519,116.28
520,130.62
522,154.67
524,129.10
526,147.82
530,161.00
532,122.01
534,146.23
536,108.40
538,134.66
540,140.22
541,146.64
542,93.18
543,125.93
544,121.86
545,105.40
546,52.84
548,88.31
549,84.10
550,42.50
551,85.60
552,114.04
553,88.86
554,116.80
555,112.15
556,107.14
557,104.85
558,85.88
559,77.26
560,79.02
561,77.23
562,100.83
563,75.19
564,104.82
565,107.95
566,88.44
567,109.18
568,102.57
569,79.85
570,24.66
571,119.91
575,55.17
580,109.50
581,92.61
582,127.16
583,110.17
584,128.56
585,120.93
586,123.64
587,116.54
588,69.44
589,135.17
600,70.36
601,78.39
602,76.04
603,111.92
604,100.59
605,83.59
606,134.94
607,102.97
608,131.19
609,107.77
610,92.40
611,95.97
612,114.03
613,115.41
615,92.96
616,100.09
618,113.50
620,139.75
625,116.51
630,131.16
635,132.90
640,140.37
645,140.67
650,110.88
651,132.07
652,119.86
653,100.43
654,95.61
655,108.86
656,119.53
657,144.17
658,136.72
660,154.28
661,145.05
662,160.10
666,142.82
670,128.69
673,132.60
677,127.18
680,169.30
683,159.36
687,131.75
101,76.61
102,117.69
103,94.84
105,71.66
106,113.56
107,101.74
108,92.68
109,112.79
338,155.10
405,77.93
406,77.93
459,152.69
460,152.69
470,152.69
500,114.27
501,114.27
502,106.67
503,127.41
