C3,NOMBRE
102,Río Cuareim entre Ao. Catalán Grande y Ao. Pintado Grande
103,Río Cuareim entre Ao. Pintado Grande y Ao. Yacot
105,Río Cuareim entre Ao. Yacot y Ao. Yacaré Grande
106,Río Cuareim entre Ao. Yacaré Grande y Ao. Tres Cruces Grande
107,Río Cuareim entre Ao. Tres Cruces Grande y Ao. Cuaró Grande
108,Río Cuareim entre Ao. Cuaró Grande y Ao. Yucutujá
109,Río Cuareim entre Ao. Yucutujá y Río Uruguay
110,Río Uruguay entre Río Cuareim y Ao. Itacumbú
111,Río Uruguay entre Ao. Itacumbú y Ao. Lenguazo
112,Río Uruguay entre Ao. Lenguazo y Ao. Ñaquiñá
114,Río Uruguay entre Ao. Ñaquiñá y Ao. Mandiyú
115,Río Uruguay entre Ao. Mandiyú y Ao. Del Tigre
116,Río Uruguay entre Ao. Del Tigre y Ao. Guaviyú
117,Río Uruguay entre Ao. Guaviyú y Ao. Yacuy
119,Río Uruguay entre Ao. Yacuy y Río Arapey Grande
120,Río Arapey Chico entre nacientes y Ao. Sequeira
123,Río Arapey Chico entre Ao. Sequeira y Ao. De Las Cañas
125,Río Arapey Chico entre Ao. De Las Cañas y Ao Ceballos Grande
128,Río Arapey Chico entre Ao Ceballos Grande y Río Arapey Grande
130,Río Arapey Grande entre nacientes y Ao. Del Cerro Chato
131,Río Arapey Grande entre Ao. Del Cerro Chato y Ao. Mataojo Chico
132,Río Arapey Grande entre Ao. Mataojo Chico y Ao. Mataojo Grande
133,Río Arapey Grande entre Ao. Mataojo Grande y Ao. Mataojito
134,Río Arapey Grande entre Ao. Mataojito y Ao. Arerunguá
135,Río Arapey Grande entre Ao. Arerunguá y Ao. Valentín Grande
136,Río Arapey Grande entre Ao. Valentín Grande y Ao. Valentín Chico
137,Río Arapey Grande entre Ao. Valentín Chico y Ao. Tangarupá
138,Río Arapey Grande entre Ao. Tangarupá y Ao. Palomas Grande
139,Río Arapey Grande entre Ao. Palomas Grande y Río Uruguay
140,Río Uruguay entre Río Arapey Grande y Ao. Espinillar
142,Río Uruguay entre Ao. Espinillar y Ao. Itapebí Grande
