Nombre,codcuenca_n1,codcuenca_n2,Advertencia
RÍO CUAREIM,1,10,MEDIO
RÍO URUGUAY entre Río Cuareim y Río Arapey Grande,1,11,ALTO
RÍO ARAPEY CHICO,1,12,ALTO
RÍO ARAPEY GRANDE,1,13,ALTO
RÍO URUGUAY entre Río Arapey Grande y Río Daymán,1,14,ALTO
RÍO DAYMÁN,1,15,ALTO
RÍO URUGUAY entre Río Daymán y Río Queguay Grande,1,16,ALTO
RÍO QUEGUAY GRANDE,1,17,ALTO
RÍO URUGUAY entre Río Queguay Grande y Río Negro,1,18,ALTO
RÍO URUGUAY entre Río Negro y Río de la Plata,1,19,ALTO
RÍO DE LA PLATA entre Río Uruguay y Río San Juan,2,20,MUY ALTO
RÍO SAN JUAN,2,21,MUY ALTO
RÍO DE LA PLATA entre Río San Juan y Río Rosario,2,22,MUY ALTO
RÍO ROSARIO,2,23,MUY ALTO
RÍO DE LA PLATA entre Río Rosario y Río Santa Lucía,2,24,MUY ALTO
RÍO DE LA PLATA entre Río Santa Lucía y Ao. PANDO,2,26,MUY ALTO
RÍO DE LA PLATA entre Ao. Pando y Ao. Solís Grande,2,27,MUY ALTO
Ao. SOLÍS GRANDE,2,28,MUY ALTO
RÍO DE LA PLATA entre Ao. Solís Grande y Punta Del Este,2,29,MUY ALTO
OCÉANO ATLÁNTICO entre Punta del Este y Ao. MALDONADO,3,30,MEDIO
OCÉANO ATLÁNTICO entre Ao. Maldonado y LAGUNA DE ROCHA,3,31,MEDIO
OCÉANO ATLÁNTICO entre Laguna de Rocha y Ao. VALIZAS,3,32,MEDIO
OCÉANO ATLÁNTICO entre Ao. Valizas y Ao. CHUY,3,33,MEDIO
LAGUNA MERÍN entre Río Yaguarón y Río Tacuarí,4,40,BAJA
RÍO TACUARÍ,4,41,BAJA
LAGUNA MERÍN entre Río Tacuarí y Río Cebollatí,4,42,BAJA
RÍO OLIMAR GRANDE,4,43,BAJA
RÍO CEBOLLATÍ,4,44,BAJA
LAGUNA MERÍN entre Río Cebollatí y Ao. SAN MIGUEL,4,45,BAJA
RÍO NEGRO entre nacientes y Río Tacuarembó,5,50,MEDIO
RÍO TACUAREMBÓ entre nacientes y Ao. Tacuarembó Chico,5,51,ALTO
Ao. TACUAREMBÓ CHICO,5,52,ALTO
RÍO TACUAREMBÓ entre Ao. Tacuarembó Chico y Río Negro,5,53,ALTO
RÍO NEGRO entre Río Tacuarembó y Rincón del Bonete,5,54,MEDIO
RÍO NEGRO entre Rincón del Bonete y Río Yí,5,55,MEDIO
RÍO YÍ,5,56,MEDIO
RÍO NEGRO entre Río Yí y Rincón de Palmar,5,57,MEDIO
RÍO NEGRO entre Rincón de Palmar y Río Uruguay,5,58,MEDIO
RÍO SANTA LUCÍA entre nacientes y Río Santa Lucía Chico,6,60,MUY ALTO
RÍO SANTA LUCÍA CHICO,6,61,MUY ALTO
RÍO SANTA LUCÍA entre Río Santa Lucía Chico y Ao. Canelón Grande,6,62,MUY ALTO
Ao. CANELÓN GRANDE,6,63,MUY ALTO
RÍO SANTA LUCÍA entre Ao. Canelón Grande y Río San José,6,64,MUY ALTO
RÍO SAN JOSÉ,6,65,MUY ALTO
RÍO SANTA LUCÍA entre Río San José y Ao. Colorado,6,66,MUY ALTO
Ao. COLORADO,6,67,MUY ALTO
RÍO SANTA LUCÍA entre Ao. Colorado y Río de la Plata,6,68,MUY ALTO
